player_id,player_name,stat,line,actual,p_realized,model_p_over,market_no_vig_over_prob,over_realized,nll
12,Kyle Anderson,pts,,1,0.14870626385191488,,,,1.9057823023150253
30,Harrison Barnes,reb,,1,0.249830573965875,,,,1.3869722950016443
30,Harrison Barnes,ast,,1,0.2646818000042851,,,,1.3292269291802592
48,Bismack Biyombo,pts,,2,0.13699427201635953,,,,1.9878161641276442
48,Bismack Biyombo,reb,,1,0.27745803471005603,,,,1.2820855835015614
104,Mike Conley,pts,,5,0.06491791167316824,,,,2.7346317045492525
104,Mike Conley,reb,,1,0.251419416883069,,,,1.3806327507922749
104,Mike Conley,ast,,2,0.18789814396184956,,,,1.6718552504090043
104,Mike Conley,fg3m,,1,0.34406864474869825,,,,1.0669140928278535
161,De'Aaron Fox,pts,,18,0.04213608935959989,,,,3.166850676060942
161,De'Aaron Fox,reb,,4,0.15425903793963397,,,,1.8691220251116143
161,De'Aaron Fox,ast,,5,0.13246280926691212,,,,2.0214533577332268
161,De'Aaron Fox,fg3m,,1,0.27125035697891164,,,,1.3047130580770465
161,De'Aaron Fox,tov,,1,0.23300140243734824,,,,1.4567108063901377
176,Rudy Gobert,pts,,4,0.0503694062373774,,,,2.988371307315153
176,Rudy Gobert,reb,,5,0.028622466508214095,,,,3.553563327287907
176,Rudy Gobert,tov,,1,0.28440165945129803,,,,1.2573677461498984
176,Rudy Gobert,stl,,2,0.10815090832152127,,,,2.2242277278987705
176,Rudy Gobert,blk,,1,0.2037846660566232,,,,1.5906914011781537
261,Luke Kornet,stl,,2,0.10251645446262038,,,,2.2777319619448133
261,Luke Kornet,blk,,1,0.2570082037507633,,,,1.3586472733871926
358,Kelly Olynyk,pts,,3,0.09576793274826817,,,,2.3458273812692583
358,Kelly Olynyk,fg3m,,1,0.10759829900517524,,,,2.2293504398814976
387,Julius Randle,pts,,17,0.046814395936262077,,,,3.061564517883715
387,Julius Randle,reb,,10,0.06934286510771237,,,,2.668692019883014
387,Julius Randle,ast,,1,0.16796737358770408,,,,1.7839855232741737
666682,Keldon Johnson,reb,,2,0.13389614810811,,,,2.01069079362851
666682,Keldon Johnson,fg3m,,1,0.3995186400499204,,,,0.9174948564164185
666682,Keldon Johnson,tov,,2,0.16690840006913302,,,,1.7903101196279931
666682,Keldon Johnson,stl,,2,0.12274937029619827,,,,2.097610642290537
666682,Keldon Johnson,blk,,1,0.200452360800562,,,,1.607178662459548
666767,Jordan McLaughlin,ast,,2,0.09591383241368312,,,,2.344305069603694
667378,Naz Reid,pts,,12,0.05955697785642822,,,,2.820821813615085
667378,Naz Reid,reb,,5,0.10736171173563036,,,,2.231551661999594
667378,Naz Reid,ast,,2,0.20813275984681412,,,,1.5695791343932233
667378,Naz Reid,fg3m,,3,0.1735350899318993,,,,1.7513754525983751
667378,Naz Reid,stl,,1,0.24960935358590589,,,,1.387858168886501
3547238,Anthony Edwards,pts,,20,0.5742772937079059,,,,0.5546429092295583
3547238,Anthony Edwards,reb,,2,0.09689146505416135,,,,2.334163843901097
