stat,role_bucket,n,cal_n,eval_n,selected,before_n,before_mean_ae,before_variance_ae,before_p0_error,before_pit_ks,before_nll,before_rps,after_n,after_mean_ae,after_variance_ae,after_p0_error,after_pit_ks,after_nll,after_rps,base_score,selected_score,mean_multiplier,variance_multiplier,p0_strength
ast,bench,3286,2603,683,True,683.0,1.064377739051285,0.7549251550968133,-0.08530944196194329,0.1778662139289534,1.4594531835838669,0.026472438669792972,683.0,1.095130897756112,1.0130687728907024,-0.04213002364506696,0.18825053931943114,1.454036120072662,0.026887056948172453,1.157930550187125,0.848580259055127,1.0093949278551948,0.7375,0.5
ast,core,5248,4194,1054,True,1054.0,1.0479329837103908,0.6324912494450032,-0.09469812953669579,0.11032005060088551,2.002450062648612,0.04068584484382233,1054.0,1.022555067002214,0.8831902727783661,-0.013299362392027891,0.05116888802741907,1.952722724506537,0.039911989462179796,1.120136439360977,0.39378043250717804,1.0784143848461512,0.65,0.5
ast,fringe,1296,1037,259,True,259.0,0.9888939504843699,0.5052016199783778,-0.12201047595784442,0.22725096525096528,1.1909289006312211,0.017963264027693743,259.0,1.0002623379211562,0.5234970561011433,-0.12230888705552012,0.22717718130098286,1.1892812420141636,0.017953128444918368,1.629178278753356,1.5802739661768261,1.006958287030792,0.9540963852759314,0.0
ast,inactive_risk,1237,998,239,True,239.0,1.1688223199777867,0.8800532961412526,-0.11712736926632544,0.19817852161785218,1.8584210265557044,0.03248717517206006,239.0,1.070576685385519,0.9789537697228753,-0.0888703087853861,0.16930397943384606,1.8359413664500623,0.03183691886501828,1.2877913144967392,0.8139401176663424,1.1719564311816058,0.7350227162484473,0.0
ast,rotation,4772,3783,989,True,989.0,1.0470933080840759,0.630695496990515,-0.12418295949301397,0.13187731715537582,1.7793414192811026,0.03199687508425241,989.0,1.0244166801390555,0.8329060136771173,-0.04280331001682783,0.10035793477583127,1.734021158704607,0.031508489143350894,1.2300497613880277,0.6647531091151707,1.0720130491615407,0.6868361573885292,0.5
ast,starter,3369,2703,666,True,666.0,1.0118058698943877,0.5730151173414972,-0.0703796655422262,0.10786036036036037,2.2329116715112467,0.04893089327621159,666.0,0.9991625012242824,0.8487324792355977,-0.0138882510134418,0.04139308584275292,2.1562983702923852,0.0476554106958037,1.09323964317095,0.3735879127464601,1.0456581780122223,0.65,0.5
blk,bench,3286,2603,683,True,683.0,0.8774292783756729,0.4114625003118549,-0.022661047669505163,0.2709440474309429,1.2803490217136666,0.02235195909957083,683.0,1.1003538998671147,0.7570706900692572,-0.034789711905466314,0.26720351390922403,1.2742675542528359,0.022283818978097815,1.9747714065779585,1.4188968742162151,0.9074371255041531,0.65,0.0
blk,core,5248,4194,1054,True,1054.0,0.9415607186876936,0.4754575385778707,-0.03386538098427139,0.18523579697639678,2.2094495572129365,0.033223219680737215,1054.0,1.1686818976820814,0.9041498301469779,-0.04935150148256495,0.19717390932661916,2.2035414157363653,0.033294435705805286,1.510197717163404,1.1605642550478454,0.9055851264707004,0.65,0.0
blk,fringe,1296,1037,259,True,259.0,0.7365714010614127,0.2883121090909002,-0.006882399447180387,0.34786003875626026,0.9876747932359234,0.01448681096231033,259.0,1.067783975658215,0.6918274814095013,-0.026209838034685462,0.34315027220170424,0.9785407193132485,0.014245788694974263,2.6482927496803756,1.6665923028593188,0.77639364486698,0.65,0.0
blk,inactive_risk,1237,998,239,True,239.0,0.8997083455043743,0.34116636440296094,-0.02613760196168613,0.2604387208108706,0.9612814944181272,0.021871664989086582,239.0,1.0344766321121508,0.5215454936118237,-0.030577401585035746,0.2573221757322176,0.9553664631344536,0.021836597896429256,2.009356327761951,1.6044676533807725,1.0,0.65,0.0
blk,rotation,4772,3783,989,True,989.0,0.9311717527142077,0.40923641721807263,-0.05629716007391006,0.21124614908104633,1.5632809269201513,0.028427687182458583,989.0,1.0659140674743752,0.6200167799110435,-0.06126304393584425,0.21463161987001594,1.5560315210014182,0.028330087503890503,1.74198605609848,1.4375923905959993,1.0,0.65,0.0
blk,starter,3369,2703,666,True,666.0,0.9419614345623515,0.4089598028510191,-0.05323158733016076,0.176469006993465,1.9688441341644491,0.035254377590331946,666.0,1.0731521569096028,0.6227004612673331,-0.058372462589609264,0.17927796797317525,1.959929611245158,0.03516867782941988,1.6118918285744044,1.3376462197221455,1.0,0.65,0.0
fg3m,bench,3286,2603,683,True,683.0,0.8810378110781395,2.1595243311540924,0.09257062132602456,0.20839162101903375,3.130143901380604,0.030546174627503295,683.0,0.7706452374774659,0.38691888709239153,0.054938359273132065,0.1804547236576335,1.8341337770575465,0.02874048728709547,2.741241669620998,2.0021029042890794,0.9159841493923931,1.0,0.25
fg3m,core,5248,4194,1054,True,1054.0,0.9623429865728637,1.9549292732976442,0.09682664134856053,0.11214112440986723,2.6460003858105337,0.04585276519314578,1054.0,0.8919590616347887,0.9841326856533671,0.07695993419330582,0.12522259153108373,2.570998146708465,0.04868048486561345,1.9893712720531815,0.7537752157557562,0.9976906835930373,1.6,0.25
fg3m,fringe,1296,1037,259,True,259.0,0.9254730270362514,2.0908170220018314,0.028867186068570416,0.2743509080617761,3.5626101224325537,0.019472474876204304,259.0,0.9825149074972931,2.1032800122143063,0.017007773438290186,0.26061776061776065,3.5496404661592726,0.019043406155218663,2.651632982218428,2.50218112576254,0.9419429873014941,1.0,0.0
fg3m,inactive_risk,1237,998,239,True,239.0,1.0895600541726462,2.1748571804757755,-0.03553752445629976,0.17364016736401677,5.101806049619795,0.03373578630882009,239.0,0.8273112418539559,0.2763647153022028,-0.0377048084700784,0.1787682577871204,1.6417575512835851,0.03228729210055531,2.5156326678354555,2.02394861025147,0.9946938410535241,1.0,0.25
fg3m,rotation,4772,3783,989,True,989.0,0.8684308100778334,1.8447036247394037,0.09635625534031861,0.17668915541304342,2.392463502582507,0.03652414682285058,989.0,0.8522850476797044,0.5730206536617339,0.05182926526053083,0.13323089758155332,1.845749158212549,0.035624091752254505,2.2047956662030472,1.4133355147834465,0.913108672490535,1.6,0.25
fg3m,starter,3369,2703,666,True,666.0,1.0385766223031623,2.1613448041580514,0.08901149935910108,0.08582107348116219,2.5511133018791226,0.05485403393674811,666.0,1.0307140348257342,1.2427612199384854,0.05083480479300609,0.08546781459339059,2.4071836853014097,0.05697779249425407,2.21015092032554,0.7592156189889251,1.0095544448706828,1.0,0.5
pts,bench,3286,2603,683,True,683.0,1.042618871997845,1.0331575125398669,0.046094079805033245,0.06552440214738897,2.7241017405859966,0.03174955743164733,683.0,1.0148208891360255,1.0016198905437885,0.05172390345411759,0.06890308602063697,2.7235400838088624,0.031708351452493115,0.4006883389552073,0.31636672733082116,1.0340290759693875,0.9779651546411117,0.0
pts,core,5248,4194,1054,True,1054.0,1.0400440755573332,0.8930743207313281,0.00036233003478457204,0.06755091714104988,3.297655768265451,0.04476485926169756,1054.0,1.0014020981875524,0.9911406288265617,0.006819383118977201,0.026432665705402147,3.286928324701128,0.044493648267957736,0.4436729164930009,0.10562032492993452,1.0566245904220815,0.8520453162889511,0.0
pts,fringe,1296,1037,259,True,259.0,1.0164733460219049,0.7688402353245041,0.03896313469997681,0.12565765765765766,2.2865731078746907,0.023205756082033978,259.0,1.0464096915330257,0.8331856191244641,0.036309532241447506,0.12418630809052736,2.285844089010275,0.023225899939365025,0.8151040140799918,0.7700641770131085,0.9886056006246536,0.9437861114163221,0.0
pts,inactive_risk,1237,998,239,True,239.0,1.1794757019875133,0.9061936752005998,-0.018958517124559898,0.14466123467664982,2.757619486552374,0.035175444749842105,239.0,1.0657983902206265,0.98913352351679,0.0021266052381846146,0.08397242582885722,2.732182143339249,0.03427399785334774,0.9620823708909162,0.40300368050991664,1.1342204962392046,0.8043752909732955,0.0
pts,rotation,4772,3783,989,True,989.0,1.0644206101683493,0.8696014117394001,0.0186772291153995,0.0792955847657566,2.9912727178676253,0.03646406877584325,989.0,1.012633710196062,0.8497107056125859,0.026660645786152418,0.047245328830145816,2.982627197115455,0.03615078047957365,0.5903417006979675,0.4522097293965398,1.066217356397611,0.9335550636988122,0.0
pts,starter,3369,2703,666,True,666.0,1.0488531128997989,0.7664237606818892,-0.008109307872465766,0.06934534534534531,3.4875810605922757,0.052719551323502284,666.0,1.0083724113037114,1.0221401049964005,-0.0017304527178966184,0.02316811250276324,3.4633525066362427,0.05205647063355179,0.6682705826214985,0.12205499668715813,1.047178594202892,0.725208697554126,0.0
reb,bench,3286,2603,683,True,683.0,1.085486037511356,0.8736983319823327,-0.07317872571399511,0.09252684236212788,2.1069103365933652,0.04236940174994643,683.0,1.0708853142763188,0.9963052901781695,-0.028752403301728957,0.07451736940381008,2.092800955757221,0.04210089108135484,0.7477731927065892,0.4139934064494071,1.0619978433532555,0.7868709077639211,0.5
reb,core,5248,4194,1054,True,1054.0,1.0222295487901045,0.6327885461931556,-0.05779278279307177,0.11606767868437698,2.3208595289228446,0.0457118805247929,1054.0,1.0006827413055248,0.9168214797842797,-0.004283582438357379,0.038778738120799294,2.2659015066017414,0.04471805857031724,1.0301684885332143,0.24889485095456396,1.0616749906145648,0.65,0.5
reb,fringe,1296,1037,259,True,259.0,0.9977934781325482,0.5864830396888527,-0.095216917532707,0.13595949332791438,1.7035809374602857,0.028389376749201403,259.0,1.012757868224601,0.654387983864015,-0.08873855184028928,0.13109721662580118,1.6953457658225688,0.02828158050709717,1.1753923404844282,1.070333238291017,1.0498259191293986,0.8234182219817224,0.0
reb,inactive_risk,1237,998,239,True,239.0,1.219922243040902,0.7691624007561283,-0.1313379526751031,0.18543172308862688,2.1843778978190644,0.03937474391536794,239.0,1.226745802006196,0.9556863543003953,-0.0576963589145604,0.14260717015430696,2.157521137593367,0.03927700715664339,1.5394029832261469,1.0343281213965607,1.0448941059366486,0.733624839097496,0.5
reb,rotation,4772,3783,989,True,989.0,1.0642298875481002,0.7321459958699915,-0.06930530189621631,0.12567576676777895,2.270476564777485,0.044188267581468176,989.0,1.0472796656380867,0.9821328878051976,-0.012840281109584656,0.05641435486161955,2.2288398880040763,0.04346249780563004,1.0112260344388744,0.3098634858176127,1.0752232543517872,0.6734828821886253,0.5
reb,starter,3369,2703,666,True,666.0,1.0127412753057865,0.5885319707607065,-0.04888474568995907,0.10374174174174174,2.41723099242878,0.048819872197820954,666.0,1.0054855277134294,0.890102590323758,-0.01023368227956711,0.038103132331297224,2.350390409402453,0.04772352413974389,1.027236938230677,0.305477090354464,1.0383223416234795,0.65,0.5
stl,bench,3286,2603,683,True,683.0,0.7960090485545123,0.38542650757680197,-0.001305628719807328,0.1878340469516944,1.8214986542653315,0.03200490719780327,683.0,1.0951888537843866,0.8814869217501551,-0.03351628954069141,0.21054458888285013,1.8086285608675874,0.031717386875924986,1.8953027254605668,1.0854766097654396,0.8128498758550233,0.65,0.0
stl,core,5248,4194,1054,True,1054.0,0.8336517322044624,0.4372334190650247,-0.002602351344021203,0.0964186700746234,2.487438567305785,0.04751013404685282,1054.0,1.0541235718872903,0.8565799612818875,-0.028648663092781967,0.10955066736032346,2.468496644305087,0.04697979149424054,1.4700059442334403,0.7112661931432929,0.8761583565944131,0.65,0.0
stl,fringe,1296,1037,259,True,259.0,0.702038474040698,0.2665610847538321,-0.007190853484600468,0.24476662127904533,1.3348694086796582,0.02164857164824926,259.0,1.0241429840959373,0.6531848968899296,-0.03945497116015795,0.2718613223428095,1.320455379359805,0.02132940880754378,2.441167568851893,1.487464448753174,0.7688125378080382,0.65,0.0
stl,inactive_risk,1237,998,239,True,239.0,0.8875575930589154,0.3995909667633651,-0.030978131522035435,0.18167008130770507,1.1116064774248542,0.032366288077890035,239.0,1.213444963793205,0.985649470425595,-0.06255913673462665,0.2018213419929878,1.1072726939626731,0.03257889109007382,1.7169758049432902,1.1780209743994863,0.8115805399797371,0.65,0.0
stl,rotation,4772,3783,989,True,989.0,0.9425406709121931,0.4631663788514434,-0.05183278843226752,0.14912383704761972,2.589174889023091,0.04552022357079581,989.0,1.197915376704566,0.9384323544307599,-0.07704956539737046,0.1634394916248461,2.579924823180338,0.0456503916948062,1.4452897836897092,1.112706353888039,0.8794637464019195,0.65,0.0
stl,starter,3369,2703,666,True,666.0,0.8801949968248839,0.46696238566070075,-0.015553150592812426,0.08420508493201952,2.7410756954594064,0.05416269479335811,666.0,1.0741953091490914,0.8620596766794422,-0.035110286561122306,0.09294191373760294,2.7238665560779083,0.05382948843781212,1.3151114085444582,0.6942659319446787,0.9065980376813662,0.65,0.0
stocks,bench,3286,2603,683,True,683.0,0.8267807296103172,0.44673931008158785,-0.0031784623415773705,0.11321435041087749,2.477348954091652,0.025052470099137185,683.0,1.0925864753843948,0.920375193826668,-0.032587106310573155,0.12914456677978586,2.4598955861185043,0.02478265423207549,1.5207403204019823,0.7627849525718217,0.847245967706891,0.65,0.0
stocks,core,5248,4194,1054,True,1054.0,0.8715147839162479,0.4978330876181432,-0.027432960329722644,0.0573316396089878,3.2341776333048515,0.03533875497942963,1054.0,1.0862991368939796,0.946013866394221,-0.04758305257382245,0.0665696736534748,3.2099176882337392,0.0349090467700721,1.223365160061837,0.5331371421067597,0.88706754515028,0.65,0.0
stocks,fringe,1296,1037,259,True,259.0,0.7150319174907059,0.3088013848933536,-0.011283721394109159,0.19342318312266443,1.8067922121714837,0.016943034647024634,259.0,1.0125516392408962,0.6740290803042323,-0.047585677644704893,0.2181560538772886,1.784261879942886,0.016477239641412563,2.2039292191377147,1.2793720776336153,0.7921727776989058,0.65,0.0
stocks,inactive_risk,1237,998,239,True,239.0,0.8919570270429646,0.4158898475439239,-0.03250695701633799,0.15849856051239325,1.6416196601444013,0.024219288116468164,239.0,1.1728191660068632,0.9316274386675604,-0.06008182231152592,0.17545756541230245,1.6323501768708741,0.024378519399859737,1.6165072916598717,1.0886106135164004,0.8456395167445405,0.65,0.0
stocks,rotation,4772,3783,989,True,989.0,0.9383687567688528,0.5079005243707115,-0.05880904610531196,0.0881740782781334,3.193879316654188,0.03280570310054203,989.0,1.161495105480408,0.9622954593237731,-0.07853353895633663,0.0981600167696097,3.17843878917981,0.03277613188401319,1.2141475038985954,0.8017992577014428,0.9021172238767972,0.65,0.0
stocks,starter,3369,2703,666,True,666.0,0.9013675821002134,0.4741675638742318,-0.04605770173323864,0.05405405405405406,3.4240734268773947,0.03760929327722765,666.0,1.0061941852283587,0.6986312871919238,-0.046239749246228146,0.05405405405405406,3.4010287799160652,0.03715039439862275,1.217262204750246,0.6959632257003361,1.0,0.65,0.0
tov,bench,3286,2603,683,True,683.0,1.012575432445629,0.5863245421891241,-0.09303353468976117,0.24974467647889853,1.147679693558296,0.034579878881152715,683.0,1.031076455848862,0.821806549938028,-0.04342977515636037,0.2747951015914144,1.1189548901226192,0.03438900236643656,1.5344483830789093,1.2590739045244976,0.9984619618599843,0.65,0.75
tov,core,5248,4194,1054,True,1054.0,1.031543681192625,0.5467489269681858,-0.14797848792343293,0.14059522620593232,1.6200724409079927,0.05318571401623898,1054.0,1.0126571277150889,0.8529065295390268,-0.03166587210420496,0.11285612350615247,1.5577699859437737,0.052553149674384195,1.3867173824359178,0.6320216397964025,1.0,0.65,0.75
