player_id,player_name,game_id,stat,line,role_bucket,injury_freshness_status,lineup_freshness_status,market_coverage_status,source_row_id,k,p_k
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,0,0.010704695472238799
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,1,0.011410877775608584
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,2,0.013694654448875616
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,3,0.014217898258373137
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,4,0.01776309331132945
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,5,0.022814500569206596
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,6,0.025464394302716856
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,7,0.02992873345197449
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,8,0.03513009470458005
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,9,0.03865250342897575
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,10,0.04255403928694865
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,11,0.04618400871596506
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,12,0.04950145237246189
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,13,0.04881815295262618
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,14,0.0514349663346823
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,15,0.04850391157209385
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,16,0.05263324722224984
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,17,0.04961144727608023
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,18,0.047864690484737744
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,19,0.04326009525981555
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,20,0.041765213268915795
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,21,0.039424981381915816
18,OG Anunoby,21708677,pts,,starter,fresh,projected,full,0,22,0.03210482085103313
