date,path,exists,size_bytes,row_count,file_type
2026-05-12,deliveries/2026-05-12/after_game_scoring/README.md,True,205,,.md
2026-05-12,deliveries/2026-05-12/after_game_scoring/canonical_model_pmfs_for_scoring.csv,True,499740,,.csv
2026-05-12,deliveries/2026-05-12/after_game_scoring/canonical_model_pmfs_for_scoring.parquet,True,222887,0.0,.parquet
2026-05-12,deliveries/2026-05-12/after_game_scoring/fair_odds_board_for_scoring.csv,True,6470975,,.csv
2026-05-12,deliveries/2026-05-12/after_game_scoring/fair_odds_board_for_scoring.parquet,True,226041,0.0,.parquet
2026-05-12,deliveries/2026-05-12/after_game_scoring/market_comparison_for_scoring.csv,True,1158054,,.csv
2026-05-12,deliveries/2026-05-12/after_game_scoring/market_comparison_for_scoring.parquet,True,80872,0.0,.parquet
2026-05-12,deliveries/2026-05-12/after_game_scoring/publishable_edges_for_scoring.csv,True,699,,.csv
2026-05-12,deliveries/2026-05-12/after_game_scoring/publishable_edges_for_scoring.parquet,True,26732,0.0,.parquet
2026-05-12,deliveries/2026-05-12/after_game_scoring/scoring_manifest.json,True,980,,.json
2026-05-12,deliveries/2026-05-12/canonical_source/all_props_model_only.parquet,True,307132,0.0,.parquet
2026-05-12,deliveries/2026-05-12/canonical_source/manifest.json,True,2358,,.json
2026-05-12,deliveries/2026-05-12/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.csv,True,618736,,.csv
2026-05-12,deliveries/2026-05-12/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.jsonl,True,803217,,.jsonl
2026-05-12,deliveries/2026-05-12/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,True,307132,0.0,.parquet
2026-05-12,deliveries/2026-05-12/derek_forward_feed/FEED_README.md,True,2034,,.md
2026-05-12,deliveries/2026-05-12/derek_forward_feed/derek_forward_feed.csv,True,1346228,,.csv
2026-05-12,deliveries/2026-05-12/derek_forward_feed/derek_forward_feed.jsonl,True,3112113,,.jsonl
2026-05-12,deliveries/2026-05-12/derek_forward_feed/derek_forward_feed.parquet,True,89736,0.0,.parquet
2026-05-12,deliveries/2026-05-12/derek_forward_feed/feed_manifest.json,True,5122,,.json
2026-05-12,deliveries/2026-05-12/derek_forward_feed/latest_available_snapshot.csv,True,3719705,,.csv
2026-05-12,deliveries/2026-05-12/derek_forward_feed/latest_available_snapshot.parquet,True,449566,0.0,.parquet
2026-05-12,deliveries/2026-05-12/derek_forward_feed/lineup_snapshot.csv,True,2868327,,.csv
2026-05-12,deliveries/2026-05-12/derek_forward_feed/lineup_snapshot.jsonl,True,4743819,,.jsonl
2026-05-12,deliveries/2026-05-12/derek_forward_feed/lineup_snapshot.parquet,True,350499,0.0,.parquet
2026-05-12,deliveries/2026-05-12/derek_forward_feed/lineup_snapshot_status.json,True,397,,.json
2026-05-12,deliveries/2026-05-12/derek_forward_feed/manifest.json,True,862,,.json
2026-05-12,deliveries/2026-05-12/derek_forward_feed/morning_snapshot.csv,True,3719705,,.csv
2026-05-12,deliveries/2026-05-12/derek_forward_feed/morning_snapshot.jsonl,True,5650468,,.jsonl
2026-05-12,deliveries/2026-05-12/derek_forward_feed/morning_snapshot.parquet,True,449566,0.0,.parquet
2026-05-12,deliveries/2026-05-12/derek_game_snapshots/21707976/close_lock/full_pmf_wide.csv,True,575049,,.csv
2026-05-12,deliveries/2026-05-12/derek_game_snapshots/21707976/close_lock/full_pmf_wide.parquet,True,278663,0.0,.parquet
