stat,role_bucket,n_event_rows,n_matched_rows,n_scored_rows,has_model_prob_over,has_market_prob_over,has_actual_outcome,has_model_brier,has_market_brier,has_model_logloss,has_market_logloss,model_brier,market_brier,model_logloss,market_logloss,delta_brier,delta_logloss,exact_missing_metric_columns,exact_null_count_by_required_metric,precise_failure_reason
pts,core,140,140,140,True,True,True,True,True,True,True,0.3105290246031745,0.239780248710603,0.8286155222354645,0.6724267171106013,0.07074877589257153,0.15618880512486322,[],"{'model_prob_over': 0, 'market_prob_over_no_vig': 0, 'hit_result': 0, 'model_brier': 0, 'market_brier': 0, 'model_event_logloss': 0, 'market_event_logloss': 0}",model_logloss_not_better
pts,starter,125,125,125,True,True,True,True,True,True,True,0.3050712444444444,0.248612553870142,0.8147703865460728,0.6903603080859929,0.056458690574302334,0.1244100784600799,[],"{'model_prob_over': 0, 'market_prob_over_no_vig': 0, 'hit_result': 0, 'model_brier': 0, 'market_brier': 0, 'model_event_logloss': 0, 'market_event_logloss': 0}",model_logloss_not_better
reb,core,117,117,117,True,True,True,True,True,True,True,0.2604652355175689,0.2324086554454356,0.731494101674151,0.65554029871713,0.028056580072133297,0.07595380295702092,[],"{'model_prob_over': 0, 'market_prob_over_no_vig': 0, 'hit_result': 0, 'model_brier': 0, 'market_brier': 0, 'model_event_logloss': 0, 'market_event_logloss': 0}",model_logloss_not_better
