book,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
betparx,376,195,195,1,43,8,0.26249599887585645,0.24639740893265158,0.7214191454207244,0.6858850788287487,2.54998842029046,,covered,unknown,model_logloss_not_better,False,0.016098589943204872,0.035534066591975666,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
espnbet,609,459,459,1,48,8,0.23938448946265165,0.22181666682187764,0.7312075135300384,0.6339628705416775,1.8760920260679115,,covered,unknown,model_logloss_not_better,False,0.017567822640774,0.09724464298836089,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fliff,337,179,179,1,50,9,0.27807630014107615,0.2579727223960086,0.7609765442118489,0.7094171720490752,1.7929670554969501,,covered,unknown,model_logloss_not_better,False,0.020103577745067547,0.05155937216277373,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
hardrockbet,330,175,175,1,49,9,0.2745946427382689,0.2528924594046906,0.7515748085979693,0.6990994710174783,1.8362913559935572,,covered,unknown,model_logloss_not_better,False,0.021702183333578318,0.052475337580491055,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
hardrockbet_az,330,175,175,1,49,9,0.2745946427382689,0.2528924594046906,0.7515748085979693,0.6990994710174783,1.8362913559935572,,covered,unknown,model_logloss_not_better,False,0.021702183333578318,0.052475337580491055,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
hardrockbet_fl,294,147,147,1,48,9,0.2725466443817199,0.254095431759419,0.748032478353522,0.7015498032182604,1.8852805341250238,,covered,unknown,model_logloss_not_better,False,0.018451212622300872,0.04648267513526161,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
