player_id,player_name,team,opponent,game_id
161,De'Aaron Fox,SAS,NYK,21716138
17896097,Jose Alvarado,NYK,SAS,21716138
414,Landry Shamet,NYK,SAS,21716138
17896033,Miles McBride,NYK,SAS,21716138
73,Jalen Brunson,NYK,SAS,21716138
202,Josh Hart,NYK,SAS,21716138
1028025261,Stephon Castle,SAS,NYK,21716138
3547246,Devin Vassell,SAS,NYK,21716138
399,Mitchell Robinson,NYK,SAS,21716138
18,OG Anunoby,NYK,SAS,21716138
1057262518,Dylan Harper,SAS,NYK,21716138
666682,Keldon Johnson,SAS,NYK,21716138
61,Mikal Bridges,NYK,SAS,21716138
56677822,Victor Wembanyama,SAS,NYK,21716138
447,Karl-Anthony Towns,NYK,SAS,21716138
