game_date,run_date,run_id,run_mode,generated_at_utc,pipeline_version,model_version,model_artifact_hash,source_data_asof_utc,player_id,player_name,team,opponent,game_id,event_id,stat,line,role_bucket,hard_role_bucket,role_mixture_enabled,role_mixture_weights_json,role_entropy,role_bucket_confidence,projected_minutes,minutes_q10,minutes_q50,minutes_q90,inactive_risk,expected_lineup_status,official_lineup_status,injury_status,injury_source,injury_last_updated_utc,lineup_source,lineup_last_updated_utc,stale_injury_flag,stale_lineup_flag,market_line,p_over,model_prob_under_active,fair_over_odds,fair_under_odds,pmf_mean,pmf_variance,pmf_p10,pmf_p50,pmf_p90,market_prob_over,no_vig_market_prob_over,edge,market_status,delivery_status,unavailable_reason,calculation_source,calculation_status
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,21.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,21.5,0.8017,0.1983,-404.0,404.0,26.7384,39.1787,19.0,27.0,35.0,0.6288,0.6288,0.1729,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,20.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,20.5,0.8423,0.1577,-534.0,534.0,26.7384,39.1787,19.0,27.0,35.0,0.6753,0.6753,0.1669,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,18.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,18.5,0.9065,0.0935,-969.0,969.0,26.7384,39.1787,19.0,27.0,35.0,0.7717,0.7717,0.1347,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,17.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,17.5,0.9309,0.0691,-1346.0,1346.0,26.7384,39.1787,19.0,27.0,35.0,0.8094,0.8094,0.1214,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,19.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,19.5,0.877,0.123,-713.0,713.0,26.7384,39.1787,19.0,27.0,35.0,0.7227,0.7227,0.1544,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,24.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,24.5,0.6423,0.3577,-180.0,180.0,26.7384,39.1787,19.0,27.0,35.0,0.4754,0.4754,0.1669,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,24.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,24.5,0.6423,0.3577,-180.0,180.0,26.7384,39.1787,19.0,27.0,35.0,0.4698,0.4698,0.1725,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,23.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,23.5,0.7015,0.2985,-235.0,235.0,26.7384,39.1787,19.0,27.0,35.0,0.5238,0.5238,0.1777,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,24.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,24.5,0.6423,0.3577,-180.0,180.0,26.7384,39.1787,19.0,27.0,35.0,0.4817,0.4817,0.1606,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
2026-06-10,2026-06-10,b875077f-86bc-48fa-9ff3-d0d6137d121d,morning_expected,2026-06-10T20:32:14Z,076e0476,076e0476#phase10c,challenger-2026-06-08,2026-06-10T20:32:09Z,161,De'Aaron Fox,SAS,NYK,21716137,,pra,25.5,starter,starter,True,,,,31.4152,,34.499,,0.05,projected,not_available_yet,fallback_used,bdl_plus_nba_official,2026-06-10T20:31:09Z,bdl_lineup_freshness_manifest,,False,False,25.5,0.5783,0.4217,-137.0,137.0,26.7384,39.1787,19.0,27.0,35.0,0.4367,0.4367,0.1416,full,ready,,build_derek_forward_feed:v1_model_only_plus_market_reference,ok
