player_id,player_name,team_abbr,team_id,opponent,is_home,game_id,game,game_start_et,stat,role_bucket,role_source,mp_bucket,usage_bucket,minutes_mean,minutes_q50,p_inactive_used,support_min,support_max,line,market_fair_over_prob,market_source,market_offered_side,market_offered_odds,pmf_source,pmf_active
161,De'Aaron Fox,SAS,27,MIN,True,21707973,Minnesota Timberwolves @ San Antonio Spurs,,fg3m,starter,derived_from_projected_minutes,3.0,0.0,,2.0,,0,,1.5,0.4758,fanduel,OVER,106.0,predict.py:pmf_cal,"{""0"": 0.13820000000000002, ""1"": 0.28800000000000003, ""2"": 0.24830000000000002, ""3"": 0.16510000000000002, ""4"": 0.07900000000000001, ""5"": 0.029200000000000004, ""6"": 0.028900000000000002, ""15"": 0.023300000000000005}"
161,De'Aaron Fox,SAS,27,MIN,True,21707973,Minnesota Timberwolves @ San Antonio Spurs,,stl,starter,derived_from_projected_minutes,3.0,0.0,,1.0,,0,,1.5,0.3659,betparx,UNDER,-200.0,predict.py:raw,"{""0"": 0.4361, ""1"": 0.3413, ""2"": 0.1362, ""3"": 0.0378, ""4"": 0.0066, ""5"": 0.0078, ""6"": 0.0059, ""7"": 0.0058, ""8"": 0.0082, ""9"": 0.007, ""10"": 0.0073}"
387,Julius Randle,MIN,18,SAS,False,21707973,Minnesota Timberwolves @ San Antonio Spurs,,pts,starter,derived_from_projected_minutes,3.0,0.0,,20.0,,0,,18.5,0.4762,betparx,OVER,104.0,predict.py:pmf_cal,"{""0"": 0.011915490137178332, ""1"": 0.008010413537598878, ""2"": 0.00851106438369881, ""3"": 0.012816661660158206, ""4"": 0.011815359967958345, ""5"": 0.01371783318313808, ""6"": 0.016221087413637727, ""7"": 0.017122258936617604, ""8"": 0.019825773505557226, ""9"": 0.019825773505557226, ""10"": 0.019325122659457294, ""11"": 0.025433062981876437, ""12"": 0.029338139581455893, ""13"": 0.03063983178131571, ""14"": 0.03744868328827476, ""15"": 0.040052067687994394, ""16"": 0.041654150395514164, ""17"": 0.0364473815960749, ""18"": 0.051266646640632824, ""19"": 0.04746170021027335, ""20"": 0.052768599178932604, ""21"": 0.044057274456793825, ""22"": 0.05046560528687293, ""23"": 0.04455792530289376, ""24"": 0.042555321918494045, ""25"": 0.041954540903174124, ""26"": 0.02963853008911585, ""27"": 0.03204165415039551, ""28"": 0.03174126364273555, ""29"": 0.021027335536197057, ""30"": 0.02623410433563633, ""31"": 0.018023430459597475, ""32"": 0.01672173825973766, ""33"": 0.010013016921998599, ""34"": 0.009312105737458696, ""35"": 0.006908981676179033, ""36"": 0.006208070491639131, ""37"": 0.0037048162611394812, ""38"": 0.0029037749073795934, ""39"": 0.0021027335536197055, ""40"": 0.0022028637228396915, ""41"": 0.0021027335536197055, ""45"": 0.0011014318614198458, ""54"": 0.0014018223690798037, ""80"": 0.0014018223690798037}"
387,Julius Randle,MIN,18,SAS,False,21707973,Minnesota Timberwolves @ San Antonio Spurs,,ast,starter,derived_from_projected_minutes,3.0,0.0,,3.0,,0,,4.5,0.4167,fanduel,UNDER,-159.0,predict.py:pmf_cal,"{""0"": 0.07278734481377654, ""1"": 0.10832999599519424, ""2"": 0.16489787745294357, ""3"": 0.16850220264317184, ""4"": 0.17020424509411297, ""5"": 0.12575090108129755, ""6"": 0.08059671605927113, ""7"": 0.05676812174609532, ""8"": 0.028233880656788148, ""9"": 0.013416099319183021, ""10"": 0.006207448938726472, ""11"": 0.0025030036043251903, ""12"": 0.0018021625951141372}"
261,Luke Kornet,SAS,27,MIN,True,21707973,Minnesota Timberwolves @ San Antonio Spurs,,reb,bench,derived_from_projected_minutes,1.0,0.0,,3.0,,0,,3.5,0.4441,betmgm,UNDER,-132.0,predict.py:pmf_cal,"{""0"": 0.08476276457016753, ""1"": 0.15197111044237135, ""2"": 0.18136222289096196, ""3"": 0.17734978433142742, ""4"": 0.13782726452001204, ""5"": 0.10031096398836394, ""6"": 0.05767880429330926, ""7"": 0.04724646403851941, ""8"": 0.02096499147356806, ""9"": 0.014846022670277861, ""10"": 0.010031096398836392, ""11"": 0.006921456515197111, ""12"": 0.004313371451499649, ""13"": 0.0033102618116160097, ""14"": 0.0011034206038720033}"
3547238,Anthony Edwards,MIN,18,SAS,False,21707973,Minnesota Timberwolves @ San Antonio Spurs,,pts,rotation,derived_from_projected_minutes,2.0,0.0,,19.0,,0,,20.5,0.5193,betmgm,UNDER,-102.0,predict.py:pmf_cal,"{""0"": 0.01191668335669938, ""1"": 0.010214300020028039, ""2"": 0.010214300020028039, ""3"": 0.012817945123172442, ""4"": 0.014019627478469857, ""5"": 0.015321450030042058, ""6"": 0.021029441217704788, ""7"": 0.021029441217704788, ""8"": 0.02213098337672742, ""9"": 0.022531544161826556, ""10"": 0.02603645103144402, ""11"": 0.03144402163028239, ""12"": 0.027838974564390145, ""13"": 0.03655117164029641, ""14"": 0.04105748047266173, ""15"": 0.04185860204286, ""16"": 0.045363508912477465, ""17"": 0.0405567794912878, ""18"": 0.041257760865211296, ""19"": 0.04416182655718005, ""20"": 0.04946925695974364, ""21"": 0.04466252753855397, ""22"": 0.039455237332265164, ""23"": 0.040857200080112156, ""24"": 0.0366513118365712, ""25"": 0.038553975565792105, ""26"": 0.03605047065892249, ""27"": 0.026537152012817943, ""28"": 0.024233927498497895, ""29"": 0.022831964750650913, ""30"": 0.02032845984378129, ""31"": 0.016723412777889045, ""32"": 0.01131584217905067, ""33"": 0.01191668335669938, ""34"": 0.006709393150410575, ""35"": 0.0074103745243340674, ""36"": 0.006008411776487082, ""37"": 0.0053074304025635885, ""38"": 0.004205888243540957, ""39"": 0.003304626477067895, ""40"": 0.001902663729220909, ""41"": 0.002002803925495694, ""42"": 0.0021029441217704785, ""44"": 0.001301822551572201, ""59"": 0.0014019627478469858, ""80"": 0.0014019627478469858}"
3547238,Anthony Edwards,MIN,18,SAS,False,21707973,Minnesota Timberwolves @ San Antonio Spurs,,fg3m,rotation,derived_from_projected_minutes,2.0,0.0,,2.0,,0,,2.5,0.4758,betparx,UNDER,-115.0,predict.py:pmf_cal,"{""0"": 0.1587, ""1"": 0.3093, ""2"": 0.2498, ""3"": 0.1528, ""4"": 0.0645, ""5"": 0.0416, ""15"": 0.0233}"
104,Mike Conley,MIN,18,SAS,False,21707973,Minnesota Timberwolves @ San Antonio Spurs,,ast,bench,derived_from_projected_minutes,1.0,0.0,,2.0,,0,,3.5,0.4202,caesars,UNDER,-150.0,predict.py:pmf_cal,"{""0"": 0.19767325243205294, ""1"": 0.22043927389429344, ""2"": 0.21201484304482998, ""3"": 0.16999297964095877, ""4"": 0.10049142513288535, ""5"": 0.0544579279911744, ""6"": 0.027880854477986154, ""7"": 0.010229666031491325, ""8"": 0.004813960485407681, ""9"": 0.0020058168689198676}"
104,Mike Conley,MIN,18,SAS,False,21707973,Minnesota Timberwolves @ San Antonio Spurs,,fg3m,bench,derived_from_projected_minutes,1.0,0.0,,2.0,,0,,1.5,0.3839,caesars,OVER,145.0,predict.py:pmf_cal,"{""0"": 0.1304, ""1"": 0.293, ""2"": 0.2606, ""3"": 0.1698, ""4"": 0.0769, ""5"": 0.046, ""15"": 0.0233}"
1028025261,Stephon Castle,SAS,27,MIN,True,21707973,Minnesota Timberwolves @ San Antonio Spurs,,reb,starter,derived_from_projected_minutes,3.0,0.0,,4.0,,0,,5.5,0.4514,fanatics,UNDER,-130.0,predict.py:pmf_cal,"{""0"": 0.03155048076923077, ""1"": 0.06460336538461539, ""2"": 0.10106169871794872, ""3"": 0.14753605769230768, ""4"": 0.16766826923076922, ""5"": 0.15845352564102566, ""6"": 0.11548477564102565, ""7"": 0.07892628205128205, ""8"": 0.056991185897435896, ""9"": 0.037760416666666664, ""10"": 0.02123397435897436, ""11"": 0.010016025641025642, ""12"": 0.005709134615384616, ""13"": 0.0030048076923076925}"
