player_id,player_name,team,opponent,game_id
161,De'Aaron Fox,SAS,OKC,21713533
38017703,Jalen Williams,OKC,SAS,21713533
201,Isaiah Hartenstein,OKC,SAS,21713533
56677833,Cason Wallace,OKC,SAS,21713533
38017706,Jaylin Williams,OKC,SAS,21713533
1028027372,Jared McCain,OKC,SAS,21713533
1028025261,Stephon Castle,SAS,OKC,21713533
3547246,Devin Vassell,SAS,OKC,21713533
175,Shai Gilgeous-Alexander,OKC,SAS,21713533
666541,Luguentz Dort,OKC,SAS,21713533
38017649,Julian Champagnie,SAS,OKC,21713533
38017685,Chet Holmgren,OKC,SAS,21713533
1057262518,Dylan Harper,SAS,OKC,21713533
89,Alex Caruso,OKC,SAS,21713533
666682,Keldon Johnson,SAS,OKC,21713533
56677822,Victor Wembanyama,SAS,OKC,21713533
