role_bucket_pred,n,dnp_rate_actual,dnp_prob_pred_mean,active_logloss,mae_model,mae_baseline,bias_model,bias_baseline
bench,13025,0.0,0.000968138195777352,0.0009976661560587448,5.801499608586341,6.123374493495415,-0.32240305792767904,0.44351000822593917
core,18845,0.0,0.0014996020164499881,0.0015445182042675247,4.893493084227844,5.032016365757411,0.14038646454775153,0.09079546172409
fringe,6200,0.0,0.00039838709677419396,0.000411026568641215,5.963869342818345,6.218381400409625,0.10892040908515689,0.6719822708653352
inactive_risk,7762,0.0,0.18440479257923215,0.31044814063558485,7.0753161527542145,4.6453595150161755,4.851946580838005,0.3324368719402216
rotation,16611,0.0,0.0012293058816446943,0.0012663973040516435,5.305436346212557,5.608897503375561,-0.3095726873016173,0.13880883579727718
starter,18589,0.0,0.0017892301898972524,0.0018437200742243433,4.235351890673084,4.2113121388566555,0.0018054350031165886,-0.39154737782286336
