player_id,player_name,team,opponent,stat,line,line_moved,lineup_changed,injury_availability_changed,prediction_input_changed,market_changed
1028025261,Stephon Castle,SAS,NYK,ast,6.5,False,False,False,True,True
1028025261,Stephon Castle,SAS,NYK,reb,4.5,False,False,False,True,True
1057262518,Dylan Harper,SAS,NYK,ast,2.5,False,False,False,True,True
1057262518,Dylan Harper,SAS,NYK,pts,10.5,False,False,False,True,True
161,De'Aaron Fox,SAS,NYK,ast,5.5,False,False,False,True,True
161,De'Aaron Fox,SAS,NYK,reb,3.5,False,False,False,True,True
202,Josh Hart,NYK,SAS,ast,4.5,False,False,False,True,True
202,Josh Hart,NYK,SAS,pts,11.5,False,False,False,True,True
202,Josh Hart,NYK,SAS,reb,7.5,False,False,False,True,True
261,Luke Kornet,SAS,NYK,reb,2.5,False,False,False,True,True
3547246,Devin Vassell,SAS,NYK,ast,2.5,False,False,False,True,True
3547246,Devin Vassell,SAS,NYK,blk,0.5,False,False,False,True,True
3547246,Devin Vassell,SAS,NYK,pts,12.5,False,False,False,True,True
3547246,Devin Vassell,SAS,NYK,reb,4.5,False,False,False,True,True
38017649,Julian Champagnie,SAS,NYK,pts,10.5,False,False,False,True,True
38017649,Julian Champagnie,SAS,NYK,reb,5.5,False,False,False,True,True
399,Mitchell Robinson,NYK,SAS,blk,0.5,False,False,False,True,True
399,Mitchell Robinson,NYK,SAS,reb,5.5,False,False,False,True,True
447,Karl-Anthony Towns,NYK,SAS,ast,3.5,False,False,False,True,True
447,Karl-Anthony Towns,NYK,SAS,blk,0.5,False,False,False,True,True
447,Karl-Anthony Towns,NYK,SAS,pts,16.5,False,False,False,True,True
447,Karl-Anthony Towns,NYK,SAS,reb,11.5,False,False,False,True,True
56677822,Victor Wembanyama,SAS,NYK,ast,2.5,False,False,False,True,True
56677822,Victor Wembanyama,SAS,NYK,pts,26.5,False,False,False,True,True
56677822,Victor Wembanyama,SAS,NYK,reb,11.5,False,False,False,True,True
56677822,Victor Wembanyama,SAS,NYK,stl,1.5,False,False,False,True,True
61,Mikal Bridges,NYK,SAS,blk,0.5,False,False,False,True,True
666682,Keldon Johnson,SAS,NYK,pts,8.5,False,False,False,True,True
666682,Keldon Johnson,SAS,NYK,reb,3.5,False,False,False,True,True
666682,Keldon Johnson,SAS,NYK,stl,0.5,False,False,False,True,True
73,Jalen Brunson,NYK,SAS,pts,25.5,False,False,False,True,True
