stat,role_bucket,n_rows,n_dates,market_logloss,model_logloss,delta_logloss,bootstrap_upper_logloss_delta,market_brier,model_brier,delta_brier,bootstrap_upper_brier_delta,calibration_pass,model_better_calibrated,dominant_failure_mode,worst_20_rows_path,recommended_repair_family
ast,core,2064,16,0.6659658507479521,0.7276461253596858,0.06168027461173364,0.0731732581256111,0.2371450441501201,0.2654035413975021,0.028258497247381997,0.0337144088021034,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/ast__core__worst20.csv,F_market_residual_stacker
pa,core,2287,14,0.6490490939184468,0.7098296777380096,0.06078058381956286,0.0745098842612899,0.2291465272491156,0.2557349066484477,0.026588379399332118,0.0326418998025418,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pa__core__worst20.csv,F_market_residual_stacker
ra,rotation,623,14,0.6699336748026795,0.7185467046735245,0.04861302987084504,0.0703218385194105,0.2393793930634491,0.2615906515248796,0.02221125846143049,0.0323769525255711,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/ra__rotation__worst20.csv,C_variance_temperature_repair
ra,core,1817,14,0.668394752698768,0.7121823642207394,0.043787611521971415,0.0573885479714031,0.2382973938476063,0.2578953748059989,0.019597980958392602,0.0261287682533086,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/ra__core__worst20.csv,E_calibration_only_repair
reb,rotation,1483,16,0.6521695833916533,0.6935397558710649,0.04137017247941155,0.0521212980648043,0.2307305017056273,0.2504512246946879,0.01972072298906058,0.024864424235442,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/reb__rotation__worst20.csv,E_calibration_only_repair
pra,rotation,1296,14,0.6899323396550979,0.7305716817422744,0.040639342087176455,0.0563446314689489,0.2478083636450165,0.2658385543667954,0.018030190721778888,0.0252894921997461,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pra__rotation__worst20.csv,E_calibration_only_repair
fg3m,starter,2289,16,0.6576844070892998,0.6983055607374294,0.04062115364812968,0.0517475562143946,0.2333485991863682,0.2497586140012228,0.0164100148148546,0.0210950812227228,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/fg3m__starter__worst20.csv,E_calibration_only_repair
pr,rotation,1288,14,0.6617781055575584,0.7021534783282068,0.0403753727706484,0.0542838646755496,0.2349546667808027,0.2526085181075311,0.017653851326728393,0.0241354526530895,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pr__rotation__worst20.csv,E_calibration_only_repair
pra,bench,448,14,0.6876377311794465,0.7272692268918222,0.039631495712375675,0.0732615749896733,0.247213017462905,0.2614652629743303,0.014252245511425315,0.0280963564664713,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pra__bench__worst20.csv,E_calibration_only_repair
reb,core,3154,16,0.6671569338803338,0.7017954240585963,0.03463849017826248,0.0438358431230744,0.2372721893191796,0.2528395244134432,0.015567335094263612,0.0198563093056911,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/reb__core__worst20.csv,E_calibration_only_repair
pa,rotation,760,14,0.6796941015185862,0.7093815745442752,0.02968747302568897,0.0484072254347746,0.2432741821687343,0.2570125989572369,0.013738416788502572,0.0226083468376248,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pa__rotation__worst20.csv,E_calibration_only_repair
pr,bench,604,13,0.6687214948280358,0.6882936693234277,0.019572174495391947,0.0461487431409372,0.2384221945191025,0.2439878928187085,0.0055656982996060145,0.017204251389916,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pr__bench__worst20.csv,E_calibration_only_repair
fg3m,rotation,1004,16,0.6342293988497353,0.6464888429751032,0.012259444125367946,0.0301764052093303,0.2218734632143678,0.22401775382049,0.002144290606122201,0.009261192930786,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/fg3m__rotation__worst20.csv,E_calibration_only_repair
ra,starter,2175,14,0.6566145867203093,0.6655792755041507,0.00896468878384149,0.0227788509282805,0.2327190225031978,0.2359429449241379,0.0032239224209401063,0.009155643813551,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/ra__starter__worst20.csv,E_calibration_only_repair
ast,starter,2616,16,0.6564157246148198,0.6650010476891094,0.008585323074289608,0.0191389481157749,0.2323488852885035,0.2363532167006456,0.004004331412142098,0.009136627318343,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/ast__starter__worst20.csv,E_calibration_only_repair
reb,starter,2828,16,0.6564207516277516,0.6644586293737793,0.00803787774602771,0.0168261254910284,0.2325966888087137,0.2366963371837183,0.004099648375004594,0.0084345821175679,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/reb__starter__worst20.csv,E_calibration_only_repair
pts,bench,1472,15,0.6674951680364185,0.6736752258369177,0.006180057800499239,0.0212791720843149,0.2378120954980651,0.2379753300875604,0.000163234589495298,0.0060878371058242,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pts__bench__worst20.csv,E_calibration_only_repair
pts,rotation,2328,16,0.6698355216339096,0.6743097701771102,0.004474248543200665,0.0136896174799044,0.2388366870544251,0.2402008093047769,0.001364122250351818,0.005677864090074,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pts__rotation__worst20.csv,E_calibration_only_repair
pr,starter,3372,14,0.624004813266453,0.6283765288413792,0.004371715574926216,0.0141501504849046,0.217908205056547,0.2182321979900652,0.00032399293351820235,0.0045459114477493,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T044606Z/worst_rows/pr__starter__worst20.csv,E_calibration_only_repair
