stat,role_bucket,n,pit_ks_statistic,pit_ks_pvalue,mean_pred,mean_actual,mean_error,mean_pred_variance,actual_variance,variance_error,mean_p0_pred,actual_p0_rate,p0_error,mean_nll,mean_rps,gate_pass,dominant_failure
blk,bench,3286,0.5596039418973044,0.0,0.3596969383134502,0.3241022519780888,0.0355946863353613,1.0251968710435897,0.4789504265500106,0.5462464444935788,0.7911995302404772,0.7656725502130249,0.0255269800274522,1.2062274081288091,0.2473067972099988,False,PIT_shape
blk,core,5248,0.4462045484418618,0.0,0.5978438629915671,0.5455411585365854,0.0523027044549817,1.5347892619204049,0.8458680760498772,0.6889211858705274,0.6701130509545022,0.6419588414634146,0.0281542094910876,1.6313105644138055,0.3586465235561998,False,PIT_shape
blk,fringe,1296,0.642806210373704,0.0,0.2491569082347972,0.191358024691358,0.0577988835434391,0.7505405937304723,0.2812833409541228,0.4692572527763495,0.8506640052021512,0.8541666666666666,-0.0035026614645153,0.7765716013154133,0.15551599466077,False,PIT_shape
blk,inactive_risk,1237,0.5430893496958513,0.0,0.4123802352914864,0.3613581244947453,0.051022110796741,1.1242343963972805,0.5589918499198455,0.565242546477435,0.7660712833931013,0.7485852869846402,0.017485996408461,0.7673705583520909,0.2458182454787788,False,PIT_shape
blk,rotation,4772,0.4970257931922436,0.0,0.4959388048861372,0.4585079631181894,0.0374308417679478,1.3372198458267477,0.6443387629290447,0.6928810828977028,0.7193164607350091,0.6804274937133278,0.0388889670216813,1.3074499793238354,0.3074954553963497,False,PIT_shape
blk,starter,3369,0.3936382982960338,0.0,0.6611183327386532,0.5779162956366874,0.0832020371019657,1.705624207963523,0.7764312770541316,0.9291929309093916,0.6308056820350264,0.6064113980409617,0.0243942839940647,1.710758787806151,0.3767493854660189,False,PIT_shape
pa,bench,3286,0.100029793061473,4.479541244934317e-29,6.106125106512478,6.47930614729154,-0.3731810407790616,32.85904099926963,32.42060037066824,0.4384406286013913,0.1415825319537431,0.1469872185027388,-0.0054046865489957,2.860259299875273,2.915243452288497,False,PIT_shape
pa,core,5248,0.1301182926829267,6.265779731290059e-78,14.982731030868903,16.087271341463413,-1.1045403105945084,70.2578078677615,69.65930444466649,0.5985034230950106,0.0176332793445121,0.0076219512195121,0.010011328125,3.3827046939530736,4.017714751123761,False,PIT_shape
pa,fringe,1296,0.1751209876543209,3.123823187078845e-35,3.8202735339506178,3.830246913580247,-0.009973379629629,22.71666682127315,21.110072778539855,1.6065940427332954,0.2609720293209876,0.3055555555555556,-0.0445835262345679,2.417981261853263,2.24269246871142,False,PIT_shape
pa,inactive_risk,1237,0.3405777687954733,1.4639036533291663e-128,5.194397008892483,9.67663702506063,-4.482240016168148,53.85020857907438,100.38533129347152,-46.535122714397126,0.3780481406628941,0.1899757477768795,0.1880723928860146,3.3585441299983674,4.562273346564269,False,PIT_shape
pa,rotation,4772,0.1280812238055323,1.0483666098889027e-68,9.630440234702432,10.44761106454317,-0.8171708298407374,45.860377425658,43.80928389902259,2.0510935266354053,0.0507346290863369,0.0312238055322715,0.0195108235540653,3.1580796712581587,3.3835418781831517,False,PIT_shape
pa,starter,3369,0.1234589640842981,3.259293384404326e-45,22.87483107747106,24.010982487384982,-1.1361514099139214,110.26389173559802,100.8473118575146,9.416579878083413,0.0068553279905016,0.0011872959335114,0.0056680320569902,3.5479964109401396,4.566656944296527,False,PIT_shape
