stat,role_bucket,n,before_n,before_mean_ae,before_variance_ae,before_p0_error,before_pit_ks,before_nll,before_rps,before_mean_pass,before_variance_pass,before_p0_pass,before_pit_pass,before_internal_pass,after_n,after_mean_ae,after_variance_ae,after_p0_error,after_pit_ks,after_nll,after_rps,after_mean_pass,after_variance_pass,after_p0_pass,after_pit_pass,after_internal_pass,mean_ae_abs_error_delta,variance_ae_abs_error_delta,p0_abs_error_delta,pit_ks_delta,nll_delta,rps_delta
tov,fringe,1296,1296.0,1.1199074554695438,0.6934675929745451,-0.0898770593907453,0.31190740740740747,0.9336375299009086,0.026582608917860833,False,False,False,False,False,1296.0,0.9521317987439687,0.7848655062950051,-0.015406233460852792,0.34245136366523976,0.9110997974155347,0.026313304935872403,False,False,True,False,False,-0.07203925421351254,-0.09139791332045999,-0.07447082592989251,0.030543956257832294,-0.02253773248537394,-0.00026930398198843006
tov,bench,3286,3286.0,1.0014152102011267,0.5752220475217574,-0.09299085648328154,0.24255984986812745,1.136958754928339,0.033859440365155105,True,False,False,False,False,3286.0,1.0166262970302686,0.8113397720250166,-0.04235244554294515,0.27223075272918323,1.1073554410453907,0.033753885648943924,True,False,False,False,False,0.015211086829141962,-0.23611772450325919,-0.05063841094033639,0.02967090286105578,-0.029603313882948346,-0.0001055547162111814
stl,bench,3286,3286.0,0.8094311332151759,0.4003926375369828,-0.0026665874820747115,0.18190464393798841,1.82072012731047,0.033075590375908424,False,False,True,False,False,3286.0,1.1126836197392285,0.9197246673266255,-0.03514756382210915,0.2046837676769398,1.8086158952791622,0.03280571245731469,False,True,False,False,False,-0.07788524704559563,-0.5193320297896427,0.03248097634003444,0.022779123738951385,-0.012104232031307838,-0.0002698779185937375
stocks,bench,3286,3286.0,0.8430157347616686,0.4526776014515331,-0.010853215968568586,0.11195670078755139,2.544746301225241,0.025569632145831026,False,False,True,False,False,3286.0,1.1135429228768587,0.939773236308488,-0.04035271926515749,0.129611572417326,2.5284985340874444,0.025340202207557484,False,True,False,False,False,-0.04344134236147268,-0.48709563485695495,0.029499503296588903,0.017654871629774596,-0.016247767137796743,-0.00022942993827354194
stocks,inactive_risk,1237,1237.0,0.8124581607017474,0.3965215940226178,-0.002049268574599583,0.11652220325763152,1.5105977819469465,0.02356503222604703,False,False,True,False,False,1237.0,1.0661120637146366,0.8362540554990932,-0.029563345449616307,0.13133603241417807,1.493935485549769,0.02339583237977192,False,False,True,False,False,-0.121429775583616,-0.4397324614764754,0.027514076875016724,0.014813829156546554,-0.016662296397177423,-0.00016919984627511084
stocks,fringe,1296,1296.0,0.7212725043289789,0.4144113369496053,0.040967879307188704,0.19347429472279043,1.6919432638648102,0.01775917543344146,False,False,False,False,False,1296.0,1.0224307239585704,0.9662714876439019,0.005353047157405144,0.20812757900273918,1.6754239261557313,0.017407496744253962,False,True,True,False,False,-0.2562967717124507,-0.5518601506942966,-0.03561483214978356,0.014653284279948747,-0.016519337709078874,-0.00035167868918749637
stocks,core,5248,5248.0,0.8840022779760235,0.49400986911666317,-0.026106436653325904,0.054114012191893955,3.054274115192627,0.035598586008657195,False,False,True,True,False,5248.0,1.1015025790003359,0.9465719937400472,-0.046313322950653324,0.06852114652603425,3.0310370952481844,0.035291475294952634,False,True,False,True,False,-0.014495143023640633,-0.45256212462338397,0.02020688629732742,0.014407134334140294,-0.023237019944442494,-0.00030711071370456006
stl,rotation,4772,4772.0,0.8603168534407454,0.42089962450113527,-0.021255363636517477,0.13568607930224624,2.1426174419482837,0.0428547768921382,False,False,True,False,False,4772.0,1.0929722634694938,0.8274555216034856,-0.046702888979517576,0.14943992150994226,2.1288045500968495,0.042641340005246525,False,False,False,False,False,-0.04671088308976079,-0.4065558971023503,0.0254475253430001,0.013753842207696015,-0.013812891851434195,-0.00021343688689167556
stl,core,5248,5248.0,0.8676742075101721,0.4394445768218179,-0.014167047865208282,0.09776104895888596,2.4614836119989287,0.04888522030295555,False,False,True,False,False,5248.0,1.0974919547926034,0.8742570848235326,-0.04051437679526998,0.11067251923306642,2.444627380447425,0.048601752739068,False,False,False,False,False,-0.03483383769722448,-0.43481250800171467,0.026347328930061698,0.012911470274180464,-0.016856231551503953,-0.0002834675638875503
blk,core,5248,5248.0,0.9125144411564872,0.4414963207004244,-0.0281542094910876,0.170748054135536,1.8234851586842689,0.03260422941419998,False,False,True,False,False,5248.0,1.1311321314977962,0.8326402580516358,-0.04371343241586245,0.1827614764733559,1.8160314833056403,0.032644147628237793,False,False,False,False,False,0.0436465726542834,-0.39114393735121145,0.015559222924774851,0.012013422337819879,-0.00745367537862851,3.991821403781515e-05
fg3m,core,5248,5248.0,0.9850991336221283,1.9739659518848598,0.08468054617843226,0.10882032164634137,2.5221022556961197,0.045545522488932795,True,False,False,False,False,5248.0,0.9046660283193321,0.9892771671345627,0.06521870553870007,0.11919641956124094,2.5454919907980815,0.048934202790657695,False,True,False,False,False,0.08043310530279624,-0.9632431190194225,-0.019461840639732192,0.010376097914899574,0.02338973510196185,0.0033886803017249
ast,bench,3286,3286.0,1.0205559333616092,0.6584781560920067,-0.09379481174673643,0.16980056806654495,1.4555646433690974,0.025596954796850598,False,False,False,False,False,3286.0,1.0576656043253267,0.8771560729854853,-0.052585672225957336,0.18012841533951257,1.4397057430404965,0.02580801872119146,False,False,False,False,False,0.037109670963717534,-0.2186779168934786,-0.04120913952077909,0.010327847272967622,-0.015858900328600933,0.00021106392434086171
stocks,rotation,4772,4772.0,0.8836116005230246,0.4575458758245176,-0.027796992692134814,0.08245039562478557,2.7061350745209847,0.031240341189443854,False,False,True,False,False,4772.0,1.0935001995238838,0.8487995149926497,-0.04766227717140392,0.09247639885012801,2.6873184073693954,0.031046885280565952,False,False,False,False,False,-0.02288819995309166,-0.39125363916813205,0.019865284479269107,0.010026003225342445,-0.01881666715158925,-0.00019345590887790212
stl,starter,3369,3369.0,0.9014114027282035,0.478543597956332,-0.020564631364488384,0.07603865324621512,2.7963359229911977,0.05545852810550243,False,False,True,True,False,3369.0,1.0998287648923206,0.8914788222869997,-0.040023711513050286,0.08394269569757165,2.7799133721515945,0.055239339713271815,False,False,False,False,False,0.0012401676205241463,-0.41293522433066776,0.019459080148561902,0.007904042451356535,-0.0164225508396032,-0.00021918839223061815
tov,rotation,4772,4772.0,1.0086333041818272,0.5542884318657805,-0.12283862250837368,0.18902374965074042,1.3718187521856227,0.042573335722767225,True,False,False,False,False,4772.0,1.0046799612334336,0.819422298039486,-0.03909010035671212,0.19390193934234096,1.3277782059032357,0.04227733097068819,True,False,False,False,False,-0.003953342948393557,-0.2651338661737055,-0.08374852215166156,0.004878189691600532,-0.04404054628238696,-0.0002960047520790335
