player_id,player_name,team,opponent,game_id
3547272,Isaiah Joe,OKC,SAS,21713534
38017685,Chet Holmgren,OKC,SAS,21713534
161,De'Aaron Fox,SAS,OKC,21713534
38017706,Jaylin Williams,OKC,SAS,21713534
1028025261,Stephon Castle,SAS,OKC,21713534
666541,Luguentz Dort,OKC,SAS,21713534
175,Shai Gilgeous-Alexander,OKC,SAS,21713534
1057262518,Dylan Harper,SAS,OKC,21713534
666682,Keldon Johnson,SAS,OKC,21713534
56677822,Victor Wembanyama,SAS,OKC,21713534
56677833,Cason Wallace,OKC,SAS,21713534
201,Isaiah Hartenstein,OKC,SAS,21713534
89,Alex Caruso,OKC,SAS,21713534
480,Kenrich Williams,OKC,SAS,21713534
1028027372,Jared McCain,OKC,SAS,21713534
3547246,Devin Vassell,SAS,OKC,21713534
38017649,Julian Champagnie,SAS,OKC,21713534
