player_name,projected_minutes,stat,pmf_mean,market_line,p_over
Julian Champagnie,26.4493,pa,13.9155,10.5,0.6937
Julian Champagnie,26.4493,pr,18.2047,15.5,0.6393
Julian Champagnie,26.4493,pra,19.9588,16.5,0.6839
Julian Champagnie,26.4493,pts,12.1613,9.5,0.648
Julian Champagnie,26.4493,ra,7.7975,6.5,0.6994
Julian Champagnie,26.4493,reb,6.0433,5.5,0.6071
Julian Champagnie,26.4493,stl,0.8422,0.5,0.5664
Keldon Johnson,18.3978,ast,1.3286,0.5,0.7739
Keldon Johnson,18.3978,blk,0.2097,0.5,0.1855
Keldon Johnson,18.3978,fg3m,0.9877,0.5,0.5277
Keldon Johnson,18.3978,pr,14.1127,10.5,0.7021
Keldon Johnson,18.3978,pra,15.4413,11.5,0.7172
Keldon Johnson,18.3978,pts,10.6289,7.5,0.6821
Keldon Johnson,18.3978,reb,3.4839,2.5,0.7165
Keldon Johnson,18.3978,stl,0.4103,0.5,0.3181
Kenrich Williams,14.7571,ast,0.993,0.5,0.5658
Kenrich Williams,14.7571,fg3m,0.6212,0.5,0.2961
Kenrich Williams,14.7571,pr,9.5407,4.5,0.7508
Kenrich Williams,14.7571,pra,10.5336,6.5,0.6793
Kenrich Williams,14.7571,pts,6.6846,2.5,0.6982
Kenrich Williams,14.7571,reb,2.8561,1.5,0.6847
Luguentz Dort,20.0902,ast,1.2861,0.5,0.7623
Luguentz Dort,20.0902,blk,0.223,0.5,0.1914
Luguentz Dort,20.0902,fg3m,0.7848,1.5,0.1817
Luguentz Dort,20.0902,pa,8.7652,6.5,0.6481
Luguentz Dort,20.0902,pr,10.5626,6.5,0.7646
Luguentz Dort,20.0902,pra,11.8487,8.5,0.7143
Luguentz Dort,20.0902,pts,7.4791,4.5,0.7024
Luguentz Dort,20.0902,ra,4.3696,3.5,0.6542
Luguentz Dort,20.0902,reb,3.0835,2.5,0.6324
Luguentz Dort,20.0902,stl,0.4804,0.5,0.2791
Shai Gilgeous-Alexander,31.1291,ast,7.8036,7.5,0.5862
Shai Gilgeous-Alexander,31.1291,blk,0.3065,0.5,0.2267
Shai Gilgeous-Alexander,31.1291,fg3m,1.1914,1.5,0.3577
Shai Gilgeous-Alexander,31.1291,pa,34.0175,38.5,0.2486
Shai Gilgeous-Alexander,31.1291,pr,30.381,34.5,0.2583
Shai Gilgeous-Alexander,31.1291,pra,38.1846,42.5,0.2615
Shai Gilgeous-Alexander,31.1291,pts,26.2139,30.5,0.243
Shai Gilgeous-Alexander,31.1291,ra,11.9707,11.5,0.5842
Shai Gilgeous-Alexander,31.1291,reb,4.1671,3.5,0.7105
Shai Gilgeous-Alexander,31.1291,stl,0.7751,1.5,0.2123
Stephon Castle,29.0546,ast,6.8989,6.5,0.5752
Stephon Castle,29.0546,blk,0.2705,0.5,0.2126
Stephon Castle,29.0546,fg3m,2.0728,1.5,0.5303
Stephon Castle,29.0546,pa,25.5396,23.5,0.6281
Stephon Castle,29.0546,pr,24.4637,21.5,0.6851
Stephon Castle,29.0546,pra,31.3626,28.5,0.6691
Stephon Castle,29.0546,pts,18.6408,16.5,0.6363
Stephon Castle,29.0546,ra,12.7218,11.5,0.674
Stephon Castle,29.0546,reb,5.8229,5.5,0.5841
Stephon Castle,29.0546,stl,0.6409,1.5,0.1223
Victor Wembanyama,29.5905,ast,2.7398,3.5,0.2232
Victor Wembanyama,29.5905,blk,2.7749,3.5,0.1868
Victor Wembanyama,29.5905,fg3m,2.0522,1.5,0.5359
Victor Wembanyama,29.5905,pa,26.9601,29.5,0.3475
Victor Wembanyama,29.5905,pr,35.8361,38.5,0.3561
Victor Wembanyama,29.5905,pra,38.5759,42.5,0.2989
Victor Wembanyama,29.5905,pts,24.2203,26.5,0.3579
Victor Wembanyama,29.5905,ra,14.3556,15.5,0.3418
Victor Wembanyama,29.5905,reb,11.6158,12.5,0.3494
Victor Wembanyama,29.5905,stl,0.6561,1.5,0.1208
