date,game_id,player_id,player_name,stat,role_bucket,line,model_prob_over,market_probability_for_side,market_prob_over_no_vig,hit_result,actual,model_mean,model_variance,model_p0,actual_minutes,odds_snapshot_family,bookmaker_key,model_event_logloss,market_event_logloss,logloss_gap
2026-05-06,21708674.0,61.0,Mikal Bridges,blk,core,0.5,0.0,0.46489450470854693,0.46489450470854693,1.0,1.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,0.7659447707285567,26.86507634519999
2026-05-06,21708674.0,61.0,Mikal Bridges,blk,core,0.5,0.0,0.4592085979482169,0.4592085979482169,1.0,1.0,0.0,0.0,1.0,,hist_lockday,bovada,27.631021115928547,0.77825071039724,26.852770405531306
2026-05-06,21707973.0,161.0,De'Aaron Fox,stocks,starter,1.5,0.0,0.4496336318555252,0.4496336318555252,1.0,2.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,0.7993221792512097,26.831698936677338
2026-05-06,21708674.0,172.0,Paul George,blk,starter,0.5,0.0,0.43652993348115304,0.43652993348115304,1.0,2.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,0.8288983299227807,26.802122786005768
2026-05-06,21708674.0,18.0,OG Anunoby,stl,starter,1.5,0.0,0.4288622634582652,0.4288622634582652,1.0,4.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,0.846619475806113,26.784401640122436
2026-05-06,21708674.0,172.0,Paul George,blk,starter,0.5,0.0,0.4248366013071895,0.4248366013071895,1.0,2.0,0.0,0.0,1.0,,hist_lockday,bovada,27.631021115928547,0.8560506514967985,26.77497046443175
2026-05-06,21708674.0,18.0,OG Anunoby,stl,starter,1.5,0.0,0.4248366013071895,0.4248366013071895,1.0,4.0,0.0,0.0,1.0,,hist_lockday,bovada,27.631021115928547,0.8560506514967985,26.77497046443175
2026-05-06,21708674.0,172.0,Paul George,blk,starter,0.5,0.0,0.42197452229299365,0.42197452229299365,1.0,2.0,0.0,0.0,1.0,,hist_lockday,betmgm,27.631021115928547,0.8628103404819765,26.76821077544657
2026-05-06,21708674.0,172.0,Paul George,stl,starter,1.5,0.0,0.3982930298719772,0.3982930298719772,1.0,2.0,0.0,0.0,1.0,,hist_lockday,bovada,27.631021115928547,0.9205672886414155,26.710453827287132
2026-05-06,21708674.0,172.0,Paul George,stl,starter,1.5,0.0,0.39680298237686396,0.39680298237686396,1.0,2.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,0.9243153875289392,26.70670572839961
2026-05-06,21708674.0,18.0,OG Anunoby,stl,starter,1.5,0.0,0.3924905308228578,0.3924905308228578,1.0,4.0,0.0,0.0,1.0,,hist_lockday,fanduel,27.631021115928547,0.9352428673427755,26.69577824858577
2026-05-06,21708674.0,172.0,Paul George,stl,starter,1.5,0.0,0.3924905308228578,0.3924905308228578,1.0,2.0,0.0,0.0,1.0,,hist_lockday,fanduel,27.631021115928547,0.9352428673427755,26.69577824858577
2026-05-06,21707973.0,161.0,De'Aaron Fox,stl,starter,1.5,0.0,0.3924905308228578,0.3924905308228578,1.0,2.0,0.0,0.0,1.0,,hist_lockday,fanduel,27.631021115928547,0.9352428673427755,26.69577824858577
2026-05-06,21707973.0,38017649.0,Julian Champagnie,stocks,core,1.5,0.0,0.3794288058247449,0.3794288058247449,1.0,3.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,0.9690882996803173,26.66193281624823
2026-05-06,21707973.0,161.0,De'Aaron Fox,stl,starter,1.5,0.0,0.3759398496240602,0.3759398496240602,1.0,2.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,0.9783261227936076,26.65269499313494
2026-05-06,21707973.0,161.0,De'Aaron Fox,stl,starter,1.5,0.0,0.375,0.375,1.0,2.0,0.0,0.0,1.0,,hist_lockday,bovada,27.631021115928547,0.9808292530117262,26.65019186291682
2026-05-06,21708674.0,202.0,Josh Hart,stl,core,1.5,0.0,0.36736641221374045,0.36736641221374045,1.0,3.0,0.0,0.0,1.0,,hist_lockday,draftkings,27.631021115928547,1.0013955305932032,26.629625585335344
2026-05-06,21708674.0,202.0,Josh Hart,stl,core,1.5,0.0,0.36041189931350115,0.36041189931350115,1.0,3.0,0.0,0.0,1.0,,hist_lockday,bovada,27.631021115928547,1.0205077368299025,26.610513379098645
2026-05-06,21707973.0,1028025261.0,Stephon Castle,stl,core,1.5,0.0,0.35698348951361003,0.35698348951361003,1.0,2.0,0.0,0.0,1.0,,hist_lockday,fanduel,27.631021115928547,1.0300657461329996,26.600955369795546
