player_id,player_name,team,game_id,stat,bdl_lineup_present,current_starter,confirmed_starter,confirmed_bench,lineup_position,lineup_source,lineup_confirmed,role_source,role_bucket_pre_lineup,role_bucket_post_lineup,lineup_context_supplied,lineup_affects_pmf_features
192,James Harden,CLE,21713901,reb,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
322,Donovan Mitchell,CLE,21713901,pts,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
3547299,Sam Merrill,CLE,21713901,pts,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
73,Jalen Brunson,NYK,21713901,fg3m,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
202,Josh Hart,NYK,21713901,reb,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
9,Jarrett Allen,CLE,21713901,pts,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
17896076,Evan Mobley,CLE,21713901,pts,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
666908,Max Strus,CLE,21713901,pts,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
61,Mikal Bridges,NYK,21713901,pts,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
447,Karl-Anthony Towns,NYK,21713901,pts,False,0.0,0.0,1.0,,,1,projected_minutes,,,True,False
