book,n,clv_close_minus_morning_p_mean,clv_book_close_minus_morning_p_mean,model_edge_movement_mean
betmgm,40,-0.1636310872819921,-0.0021398179621636344,0.002139817962163635
betonlineag,43,-0.15577778115996901,0.001740150837039782,-0.001740150837039782
betparx,60,-0.15522847862995057,0.0025137058665370155,-0.0025137058665370155
betrivers,60,-0.1552378053376471,0.002419757070601525,-0.002419757070601525
bovada,94,-0.15398110452004837,0.0013445593918154676,-0.0013445593918154676
draftkings,47,-0.1538996730255777,0.005482612329454755,-0.005482612329454755
espnbet,101,-0.14518812071540815,0.0025691664093052975,-0.0025691664093052975
fanatics,2,-0.05316723261111153,-0.021463805411866377,0.021463805411866377
fanduel,160,-0.15237980059553208,0.0052534827527702275,-0.0052534827527702275
fliff,33,-0.15787951604204484,0.010346712038886602,-0.010346712038886602
hardrockbet,43,-0.15253810288221364,0.010016772483008123,-0.010016772483008123
hardrockbet_az,42,-0.15166391510283467,0.010441521630911128,-0.010441521630911128
hardrockbet_fl,43,-0.1645112265730157,0.008342434350074443,-0.008342434350074443
