stat,n,clv_close_minus_morning_p_mean,clv_book_close_minus_morning_p_mean,model_edge_movement_mean
ast,118,-0.13591034897757137,-0.0002144790545879067,0.0002144790545879067
fg3m,133,-0.11751759343435006,0.017682594351221465,-0.017682594351221465
pts,254,-0.14488260625248486,-0.0005775415764877865,0.0005775415764877865
reb,263,-0.18812115157829945,0.0042436451816339725,-0.0042436451816339725
