date,path,exists,size_bytes,row_count,file_type
2026-05-04,deliveries/2026-05-04/README.md,True,5505,,.md
2026-05-04,deliveries/2026-05-04/after_game_scoring/after_game_clv_and_scoring.csv,True,63737,,.csv
2026-05-04,deliveries/2026-05-04/after_game_scoring/after_game_clv_and_scoring.md,True,1084,,.md
2026-05-04,deliveries/2026-05-04/after_game_scoring/after_game_clv_and_scoring.parquet,True,64408,0.0,.parquet
2026-05-04,deliveries/2026-05-04/after_game_scoring/after_game_scoring.csv,True,63737,,.csv
2026-05-04,deliveries/2026-05-04/after_game_scoring/after_game_scoring.parquet,True,64408,0.0,.parquet
2026-05-04,deliveries/2026-05-04/after_game_scoring/after_game_status.json,True,259,,.json
2026-05-04,deliveries/2026-05-04/after_game_scoring/after_game_summary.md,True,1084,,.md
2026-05-04,deliveries/2026-05-04/after_game_scoring/calibration_by_role_bucket.csv,True,409,,.csv
2026-05-04,deliveries/2026-05-04/after_game_scoring/calibration_by_stat.csv,True,490,,.csv
2026-05-04,deliveries/2026-05-04/after_game_scoring/expected_target_stats_coverage.json,True,3198,,.json
2026-05-04,deliveries/2026-05-04/after_game_scoring/expected_target_stats_coverage.md,True,1312,,.md
2026-05-04,deliveries/2026-05-04/after_game_scoring/model_vs_market_scoring.json,True,396,,.json
2026-05-04,deliveries/2026-05-04/after_game_scoring/model_vs_market_scoring.md,True,138,,.md
2026-05-04,deliveries/2026-05-04/canonical_source/all_props_model_only.parquet,True,606607,0.0,.parquet
2026-05-04,deliveries/2026-05-04/canonical_source/manifest.json,True,2358,,.json
2026-05-04,deliveries/2026-05-04/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.csv,True,1304758,,.csv
2026-05-04,deliveries/2026-05-04/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.jsonl,True,1697283,,.jsonl
2026-05-04,deliveries/2026-05-04/canonical_source/player_prop_pmfs_tonight_MODEL_ONLY.parquet,True,606607,0.0,.parquet
2026-05-04,deliveries/2026-05-04/derek_forward_feed/FEED_README.md,True,2033,,.md
2026-05-04,deliveries/2026-05-04/derek_forward_feed/feed_manifest.champion_stamp.json,True,914,,.json
2026-05-04,deliveries/2026-05-04/derek_forward_feed/feed_manifest.json,True,6770,,.json
2026-05-04,deliveries/2026-05-04/derek_forward_feed/latest_available_snapshot.csv,True,81798,,.csv
2026-05-04,deliveries/2026-05-04/derek_forward_feed/latest_available_snapshot.parquet,True,72032,0.0,.parquet
2026-05-04,deliveries/2026-05-04/derek_forward_feed/lineup_snapshot.csv,True,81798,,.csv
2026-05-04,deliveries/2026-05-04/derek_forward_feed/lineup_snapshot.jsonl,True,164305,,.jsonl
2026-05-04,deliveries/2026-05-04/derek_forward_feed/lineup_snapshot.parquet,True,72032,0.0,.parquet
2026-05-04,deliveries/2026-05-04/derek_forward_feed/lineup_snapshot_status.json,True,338,,.json
2026-05-04,deliveries/2026-05-04/derek_forward_feed/morning_snapshot.csv,True,81733,,.csv
2026-05-04,deliveries/2026-05-04/derek_forward_feed/morning_snapshot.jsonl,True,164240,,.jsonl
2026-05-04,deliveries/2026-05-04/derek_forward_feed/morning_snapshot.parquet,True,72027,0.0,.parquet
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21707972/close_lock/missed_snapshot_manifest.json,True,682,,.json
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21707972/close_lock/missed_snapshot_report.md,True,1035,,.md
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21707972/current_live/missed_snapshot_manifest.json,True,605,,.json
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21707972/current_live/missed_snapshot_report.md,True,1179,,.md
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21708671/close_lock/missed_snapshot_manifest.json,True,682,,.json
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21708671/close_lock/missed_snapshot_report.md,True,1023,,.md
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21708671/current_live/missed_snapshot_manifest.json,True,605,,.json
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21708671/current_live/missed_snapshot_report.md,True,1167,,.md
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21708671/t_minus_25/missed_snapshot_manifest.json,True,682,,.json
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/21708671/t_minus_25/missed_snapshot_report.md,True,1024,,.md
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/README.md,True,4009,,.md
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/aggregate_snapshot_scoring.json,True,285,,.json
2026-05-04,deliveries/2026-05-04/derek_game_snapshots/aggregate_snapshot_scoring.md,True,197,,.md
2026-05-04,deliveries/2026-05-04/derek_review_examples/README.md,True,2447,,.md
2026-05-04,deliveries/2026-05-04/derek_review_examples/context_event_audit.md,True,2469,,.md
