player_name,projected_minutes,stat,pmf_mean,market_line,p_over
De'Aaron Fox,31.0015,ast,5.2113,5.5,0.4394
De'Aaron Fox,31.0015,blk,0.3683,0.5,0.2336
De'Aaron Fox,31.0015,fg3m,1.4095,1.5,0.4219
De'Aaron Fox,31.0015,pa,22.0999,20.5,0.599
De'Aaron Fox,31.0015,pr,21.4956,17.5,0.719
De'Aaron Fox,31.0015,pra,26.7069,24.5,0.6253
De'Aaron Fox,31.0015,pts,16.8885,14.5,0.6489
De'Aaron Fox,31.0015,ra,9.8184,8.5,0.707
De'Aaron Fox,31.0015,reb,4.6071,3.5,0.7502
De'Aaron Fox,31.0015,stl,0.5899,0.5,0.3673
Devin Vassell,30.706,ast,2.1082,2.5,0.3514
Devin Vassell,30.706,blk,0.5473,0.5,0.2521
Devin Vassell,30.706,fg3m,2.0963,2.5,0.4096
Devin Vassell,30.706,pa,14.5652,15.5,0.4101
Devin Vassell,30.706,pr,17.4151,17.5,0.4837
Devin Vassell,30.706,pra,19.5233,20.5,0.4143
Devin Vassell,30.706,pts,12.457,12.5,0.4993
Devin Vassell,30.706,ra,7.0663,7.5,0.4019
Devin Vassell,30.706,reb,4.9581,4.5,0.5953
Devin Vassell,30.706,stl,0.5583,0.5,0.3659
Dylan Harper,24.9364,ast,2.399,3.5,0.1933
Dylan Harper,24.9364,blk,0.313,0.5,0.2223
Dylan Harper,24.9364,fg3m,0.9772,0.5,0.6164
Dylan Harper,24.9364,pa,15.366,16.5,0.404
Dylan Harper,24.9364,pr,18.4254,19.5,0.4111
Dylan Harper,24.9364,pra,20.8244,22.5,0.3804
Dylan Harper,24.9364,pts,12.967,13.5,0.4328
Dylan Harper,24.9364,ra,7.8575,8.5,0.3811
Dylan Harper,24.9364,reb,5.4584,5.5,0.475
Dylan Harper,24.9364,stl,0.5828,0.5,0.4216
Jalen Brunson,33.2452,ast,6.5956,5.5,0.6992
Jalen Brunson,33.2452,blk,0.3044,0.5,0.2391
Jalen Brunson,33.2452,fg3m,1.9861,2.5,0.371
Jalen Brunson,33.2452,pa,33.6945,32.5,0.5675
Jalen Brunson,33.2452,pr,30.9629,29.5,0.586
Jalen Brunson,33.2452,pra,37.5586,35.5,0.6066
Jalen Brunson,33.2452,pts,27.0988,26.5,0.5519
Jalen Brunson,33.2452,ra,10.4597,9.5,0.6493
Jalen Brunson,33.2452,reb,3.8641,3.5,0.5919
Jalen Brunson,33.2452,stl,0.6529,0.5,0.3537
Josh Hart,26.2689,ast,4.3576,4.5,0.4763
Josh Hart,26.2689,blk,0.5036,0.5,0.2548
Josh Hart,26.2689,fg3m,1.2923,1.5,0.3181
Josh Hart,26.2689,pa,15.8814,14.5,0.5529
Josh Hart,26.2689,pr,19.6413,17.5,0.6002
Josh Hart,26.2689,pra,23.9989,22.5,0.5618
Josh Hart,26.2689,pts,11.5238,9.5,0.5959
Josh Hart,26.2689,ra,12.4751,12.5,0.4942
Josh Hart,26.2689,reb,8.1175,8.5,0.4186
Josh Hart,26.2689,stl,0.7113,1.5,0.2208
Julian Champagnie,28.4852,ast,1.3302,1.5,0.3688
Julian Champagnie,28.4852,blk,0.4081,0.5,0.2214
