stat,role_bucket,reason
pts,bench,mean_delta_not_negative
pts,bench,bootstrap_ci_not_better
pts,core,mean_delta_not_negative
pts,core,bootstrap_ci_not_better
pts,inactive_risk,mean_delta_not_negative
pts,inactive_risk,bootstrap_ci_not_better
pts,rotation,mean_delta_not_negative
pts,rotation,bootstrap_ci_not_better
pts,starter,bootstrap_ci_not_better
reb,bench,mean_delta_not_negative
reb,bench,bootstrap_ci_not_better
reb,core,mean_delta_not_negative
reb,core,bootstrap_ci_not_better
reb,starter,bootstrap_ci_not_better
ast,bench,mean_delta_not_negative
ast,bench,bootstrap_ci_not_better
ast,rotation,mean_delta_not_negative
ast,rotation,bootstrap_ci_not_better
fg3m,bench,bootstrap_ci_not_better
fg3m,core,mean_delta_not_negative
fg3m,core,bootstrap_ci_not_better
fg3m,rotation,mean_delta_not_negative
fg3m,rotation,bootstrap_ci_not_better
fg3m,starter,mean_delta_not_negative
fg3m,starter,bootstrap_ci_not_better
stl,core,mean_delta_not_negative
stl,core,bootstrap_ci_not_better
stl,rotation,mean_delta_not_negative
stl,rotation,bootstrap_ci_not_better
stl,starter,mean_delta_not_negative
stl,starter,bootstrap_ci_not_better
blk,core,mean_delta_not_negative
blk,core,bootstrap_ci_not_better
blk,rotation,mean_delta_not_negative
blk,rotation,bootstrap_ci_not_better
blk,starter,mean_delta_not_negative
blk,starter,bootstrap_ci_not_better
stocks,core,mean_delta_not_negative
stocks,core,bootstrap_ci_not_better
stocks,starter,mean_delta_not_negative
stocks,starter,bootstrap_ci_not_better
pa,bench,bootstrap_ci_not_better
pa,core,mean_delta_not_negative
pa,core,bootstrap_ci_not_better
pa,rotation,mean_delta_not_negative
pa,rotation,bootstrap_ci_not_better
pa,starter,bootstrap_ci_not_better
pr,bench,mean_delta_not_negative
pr,bench,bootstrap_ci_not_better
pr,core,mean_delta_not_negative
pr,core,bootstrap_ci_not_better
pr,rotation,mean_delta_not_negative
pr,rotation,bootstrap_ci_not_better
pr,starter,bootstrap_ci_not_better
ra,bench,mean_delta_not_negative
ra,bench,bootstrap_ci_not_better
ra,core,mean_delta_not_negative
ra,core,bootstrap_ci_not_better
ra,rotation,mean_delta_not_negative
ra,rotation,bootstrap_ci_not_better
ra,starter,mean_delta_not_negative
ra,starter,bootstrap_ci_not_better
pra,bench,mean_delta_not_negative
pra,bench,bootstrap_ci_not_better
pra,core,mean_delta_not_negative
pra,core,bootstrap_ci_not_better
pra,rotation,mean_delta_not_negative
pra,rotation,bootstrap_ci_not_better
pra,starter,bootstrap_ci_not_better
