stat,role_bucket,n,p0_error_before,p0_error_after,positive_mean_before,positive_mean_after,nll_before,nll_after,rps_before,rps_after,pit_ks_before,pit_ks_after,nll_delta,rps_delta,mode
fg3m,rotation,954,0.08427695759414311,-0.11467506498344743,1.4431611783425016,1.5860517049954097,2.730518321643552,2.7327754797911776,0.039257033651119225,0.03859802491498882,0.15855230278406718,0.22268695310152636,0.0022571581476258373,-0.0006590087361304023,active
stocks,core,959,-0.04670917150721765,-0.04670917150721765,2.2352809941349037,2.2352809941349037,2.871373946990785,2.8713739469907855,0.03529831308613125,0.03529831308613125,0.05577428377727352,0.05577428377727353,4.440892098500626e-16,0.0,identity
blk,inactive_risk,243,-0.03069389084426699,-0.03069389084426699,1.5562397119341564,1.5562397119341567,0.8892976345453051,0.8892976345453052,0.022526382929954264,0.022526382929954264,0.23251028806584362,0.23251028806584362,1.1102230246251565e-16,0.0,identity
tov,fringe,239,-0.10142259414225951,-0.10142259414225951,1.7079619839368612,1.7079619839368607,0.9684589236035025,0.9684589236035026,0.02861428240889747,0.02861428240889747,0.31978103207810327,0.3197810320781032,1.1102230246251565e-16,0.0,identity
stocks,starter,694,-0.012495790866722284,-0.012495790866722284,2.41612399789589,2.41612399789589,2.850313679395981,2.850313679395981,0.036033343336154045,0.03603334333615405,0.04217803301033152,0.04217803301033152,0.0,6.938893903907228e-18,identity
tov,bench,628,-0.07876645435244156,-0.07876645435244156,1.8864720058452784,1.8864720058452784,1.122577610510629,1.122577610510629,0.03351934079155098,0.033519340791550986,0.2342834394904459,0.2342834394904459,0.0,6.938893903907228e-18,identity
blk,rotation,954,-0.05772233834273954,-0.05772233834273954,1.5591328616352202,1.55913286163522,1.5915839506436509,1.5915839506436509,0.028876770587239278,0.02887677058723928,0.20907729004194459,0.20907729004194459,0.0,3.469446951953614e-18,identity
blk,bench,628,-0.03529364510233368,-0.03529364510233368,1.510111066878981,1.510111066878981,1.5492548909075368,1.5492548909075368,0.02507510849270964,0.02507510849270964,0.25159235668789814,0.25159235668789814,0.0,0.0,identity
blk,core,959,-0.030854094853814185,-0.030854094853814185,1.616604796663191,1.616604796663191,1.7349515972803193,1.7349515972803193,0.03241744515977913,0.03241744515977913,0.17425815234804337,0.17425815234804332,0.0,0.0,identity
blk,starter,694,0.00012125805244933563,0.00012125805244933563,1.6498465417867436,1.6498465417867436,1.5543104917846426,1.5543104917846426,0.03210222378168461,0.03210222378168461,0.17025232118144154,0.17025232118144148,0.0,0.0,identity
fg3m,core,959,0.06872053334284628,0.06872053334284628,1.7988134445782449,1.7988134445782449,2.6234996143928733,2.6234996143928733,0.04580428479239261,0.04580428479239261,0.08850269212261741,0.08850269212261752,0.0,0.0,identity
fg3m,starter,694,0.054439593635944084,0.054439593635944084,2.0856254663151215,2.0856254663151215,2.6143319718308886,2.6143319718308886,0.049493294581267874,0.049493294581267874,0.0721329947708933,0.0721329947708933,0.0,0.0,identity
stl,core,959,-0.04169641013636605,-0.04169641013636605,1.802679614181439,1.802679614181439,2.4391532314409203,2.4391532314409203,0.048979163228727,0.048979163228727,0.10480131258287935,0.10480131258287935,0.0,0.0,identity
stl,inactive_risk,243,0.03287902188424163,0.03287902188424163,1.6772788065843622,1.6772788065843622,1.0096988096977364,1.0096988096977364,0.02989639779028342,0.02989639779028342,0.19501216974963664,0.19501216974963664,0.0,0.0,identity
stl,rotation,954,-0.023196905430935222,-0.023196905430935222,1.7020429769392034,1.7020429769392034,2.4807922869173096,2.4807922869173096,0.04228504635881284,0.04228504635881284,0.13967591866201906,0.13967591866201903,0.0,0.0,identity
stocks,bench,628,-0.0009509827027713857,-0.0009509827027713857,1.8450199801316598,1.8450199801316598,2.316873826608031,2.316873826608031,0.025760653536287027,0.025760653536287027,0.11628701641171232,0.11628701641171232,0.0,0.0,identity
