game_date,game_id,game_start_et,team,opponent,player_id,player_name,stat,role_bucket,line,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_over_line_model,market_fair_over_prob,model_edge_vs_market,support_min,support_max,pmf_source
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,335,Jamal Murray,pts,starter,26.5,24.8083,25,27,0.0001,0.9999,0.9925,0.986,0.9822,0.9755,0.97,0.9641,0.446,0.509,-0.063,0,80,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,335,Jamal Murray,ast,starter,6.5,6.558,6,7,0.0001,0.9999,0.9721,0.9339,0.8631,0.7594,0.6251,0.4891,0.4891,0.5,-0.0109,0,25,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,335,Jamal Murray,fg3m,starter,3.5,2.551,2,2,0.0001,0.9999,0.7266,0.4354,0.221,0.0953,0.0395,0.0037,0.221,0.407,-0.186,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,177,Aaron Gordon,pts,core,10.5,15.2971,15,14,0.0002,0.9998,0.9862,0.9737,0.9599,0.9432,0.9206,0.8921,0.7403,0.4914,0.2489,0,80,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,177,Aaron Gordon,reb,core,4.5,6.5339,6,6,0.0001,0.9999,0.9739,0.9233,0.8448,0.7339,0.5986,0.4607,0.7339,0.4831,0.2508,0,30,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Minnesota Timberwolves,Denver Nuggets,667378,Naz Reid,pts,rotation,13.5,11.6844,11,9,0.0002,0.9998,0.968,0.9348,0.9032,0.8685,0.83,0.7792,0.3667,0.4856,-0.1189,0,80,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Minnesota Timberwolves,Denver Nuggets,667378,Naz Reid,fg3m,rotation,1.5,2.1653,2,1,0.0493,0.9507,0.6035,0.3272,0.1497,0.0625,0.0315,0.0045,0.6035,0.4235,0.18,0,15,cal_role_aware_v1+fg3m_tail_shrink_k7_w0.2
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Minnesota Timberwolves,Denver Nuggets,176,Rudy Gobert,pts,core,10.5,10.932,10,9,0.0002,0.9998,0.9784,0.9549,0.9231,0.8731,0.8204,0.7604,0.4722,0.4624,0.0098,0,80,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Minnesota Timberwolves,Denver Nuggets,176,Rudy Gobert,reb,core,10.5,9.4261,9,10,0.0001,0.9999,0.9919,0.98,0.9613,0.9262,0.8743,0.797,0.3626,0.5387,-0.1761,0,30,cal_role_aware_v1
2026-04-27,21681987,2026-04-27T22:30:00-04:00,Denver Nuggets,Minnesota Timberwolves,246,Nikola Jokic,pts,starter,30.5,26.6942,27,30,0.0001,0.9999,0.9947,0.9895,0.9839,0.9772,0.9715,0.9663,0.363,0.5141,-0.1511,0,80,cal_role_aware_v1
