stat,role_bucket,n_segment_report,n_loss_rows_used,model_logloss_avg,market_logloss_avg,logloss_delta_model_minus_market,model_brier_avg,market_brier_avg,brier_delta_model_minus_market,calibration_pass,model_prob_mean,market_prob_mean,actual_hit_rate,pmf_mean_mean,actual_mean,pmf_var_mean,actual_var,line_p25,line_p50,line_p75,n_books,n_players,n_dates,failure_reason_csv,dominant_failure_mode
ast,rotation,776,776,0.7201502145626598,0.6513539722823196,0.0687962422803402,0.2616939034936998,0.2298740043791583,0.0318198991145415,False,0.36204295532646047,0.492921317227596,0.48582474226804123,1.9966692439862543,2.3427835051546393,4.572497610252005,3.2862188227469242,1.5,2.5,3.5,14,33,16,model_logloss_not_better,model_prob_too_high_or_overconfident_side
ast,starter,2616,2616,0.6650010476891094,0.6564157246148198,0.0085853230742896,0.2363532167006456,0.2323488852885035,0.004004331412142,False,0.3560861365953109,0.4906489191619973,0.4040519877675841,4.4607157237512745,4.922018348623853,10.73085991959735,9.366765484940446,3.5,5.5,6.5,14,42,16,model_logloss_not_better,mean_too_low
fg3m,bench,495,495,0.7397669328987023,0.6475961143245819,0.0921708185741204,0.2281286517068126,0.2282685091280001,-0.0001398574211874,False,0.5149698417324954,0.47438862372871593,0.3797979797979798,1.1736178113131315,0.9232323232323232,0.7642505317773984,1.2491555228397335,0.5,0.5,1.5,13,29,15,model_logloss_not_better,model_prob_too_high_or_overconfident_side
fg3m,core,2021,2021,0.708822898505005,0.6435055053506005,0.0653173931544045,0.2365023501679185,0.2265357164262367,0.0099666337416817,False,0.45882419578304495,0.4661728333495071,0.47402276100940127,1.7453983334982683,1.8169223156853043,1.096826950150321,1.84171349346711,1.5,1.5,2.5,14,46,16,model_logloss_not_better,model_prob_too_high_or_overconfident_side
fg3m,rotation,999,999,0.6464888429751032,0.6342293988497353,0.0122594441253679,0.22401775382049,0.2218734632143678,0.0021442906061221,False,0.546180313760605,0.4781709437536029,0.47147147147147145,1.5600383983983985,1.4734734734734736,0.9845104835419743,1.8246964399269008,0.5,1.5,1.5,14,30,16,model_logloss_not_better,variance_too_narrow
fg3m,starter,2289,2289,0.6983055607374294,0.6576844070892998,0.0406211536481296,0.2497586140012228,0.2333485991863682,0.0164100148148546,False,0.45618465167453653,0.470779494294363,0.45565749235474007,1.9774821958934032,1.9925731760594145,1.2519711361037325,2.332549713283659,1.5,2.5,2.5,14,41,16,model_logloss_not_better,model_prob_too_high_or_overconfident_side
stl,core,757,757,12.50858309664589,0.6660161073108269,11.842566989335062,0.4851923159124313,0.2365837383212071,0.2486085775912242,False,0.06089310068949463,0.5123010163440599,0.5019815059445178,0.17384161495109396,1.1875825627476881,0.38158512543436285,1.5309038043516245,0.5,0.5,1.5,8,51,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
stl,rotation,294,294,12.057261904531588,0.6882365667190561,11.369025337812532,0.4769337048924819,0.2474217830827302,0.2295119218097517,False,0.07858544144204796,0.4883047787630917,0.5612244897959183,0.177293397119953,1.0918367346938775,0.42977661947547324,1.1758375705230897,0.5,0.5,0.5,8,36,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
stl,starter,783,783,9.114802540116225,0.6676254794779872,8.447177060638237,0.367144936594411,0.2373866421402979,0.129758294454113,False,0.0859768756751914,0.45981745278063285,0.37292464878671777,0.239699605774771,1.0727969348659003,0.5113065513278428,1.461445747714378,0.5,1.5,1.5,8,42,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
blk,core,772,772,12.448774351881012,0.66825530621502,11.780519045665994,0.4696726134390432,0.2374855391916781,0.2321870742473651,False,0.04510972712105695,0.4416934891912281,0.4689119170984456,0.1293036116736111,1.0349740932642486,0.29712526992259447,2.5448193248792026,0.5,0.5,1.5,9,47,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
blk,rotation,220,220,7.447715892459222,0.6133219944441208,6.834393898015101,0.3258155905568636,0.2129637267534198,0.1128518638034437,False,0.06658029551442746,0.4365403325026744,0.3090909090909091,0.1474288556197566,0.5363636363636364,0.36530366946390713,0.7886259858862599,0.5,0.5,0.5,9,28,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
blk,starter,730,730,9.165128195178552,0.6390014952177081,8.526126699960844,0.3701404668499397,0.2244944754705247,0.145645991379415,False,0.06587595953216782,0.44035732519216264,0.4054794520547945,0.1361800049808962,0.7561643835616438,0.3475232694863124,1.0735216190315124,0.5,0.5,0.5,9,41,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
stocks,core,391,391,12.034788097272662,0.6875168634222228,11.34727123385044,0.4639055409406827,0.2471899986770556,0.2167155422636271,False,0.06534508922759362,0.47913725503115956,0.4782608695652174,0.35979032209012685,2.1150895140664963,0.8127387049364303,3.3072332611974558,1.5,1.5,2.5,6,42,13,model_logloss_not_better,model_prob_too_high_or_overconfident_side
stocks,starter,413,413,10.760970187776694,0.6897037899860966,10.071266397790598,0.4281668889285762,0.2483037142570346,0.1798631746715415,False,0.085997878593212,0.49600007359574705,0.46731234866828086,0.40322556595371095,1.8571428571428572,0.9560977890537998,2.29750346740638,1.5,1.5,2.5,6,39,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
pa,core,2287,2287,0.7098296777380096,0.6490490939184468,0.0607805838195628,0.2557349066484477,0.2291465272491156,0.0265883793993321,False,0.3547265413205072,0.5023360214764012,0.46086576300830784,15.146819938784436,18.045474420638392,81.36562932890469,66.71621638681259,13.5,17.5,22.5,9,51,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
pa,rotation,760,760,0.7093815745442752,0.6796941015185862,0.0296874730256889,0.2570125989572369,0.2432741821687343,0.0137384167885025,False,0.399015197368421,0.5166421064699758,0.5394736842105263,10.198121184210528,12.442105263157895,50.916470411513174,46.93472019970876,8.5,10.5,13.5,9,34,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
pr,bench,604,604,0.6882936693234277,0.6687214948280358,0.0195721744953919,0.2439878928187085,0.2384221945191025,0.005565698299606,False,0.39764875827814566,0.5218754088962372,0.44039735099337746,8.102341970198678,9.016556291390728,42.565583663224345,39.485629248898995,6.5,8.5,10.5,9,28,13,model_logloss_not_better,mean_too_low
pr,core,3259,3259,0.7143927235329872,0.6409248994091177,0.0734678241238695,0.2566018918610003,0.2253308009079176,0.0312710909530826,False,0.3664870512427124,0.49952051174534945,0.48358392144829704,17.614121187480826,20.716477447069654,93.62914160302165,87.19828887694672,15.5,19.5,24.5,9,51,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
pr,rotation,1288,1288,0.7021534783282068,0.6617781055575584,0.0403753727706484,0.2526085181075311,0.2349546667808027,0.0176538513267283,False,0.41458947981366456,0.5147398473282666,0.4984472049689441,11.87851692546584,13.525621118012422,58.94139671054349,54.16406721298026,9.5,12.5,15.5,9,37,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
pr,starter,3372,3372,0.6283765288413792,0.624004813266453,0.0043717155749262,0.2182321979900652,0.217908205056547,0.0003239929335182,False,0.3825147241992882,0.49639471372767247,0.43416370106761565,23.387435335112695,26.357354685646502,132.37334973833705,86.57264538825154,21.5,27.5,32.5,9,42,14,model_logloss_not_better,mean_too_low
ra,bench,103,103,0.914125459703364,0.6872773336351746,0.2268481260681892,0.3402642081796118,0.245653584895832,0.0946106232837797,False,0.33261504854368923,0.4965249255031216,0.5533980582524272,4.357451941747572,6.077669902912621,14.296929031432038,15.346849419379398,4.5,5.5,6.5,9,14,9,model_logloss_not_better,model_prob_too_high_or_overconfident_side
ra,core,1817,1817,0.7121823642207394,0.668394752698768,0.0437876115219714,0.2578953748059989,0.2382973938476063,0.0195979809583926,False,0.35802424325811777,0.5027951648281798,0.4887176664832141,7.975198376444689,9.721518987341772,25.190118206055313,26.55346288964479,6.5,8.5,11.5,9,51,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
ra,rotation,623,623,0.7185467046735245,0.6699336748026795,0.048613029870845,0.2615906515248796,0.2393793930634491,0.0222112584614304,False,0.38353033707865164,0.49864528312815637,0.5040128410914928,6.097499839486357,7.21669341894061,18.669783778780097,15.76808101035855,4.5,6.5,8.5,9,32,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
ra,starter,2175,2175,0.6655792755041507,0.6566145867203093,0.0089646887838414,0.2359429449241379,0.2327190225031978,0.00322392242094,False,0.3575806896551724,0.5021452971756064,0.40413793103448276,9.582654,10.572413793103449,29.216398434313795,23.063636075246645,8.5,10.5,13.5,9,42,14,model_logloss_not_better,mean_too_low
pra,bench,448,448,0.7272692268918222,0.6876377311794465,0.0396314957123756,0.2614652629743303,0.247213017462905,0.0142522455114253,False,0.40319988839285703,0.5103315866129474,0.43973214285714285,9.346698660714285,10.060267857142858,54.89788144360491,46.68316055449025,8.5,9.5,11.5,9,41,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
pra,core,3793,3793,0.7354680281881854,0.6533444572373978,0.0821235709507876,0.266077822712233,0.231093232045009,0.034984590667224,False,0.35777649617716845,0.5013042297660801,0.48404956498813606,19.694077115739525,23.38201950962299,114.14627346513711,99.7076618487754,18.5,22.5,27.5,13,53,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
pra,rotation,1295,1295,0.7305716817422744,0.6899323396550979,0.0406393420871764,0.2658385543667954,0.2478083636450165,0.0180301907217788,False,0.40688108108108095,0.5111135002208526,0.4957528957528958,13.528157142857145,15.163706563706564,73.88081598480696,70.61151020749166,11.5,13.5,17.5,13,43,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
