stat,role_bucket,n_segment_report,n_loss_rows_used,model_logloss_avg,market_logloss_avg,logloss_delta_model_minus_market,model_brier_avg,market_brier_avg,brier_delta_model_minus_market,calibration_pass,model_prob_mean,market_prob_mean,actual_hit_rate,pmf_mean_mean,actual_mean,pmf_var_mean,actual_var,line_p25,line_p50,line_p75,n_books,n_players,n_dates,failure_reason_csv,dominant_failure_mode
pts,bench,1472,1472,0.6736752258369177,0.6674951680364185,0.0061800578004992,0.2379753300875604,0.2378120954980651,0.0001632345894952,False,0.4028285778985508,0.5019491012636363,0.4273097826086957,5.236724411231884,5.5822010869565215,25.313226830540458,23.993238387816625,3.5,5.5,6.5,14,39,15,model_logloss_not_better,model_logloss_not_better
pts,core,4922,4922,0.7237672440617797,0.6560838099622692,0.0676834340995105,0.261730857149307,0.2322936296923405,0.0294372274569664,False,0.3809080319653258,0.49969872781012165,0.46769605851279966,11.96889482595151,14.113978057700121,56.62746965156441,53.07357413323109,10.5,12.5,17.5,14,52,16,model_logloss_not_better,model_prob_too_high_or_overconfident_side
pts,inactive_risk,143,143,1.2176763475075496,0.7038506756070041,0.5138256719005455,0.4457233706293707,0.2540236118203488,0.1916997588090219,False,0.19287179487179487,0.5015889424578499,0.6503496503496503,7.081972027972026,19.832167832167833,88.53883838073034,154.5772678026199,9.0,13.5,25.5,12,7,4,model_logloss_not_better,model_prob_too_high_or_overconfident_side
pts,rotation,2319,2319,0.6743097701771102,0.6698355216339096,0.0044742485432006,0.2402008093047769,0.2388366870544251,0.0013641222503518,False,0.42444832542762684,0.5024610465970116,0.4795170332039672,7.819095012217908,8.77490297542044,34.60479491092904,33.92946477703601,6.5,7.5,9.5,14,40,16,model_logloss_not_better,mean_too_low
reb,bench,793,793,0.7399642024241304,0.6707457812651904,0.06921842115894,0.2695758125262715,0.2390302101053809,0.0305456024208906,False,0.395287095418243,0.48988953201966884,0.49936948297604034,3.1514354770912147,3.3190416141235812,9.301051297604035,5.8639930197307235,2.5,3.5,3.5,13,30,14,model_logloss_not_better,model_prob_too_high_or_overconfident_side
reb,core,3154,3154,0.7017954240585963,0.6671569338803338,0.0346384901782624,0.2528395244134432,0.2372721893191796,0.0155673350942636,False,0.37312766856901286,0.4890494862718144,0.48129359543436906,5.475011942506869,6.519023462270133,15.37664530300148,17.59637126300786,3.5,6.5,8.5,14,52,16,model_logloss_not_better,model_prob_too_high_or_overconfident_side
reb,rotation,1483,1483,0.6935397558710649,0.6521695833916533,0.0413701724794115,0.2504512246946879,0.2307305017056273,0.0197207229890606,False,0.4069593167003822,0.4960588092740926,0.48145650708024273,3.966196448640144,4.3553607552258935,10.660907830074175,9.391177383263127,2.5,3.5,5.5,14,39,16,model_logloss_not_better,model_prob_too_high_or_overconfident_side
reb,starter,2828,2828,0.6644586293737793,0.6564207516277516,0.0080378777460277,0.2366963371837183,0.2325966888087137,0.0040996483750046,False,0.3831633663366337,0.4851461775752846,0.4582743988684583,5.2098464167845355,5.722418670438472,13.467580419809838,10.849345120726637,4.5,5.5,7.5,14,42,16,model_logloss_not_better,mean_too_low
ast,bench,177,177,0.7409986193426087,0.6621068846722294,0.0788917346703792,0.2699662868801004,0.234552155211226,0.0354141316688743,False,0.3075084745762712,0.4824649523738764,0.4971751412429379,1.5536308851224105,2.3389830508474576,3.767102478342749,2.1912557781201842,1.5,1.5,2.5,13,16,11,model_logloss_not_better,model_prob_too_high_or_overconfident_side
ast,core,2064,2064,0.7276461253596858,0.6659658507479521,0.0616802746117336,0.2654035413975021,0.2371450441501201,0.028258497247382,False,0.35378892118863053,0.4865281991908448,0.5140503875968992,2.7334995155038757,3.455910852713178,6.493988937284668,5.990299509256858,1.5,3.5,4.5,14,51,16,model_logloss_not_better,model_prob_too_high_or_overconfident_side
