pmf_json,player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,cal_source,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status
"{""0"": 0.25961807290566286, ""1"": 0.13824418473865663, ""2"": 0.11915398715904522, ""3"": 0.08528120552000432, ""4"": 0.08507872514040085, ""5"": 0.06657716937183104, ""6"": 0.05016773850227657, ""7"": 0.04138620365758244, ""8"": 0.038122867556103564, ""9"": 0.02726136913412943, ""10"": 0.022168409583967954, ""11"": 0.01573274808267972, ""12"": 0.011336182600368984, ""13"": 0.008287970294737143, ""14"": 0.0070989103577676314, ""15"": 0.005937721159946468, ""16"": 0.004087169065419254, ""17"": 0.003033912465600147, ""18"": 0.0024924341681349573, ""19"": 0.0019533288832263517, ""20"": 0.0019484128856799606, ""21"": 0.0017738656731129921, ""22"": 0.00047517503698039205, ""23"": 0.00097905871061591, ""24"": 0.00036456932903308076, ""25"": 0.00029458297063274106, ""26"": 0.00020076971198795213, ""27"": 0.00011687163659503329, ""28"": 8.345552237041868e-05, ""29"": 0.0001076912271112082, ""30"": 9.963849202245282e-05, ""31"": 3.3859062484019636e-05, ""32"": 4.177993097613137e-05, ""33"": 0.00012927300289853553, ""34"": 9.650390708023145e-05, ""35"": 5.240273757634299e-05, ""38"": 5.5723852101678024e-05, ""39"": 6.0066848019417556e-05, ""42"": 6.59891151799881e-05}",Kyle Anderson,12,MIN,SAS,True,21707974,,pts,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,14.092215966292585,12.724598930208245,0.0,role_aware_pmf_cal_v1,3.6336924758853146,2,0,0.25961807290566286,0.740381927094337,0.6021377423556805,0.48298375519663533,0.39770254967663093,0.3126238245362301,0.2460466551643991,0.19587891666212254,0.1544927130045401,0.11636984544843654,0.0891084763143071,0.06694006673033914,0.05120731864765942,0.03987113604729044,0.031583165752553294,0.024484255394785666,0.018546534234839197,0.014459365169419943,0.011425452703819795,0.008933018535684838,0.0069796896524584855,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.25044677642488006, ""1"": 0.24458130431084146, ""2"": 0.18567377986567352, ""3"": 0.12658654402014424, ""4"": 0.08090348231775957, ""5"": 0.04854111618776166, ""6"": 0.026304922610274818, ""7"": 0.015983220451835006, ""8"": 0.009007712096325258, ""9"": 0.005012121696291459, ""10"": 0.002109327610895482, ""11"": 0.0022588107510328427, ""12"": 0.0009385690010069581, ""13"": 0.0005647873047004248, ""14"": 0.00025747324142068686, ""15"": 0.0002772055322306497, ""16"": 9.353417657993214e-05, ""17"": 0.00011392609675296592, ""18"": 7.396483422782708e-05, ""19"": 0.00016733584876040263, ""20"": 4.163424824191193e-05, ""22"": 4.163424824191421e-05, ""23"": 2.0817124120949793e-05}",Kyle Anderson,12,MIN,SAS,True,21707974,,reb,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,14.092215966292585,12.724598930208245,0.0,role_aware_pmf_cal_v1,2.0313703137746115,2,0,0.25044677642488006,0.74955322357512,0.5049719192642784,0.319298139398605,0.19271159537846072,0.11180811306070115,0.0632669968729395,0.03696207426266467,0.020978853810829666,0.011971141714504405,0.006959020018212947,0.004849692407317465,0.002590881656284623,0.0016523126552776652,0.0010875253505772404,0.0008300521091565532,0.0005528465769259037,0.0004593124003459715,0.00034538630359300565,0.00027142146936517855,0.00010408562060477593,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.3595738574024956, ""1"": 0.23966440749940648, ""2"": 0.1978982559348098, ""3"": 0.09975947291225667, ""4"": 0.052822356723956874, ""5"": 0.02761586294925287, ""6"": 0.011674238418180913, ""7"": 0.004827146768828543, ""8"": 0.003100194803221692, ""9"": 0.0014321475878181643, ""10"": 0.0007295640726524118, ""11"": 0.00038662574522644726, ""12"": 0.0002668012768365936, ""13"": 9.784810555811665e-05, ""14"": 8.005754091114852e-05, ""15"": 5.337169394076573e-05, ""16"": 1.779056464691356e-05}",Kyle Anderson,12,MIN,SAS,True,21707974,,ast,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,14.092215966292585,12.724598930208245,0.0,role_aware_pmf_cal_v1,1.4438626189894381,1,0,0.3595738574024956,0.6404261425975045,0.400761735098098,0.20286347916328812,0.10310400625103144,0.050281649527074576,0.022665786577821707,0.010991548159640796,0.006164401390812254,0.003064206587590561,0.001632058999772397,0.0009024949271199854,0.0005158691818935381,0.0002490679050569445,0.0001512197994988278,7.116225858767929e-05,1.779056464691356e-05,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 1.0}",Kyle Anderson,12,MIN,SAS,True,21707974,,fg3m,,,,,,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,14.092215966292585,12.724598930208245,0.0,role_aware_pmf_cal_v1,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.5622534398797973, ""1"": 0.2639690663636849, ""2"": 0.12466674254448123, ""3"": 0.03252820555009356, ""4"": 0.010131465998149982, ""5"": 0.003896095342474001, ""6"": 0.001418619901251415, ""7"": 0.0006450890575938756, ""8"": 0.0002693632783862988, ""9"": 0.00010360126091780722, ""10"": 6.255190005381755e-05, ""11"": 2.0700011250874057e-05, ""12"": 3.50589118649677e-05}",Kyle Anderson,12,MIN,SAS,True,21707974,,tov,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,14.092215966292585,12.724598930208245,0.0,role_aware_pmf_cal_v1,0.6882820952605917,0,0,0.5622534398797973,0.43774656012020274,0.17377749375651783,0.04911075121203659,0.016582545661943043,0.006451079663793057,0.0025549843213190557,0.001136364420067641,0.0004912753624737653,0.0002219120840874665,0.0001183108231696593,5.575892311584176e-05,3.50589118649677e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.22056719810266448, ""1"": 0.08915807979123451, ""2"": 0.10152662655173943, ""3"": 0.09877889466019418, ""4"": 0.0781125610417008, ""5"": 0.08412057874803448, ""6"": 0.06482212381062687, ""7"": 0.05106716612791487, ""8"": 0.04653496886225893, ""9"": 0.037828201208009976, ""10"": 0.03210020490234247, ""11"": 0.024194088503129152, ""12"": 0.017637512540804375, ""13"": 0.012831013579075902, ""14"": 0.00869284832868161, ""15"": 0.008011033271297137, ""16"": 0.00588885019419367, ""17"": 0.004642359187867753, ""18"": 0.002745037801677777, ""19"": 0.001823328795068952, ""20"": 0.0025224840252600325, ""21"": 0.0025641996471451843, ""22"": 0.0006857703235881307, ""23"": 0.0004969434778702218, ""24"": 0.0008684775616343789, ""25"": 0.0003522444275849192, ""26"": 0.0003614200020179038, ""27"": 0.00020150596615024256, ""28"": 0.0001278464467126192, ""29"": 0.0001098717206219193, ""30"": 8.20948858309611e-05, ""31"": 6.0848784978878886e-05, ""32"": 1.7065661259690003e-05, ""33"": 9.079486444516392e-06, ""34"": 3.881181935193593e-05, ""35"": 3.551901291662843e-05, ""36"": 9.418474587006766e-05, ""37"": 5.06510581287394e-05, ""38"": 0.0001098631015580502, ""39"": 6.118765542177727e-05, ""41"": 6.725418113592252e-05}",Harrison Barnes,30,SAS,MIN,False,21707974,,pts,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,15.682433153065887,14.311780858805864,0.0,role_aware_pmf_cal_v1,4.44979756659562,3,0,0.22056719810266448,0.7794328018973355,0.6902747221061011,0.5887480955543617,0.4899692008941674,0.41185663985246657,0.3277360611044321,0.2629139372938053,0.2118467711658904,0.16531180230363152,0.1274836010956215,0.09538339619327905,0.07118930769014992,0.05355179514934552,0.04072078157026962,0.032027933241588015,0.024016899970290873,0.0181280497760972,0.01348569058822945,0.010740652786551674,0.00891732399148272,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.2717318737816725, ""1"": 0.2745193324422642, ""2"": 0.1862872898346659, ""3"": 0.12517106886219784, ""4"": 0.06825183797420065, ""5"": 0.035572270717849463, ""6"": 0.01788307632618908, ""7"": 0.010116422814199406, ""8"": 0.004543679042176122, ""9"": 0.0026562368372712065, ""10"": 0.0014668166188501822, ""11"": 0.0007939116141316193, ""12"": 0.0003727690778313178, ""13"": 0.000243914551003397, ""14"": 0.00015190782922784785, ""15"": 0.00011371228442264606, ""16"": 6.193969592332173e-05, ""17"": 4.1293130615546915e-05, ""18"": 2.064656530777759e-05}",Harrison Barnes,30,SAS,MIN,False,21707974,,reb,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,15.682433153065887,14.311780858805864,0.0,role_aware_pmf_cal_v1,1.748787168160896,1,1,0.2717318737816725,0.7282681262183274,0.45374879377606325,0.2674615039413974,0.14229043507919958,0.07403859710499894,0.03846632638714947,0.020583250060960394,0.010466827246760983,0.0059231482045848625,0.0032669113673136564,0.0018000947484634743,0.001006183134331855,0.0006334140565005371,0.0003894995054971402,0.0002375916762692923,0.00012387939184664625,6.19396959233245e-05,2.064656530777759e-05,0.0,0.0,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.5389102949526828, ""1"": 0.25719151559860187, ""2"": 0.11747570964967248, ""3"": 0.051821529632577, ""4"": 0.020745923755797254, ""5"": 0.007146337066878135, ""6"": 0.0035312203886891428, ""7"": 0.0019032868330634087, ""8"": 0.0006567006484781665, ""9"": 0.0002756567409216304, ""10"": 0.00017529473468626746, ""11"": 7.888263060879251e-05, ""12"": 6.135315714021528e-05, ""13"": 2.6294210202933326e-05}",Harrison Barnes,30,SAS,MIN,False,21707974,,ast,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,15.682433153065887,14.311780858805864,0.0,role_aware_pmf_cal_v1,0.8122664690748365,0,0,0.5389102949526828,0.4610897050473173,0.2038981894487154,0.08642247979904295,0.03460095016646595,0.013855026410668693,0.006708689343790558,0.0031774689551014143,0.0012741821220380056,0.000617481473559839,0.0003418247326382086,0.0001665299979519411,8.76473673431486e-05,2.6294210202933326e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 1.0}",Harrison Barnes,30,SAS,MIN,False,21707974,,fg3m,,,,,,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,15.682433153065887,14.311780858805864,0.0,role_aware_pmf_cal_v1,0.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.6276351760676865, ""1"": 0.24152829624896444, ""2"": 0.08980140030194914, ""3"": 0.025941041538709752, ""4"": 0.009447135199586554, ""5"": 0.003618388497951139, ""6"": 0.0011373749130317396, ""7"": 0.000521667843824461, ""8"": 0.00018144733465795114, ""9"": 0.00011424461811796923, ""10"": 5.007316375936628e-05, ""11"": 1.1549620176011671e-05, ""12"": 1.2204651585074345e-05}",Harrison Barnes,30,SAS,MIN,False,21707974,,tov,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench,phase8_role_aware_pmf_cal_v2,bench,derived_from_projected_minutes,15.682433153065887,14.311780858805864,0.0,role_aware_pmf_cal_v1,0.5685646426609315,0,0,0.6276351760676865,0.3723648239323136,0.13083652768334914,0.04103512738140001,0.015094085842690267,0.005646950643103712,0.0020285621451525734,0.0008911872321208337,0.0003695193882963727,0.00018807205363842152,7.38274355204523e-05,2.3754271761086016e-05,1.2204651585074345e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,pre_close,2026-05-08T23:33:37Z,40e0f37#phase10c,5e9470f7-91e8-4dd8-98b1-eb975b84439e,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
