pmf_json,player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,lineup_freshness_status,role_freshness_status
"{""0"": 0.2620144173007609, ""1"": 0.23327993592310775, ""2"": 0.2146575891069283, ""3"": 0.1406688025630757, ""4"": 0.08179815778934721, ""5"": 0.03904685622747297, ""6"": 0.01641970364437325, ""7"": 0.006908289947937525, ""8"": 0.0034040849018822585, ""9"": 0.001802162595114137}",Cason Wallace,56677833,OKC,LAL,True,21708301,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,rotation,1.797357,2,0,0.262014417301,0.737985582699,0.504705646776,0.290048057669,0.149379255106,0.067581097317,0.028534241089,0.012114537445,0.005206247497,0.001802162595,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.055160676744418866, ""1"": 0.08579437381119231, ""2"": 0.12483732105315848, ""3"": 0.1540694764240665, ""4"": 0.15567123836219843, ""5"": 0.13614976474121535, ""6"": 0.10461507658424266, ""7"": 0.07428170988086896, ""8"": 0.045449994994493946, ""9"": 0.028931825007508256, ""10"": 0.01691861047151867, ""11"": 0.010011012113324657, ""12"": 0.004304735208729603, ""13"": 0.002602863149464411, ""14"": 0.0012013214535989587}",Austin Reaves,17553995,LAL,OKC,False,21708301,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,4.25438,4,4,0.055160676744,0.944839323256,0.859044949444,0.734207628391,0.580138151967,0.424466913605,0.288317148864,0.18370207228,0.109420362399,0.063970367404,0.035038542397,0.018119931925,0.008108919812,0.003804184603,0.001201321454,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.05506607929515418, ""1"": 0.08530236283540248, ""2"": 0.11553864637565078, ""3"": 0.1304565478574289, ""4"": 0.14357228674409292, ""5"": 0.1366639967961554, ""6"": 0.11363636363636363, ""7"": 0.07849419303163796, ""8"": 0.056768121746095315, ""9"": 0.034741690028033644, ""10"": 0.022326792150580695, ""11"": 0.013115738886663997, ""12"": 0.006607929515418502, ""13"": 0.0034040849018822585, ""14"": 0.0027032438926712053, ""15"": 0.0016019223067681217}",Austin Reaves,17553995,LAL,OKC,False,21708301,,ast,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,4.51642,4,4,0.055066079295,0.944933920705,0.859631557869,0.744092911494,0.613636363636,0.470064076892,0.333400080096,0.21976371646,0.141269523428,0.084501401682,0.049759711654,0.027432919503,0.014317180617,0.007709251101,0.004305166199,0.001601922307,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.6574657465746575, ""1"": 0.27372737273727377, ""2"": 0.038003800380038005, ""3"": 0.0042004200420042, ""4"": 0.004100410041004101, ""5"": 0.0034003400340034007, ""6"": 0.0034003400340034007, ""7"": 0.003200320032003201, ""8"": 0.004600460046004601, ""9"": 0.003700370037003701, ""10"": 0.0042004200420042}",Austin Reaves,17553995,LAL,OKC,False,21708301,,blk,,,,,,predict.py:raw,phase8_role_aware_pmf_cal_v2,starter,0.550655,0,0,0.657465746575,0.342534253425,0.068806880688,0.030803080308,0.026602660266,0.022502250225,0.019101910191,0.015701570157,0.012501250125,0.007900790079,0.004200420042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.033470287603968335, ""1"": 0.050706483615592754, ""2"": 0.0733540434913318, ""3"": 0.10031065236997697, ""4"": 0.11213548451748674, ""5"": 0.12646557771319775, ""6"": 0.12155526605872334, ""7"": 0.10131275678925745, ""8"": 0.08557971740655378, ""9"": 0.06533720813708789, ""10"": 0.04669806593847079, ""11"": 0.031666499649263456, ""12"": 0.021044192804890272, ""13"": 0.013728830544142702, ""14"": 0.008317466680028059, ""15"": 0.0041086281190500056, ""16"": 0.0026054714901292716, ""17"": 0.0016033670708487829}",LeBron James,237,LAL,OKC,False,21708301,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,5.783746,6,5,0.033470287604,0.966529712396,0.91582322878,0.842469185289,0.742158532919,0.630023048402,0.503557470688,0.38200220463,0.28068944784,0.195109730434,0.129772522297,0.083074456358,0.051407956709,0.030363763904,0.01663493336,0.00831746668,0.004208838561,0.001603367071,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.2354, ""1"": 0.3595, ""2"": 0.2596, ""3"": 0.103, ""4"": 0.0425}",LeBron James,237,LAL,OKC,False,21708301,,fg3m,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,1.3577,1,1,0.2354,0.7646,0.4051,0.1455,0.0425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.3615638436156385, ""1"": 0.3932606739326068, ""2"": 0.18338166183381666, ""3"": 0.007499250074992502, ""4"": 0.008499150084991504, ""5"": 0.008099190080991902, ""6"": 0.006399360063993602, ""7"": 0.006999300069993002, ""8"": 0.008499150084991504, ""9"": 0.007699230076992302, ""10"": 0.008099190080991902}",LeBron James,237,LAL,OKC,False,21708301,,stl,,,,,,predict.py:raw,phase8_role_aware_pmf_cal_v2,starter,1.162684,1,1,0.361563843616,0.638436156384,0.245175482452,0.061793820618,0.054294570543,0.045795420458,0.037696230377,0.031296870313,0.024297570243,0.015798420158,0.008099190081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.151757988580587, ""1"": 0.20655113693278573, ""2"": 0.20735249924872284, ""3"": 0.16297706100370632, ""4"": 0.11128919162576381, ""5"": 0.06971852148652709, ""6"": 0.04167084042872884, ""7"": 0.023640188320144247, ""8"": 0.01372332966042272, ""9"": 0.006611239106481018, ""10"": 0.002904938395271962, ""11"": 0.0018030652108584593}",Luguentz Dort,666541,OKC,LAL,True,21708301,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,bench,2.537614,2,2,0.151757988581,0.848242011419,0.641690874487,0.434338375238,0.271361314234,0.160072122608,0.090353601122,0.048682760693,0.025042572373,0.011319242713,0.004708003606,0.001803065211,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,medium,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.006628502561012354, ""1"": 0.007733252987847747, ""2"": 0.007632821130862711, ""3"": 0.006126343276087177, ""4"": 0.008536707843728033, ""5"": 0.007532389273877675, ""6"": 0.009139298985638247, ""7"": 0.007833684844832782, ""8"": 0.009641458270563424, ""9"": 0.009239730842623282, ""10"": 0.01134879983930903, ""11"": 0.012453550266144423, ""12"": 0.013257005122024709, ""13"": 0.01416089183489003, ""14"": 0.01556693783268053, ""15"": 0.017776438686351315, ""16"": 0.01888118911318671, ""17"": 0.021090689966857493, ""18"": 0.023099327106558206, ""19"": 0.026112282816109274, ""20"": 0.028723511097720204, ""21"": 0.03183689866425631, ""22"": 0.034046399517927095, ""23"": 0.03786281008335845, ""24"": 0.038666264939238734, ""25"": 0.0427839710756252, ""26"": 0.040172742794014275, ""27"": 0.0427839710756252, ""28"": 0.04127749322084966, ""29"": 0.04398915335944562, ""30"": 0.03916842422416392, ""31"": 0.03645676408556795, ""32"": 0.0357537410866727, ""33"": 0.033644672089986956, ""34"": 0.029627397810585522, ""35"": 0.027217033242944666, ""36"": 0.023802350105453455, ""37"": 0.02038766696796224, ""38"": 0.02068896253891735, ""39"": 0.016169528974590744, ""40"": 0.014361755548860102, ""41"": 0.012252686552174354, ""42"": 0.010846640554383854, ""43"": 0.008034548558802855, ""44"": 0.006528070704027319, ""45"": 0.005825047705132069, ""46"": 0.005222456563221855, ""47"": 0.004318569850356535, ""48"": 0.003414683137491213, ""49"": 0.003113387566536106, ""50"": 0.0023099327106558204, ""51"": 0.002008637139700714, ""52"": 0.001205182283820428, ""53"": 0.0017073415687456064}",Shai Gilgeous-Alexander,175,OKC,LAL,True,21708301,,pts,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,25.631114,26,29,0.006628502561,0.993371497439,0.985638244451,0.97800542332,0.971879080044,0.9633423722,0.955809982927,0.946670683941,0.938836999096,0.929195540826,0.919955809983,0.908607010144,0.896153459877,0.882896454755,0.868735562921,0.853168625088,0.835392186402,0.816510997288,0.795420307321,0.772320980215,0.746208697399,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
"{""0"": 0.07428914697637165, ""1"": 0.1170404485382459, ""2"": 0.14837805366439727, ""3"": 0.16259511413696434, ""4"": 0.15418502202643172, ""5"": 0.12284741690028034, ""6"": 0.08990788946736084, ""7"": 0.057869443331998394, ""8"": 0.034941930316379655, ""9"": 0.018622346816179414, ""10"": 0.011113336003203845, ""11"": 0.004705646776131358, ""12"": 0.002302763315979175, ""13"": 0.001201441730076091}",Shai Gilgeous-Alexander,175,OKC,LAL,True,21708301,,reb,,,,,,predict.py:pmf_cal,phase8_role_aware_pmf_cal_v2,starter,3.730376,3,3,0.074289146976,0.925710853024,0.808670404485,0.660292350821,0.497697236684,0.343512214658,0.220664797757,0.13075690829,0.072887464958,0.037945534642,0.019323187825,0.008209851822,0.003504205046,0.00120144173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-07T17:06:26Z,639adbe#phase10c,9c85fb90-4d61-4c0b-93f7-ff57f4b3920d,ok,0.0,high,full,current_phase8,fresh,projected,derived_from_projected_minutes
