player_id,player_name,stat,line,book,k,p_k
192,James Harden,ast,6.5,,0,0.0
192,James Harden,fg3m,2.5,,0,0.0
192,James Harden,stl,1.5,,0,0.0
192,James Harden,blk,0.5,,0,0.0
322,Donovan Mitchell,pts,27.5,,0,0.0
322,Donovan Mitchell,reb,4.5,,0,0.0
322,Donovan Mitchell,ast,4.5,,0,0.0
322,Donovan Mitchell,fg3m,2.5,,0,0.0
322,Donovan Mitchell,stl,1.5,,0,0.0
227,Brandon Ingram,reb,4.5,,0,0.0
3547299,Sam Merrill,stl,0.5,,0,0.0
9,Jarrett Allen,blk,1.5,,0,0.0
1028029111,Ja'Kobe Walter,pts,9.5,,0,0.0
1028029111,Ja'Kobe Walter,reb,3.5,,0,0.0
1028029111,Ja'Kobe Walter,stl,1.5,,0,0.0
17896076,Evan Mobley,pts,16.5,,0,0.0
17896076,Evan Mobley,reb,9.5,,0,0.0
17896076,Evan Mobley,blk,1.5,,0,0.0
666423,RJ Barrett,pts,22.5,,0,0.0
666423,RJ Barrett,reb,5.5,,0,0.0
666423,RJ Barrett,ast,3.5,,0,0.0
1057268940,Collin Murray-Boyles,pts,11.5,,0,0.0
1057268940,Collin Murray-Boyles,blk,0.5,,0,0.0
373,Jakob Poeltl,reb,5.5,,0,0.0
17896055,Scottie Barnes,pts,20.5,,0,0.0
17896055,Scottie Barnes,reb,7.5,,0,0.0
17896055,Scottie Barnes,ast,7.5,,0,0.0
17896055,Scottie Barnes,fg3m,1.0,,0,0.0
17896055,Scottie Barnes,blk,1.5,,0,0.0
409,Dennis Schroder,fg3m,0.5,,0,0.0
409,Dennis Schroder,stl,0.5,,0,0.0
1028038426,Jamal Shead,ast,5.5,,0,0.0
17896059,Sandro Mamukelashvili,reb,3.5,,0,0.0
