player_id,player_name,game_id,stat,line
192,James Harden,21681995,ast,6.5
192,James Harden,21681995,fg3m,2.5
192,James Harden,21681995,stl,1.5
192,James Harden,21681995,blk,0.5
322,Donovan Mitchell,21681995,pts,27.5
322,Donovan Mitchell,21681995,reb,4.5
322,Donovan Mitchell,21681995,ast,4.5
322,Donovan Mitchell,21681995,fg3m,2.5
322,Donovan Mitchell,21681995,stl,1.5
227,Brandon Ingram,21681995,reb,4.5
3547299,Sam Merrill,21681995,stl,0.5
9,Jarrett Allen,21681995,blk,1.5
1028029111,Ja'Kobe Walter,21681995,pts,9.5
1028029111,Ja'Kobe Walter,21681995,reb,3.5
1028029111,Ja'Kobe Walter,21681995,stl,1.5
17896076,Evan Mobley,21681995,pts,16.5
17896076,Evan Mobley,21681995,reb,9.5
17896076,Evan Mobley,21681995,blk,1.5
666423,RJ Barrett,21681995,pts,22.5
666423,RJ Barrett,21681995,reb,5.5
666423,RJ Barrett,21681995,ast,3.5
1057268940,Collin Murray-Boyles,21681995,pts,11.5
1057268940,Collin Murray-Boyles,21681995,blk,0.5
373,Jakob Poeltl,21681995,reb,5.5
17896055,Scottie Barnes,21681995,pts,20.5
17896055,Scottie Barnes,21681995,reb,7.5
17896055,Scottie Barnes,21681995,ast,7.5
17896055,Scottie Barnes,21681995,fg3m,1.0
17896055,Scottie Barnes,21681995,blk,1.5
409,Dennis Schroder,21681995,fg3m,0.5
409,Dennis Schroder,21681995,stl,0.5
1028038426,Jamal Shead,21681995,ast,5.5
17896059,Sandro Mamukelashvili,21681995,reb,3.5
