player_id,player_name,stat,line,line_moved,lineup_changed,injury_availability_changed,prediction_input_changed,market_changed
17896073,Jalen Suggs,ast,4.5,False,False,False,False,False
17896073,Jalen Suggs,blk,0.5,False,False,False,False,False
17896073,Jalen Suggs,fg3m,2.5,False,False,False,False,False
17896073,Jalen Suggs,reb,3.5,False,False,False,False,False
17896075,Cade Cunningham,ast,9.5,False,False,False,False,False
17896075,Cade Cunningham,blk,0.5,False,False,False,False,False
17896075,Cade Cunningham,pts,29.5,False,False,False,False,False
17896075,Cade Cunningham,reb,6.5,False,False,False,False,False
200,Tobias Harris,blk,0.5,False,False,False,False,False
200,Tobias Harris,fg3m,1.5,False,False,False,False,False
200,Tobias Harris,pts,17.5,False,False,False,False,False
200,Tobias Harris,stl,1.5,False,False,False,False,False
277,Caris LeVert,stl,0.5,False,False,False,False,False
3547267,Isaiah Stewart,reb,3.5,False,False,False,False,False
3547287,Desmond Bane,fg3m,2.5,False,False,False,False,False
3547287,Desmond Bane,pts,19.5,False,False,False,False,False
3547287,Desmond Bane,reb,4.5,False,False,False,False,False
38017683,Paolo Banchero,ast,5.5,False,False,False,False,False
38017683,Paolo Banchero,reb,8.5,False,False,False,False,False
38017694,Jalen Duren,pts,13.5,False,False,False,False,False
38017694,Jalen Duren,stl,0.5,False,False,False,False,False
38017734,Jamal Cain,reb,3.5,False,False,False,False,False
397,Duncan Robinson,fg3m,2.5,False,False,False,False,False
56677826,Ausar Thompson,ast,3.5,False,False,False,False,False
56677826,Ausar Thompson,blk,1.5,False,False,False,False,False
56677827,Anthony Black,blk,0.5,False,False,False,False,False
56677827,Anthony Black,pts,13.5,False,False,False,False,False
56677827,Anthony Black,reb,3.5,False,False,False,False,False
85,Wendell Carter Jr.,pts,11.5,False,False,False,False,False
