stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,14,2.1727745782871275,0.051976129185284936,-0.662983594633636,1.7711289780116282,0.2025398536732421
blk,14,1.6689755766758374,0.06633549680643762,-0.5465731544506441,0.8354515813679113,0.40078512763847834
fg3m,14,5.243266026401114,0.0702677088043476,-0.7452205281108907,1.3313016919141283,0.22981112329464545
pa,14,3.9397983546931337,0.06191714915485528,-3.500814442918152,7.743656513827081,0.039906509719686636
pr,14,4.676872450204594,0.07938963378472476,-4.480782530106089,10.225054709559988,0.033450642964502966
pra,14,4.706968559078807,0.06953537183253451,-5.1437661247397255,10.49904177957133,0.03453449298466975
pts,14,3.9545158394026414,0.07380727969844957,-2.8378308482845145,7.520532213835901,0.04035123551875316
ra,14,4.328008658203151,0.07552687631586408,-2.305935276455211,4.81880599416506,0.07442407087509971
reb,14,3.791936608448336,0.09772152848166357,-1.6429516818215748,3.6326420616476573,0.11143843151675628
stl,14,2.037362998181269,0.10964721106117345,-1.060130271730662,1.2233306080805342,0.24375109800556521
stocks,14,2.7295035250869297,0.07929318076586897,-1.6067034261813062,1.8826643684354363,0.15673590201656426
tov,14,3.186930503082219,0.09070050807719668,-0.9594920515748582,1.3166342936939905,0.30318746689509907
