stat,role_bucket,n,pit_ks_statistic,pit_ks_pvalue,mean_pred,mean_actual,mean_error,mean_pred_variance,actual_variance,variance_error,mean_p0_pred,actual_p0_rate,p0_error,mean_nll,mean_rps,gate_pass
blk,bench,3286,0.5596039418973044,0.0,0.35969693831345023,0.32410225197808884,0.03559468633536139,1.0251968710435895,0.47895042655001063,0.5462464444935788,0.7911995302404772,0.7656725502130249,0.02552698002745224,1.2062274081288091,0.24730679720999882,False
blk,core,5248,0.44620454844186186,0.0,0.5978438629915671,0.5455411585365854,0.05230270445498175,1.5347892619204047,0.8458680760498772,0.6889211858705274,0.6701130509545022,0.6419588414634146,0.0281542094910876,1.6313105644138055,0.3586465235561998,False
blk,fringe,1296,0.642806210373704,0.0,0.2491569082347972,0.19135802469135801,0.05779888354343918,0.7505405937304723,0.28128334095412283,0.4692572527763495,0.8506640052021512,0.8541666666666666,-0.0035026614645153886,0.7765716013154133,0.15551599466077007,False
blk,inactive_risk,1237,0.5430893496958513,0.0,0.4123802352914864,0.36135812449474536,0.051022110796741016,1.1242343963972805,0.5589918499198455,0.565242546477435,0.7660712833931013,0.7485852869846402,0.017485996408461046,0.7673705583520909,0.24581824547877884,False
blk,rotation,4772,0.4970257931922436,0.0,0.49593880488613723,0.4585079631181894,0.03743084176794781,1.3372198458267475,0.6443387629290447,0.6928810828977028,0.7193164607350091,0.6804274937133278,0.03888896702168132,1.3074499793238354,0.3074954553963497,False
blk,starter,3369,0.3936382982960338,0.0,0.6611183327386532,0.5779162956366874,0.08320203710196572,1.7056242079635233,0.7764312770541316,0.9291929309093917,0.6308056820350264,0.6064113980409617,0.024394283994064736,1.710758787806151,0.3767493854660189,False
pa,bench,3286,0.10002979306147303,4.4795412449343166e-29,6.106125106512478,6.47930614729154,-0.37318104077906167,32.85904099926963,32.42060037066824,0.4384406286013913,0.14158253195374318,0.14698721850273888,-0.005404686548995702,2.860259299875273,2.915243452288497,False
pa,core,5248,0.1301182926829267,6.265779731290059e-78,14.982731030868905,16.087271341463413,-1.1045403105945084,70.2578078677615,69.65930444466649,0.5985034230950106,0.017633279344512198,0.007621951219512195,0.010011328125000003,3.3827046939530736,4.017714751123761,False
pa,fringe,1296,0.17512098765432096,3.123823187078845e-35,3.8202735339506178,3.830246913580247,-0.009973379629629076,22.71666682127315,21.110072778539855,1.6065940427332954,0.2609720293209876,0.3055555555555556,-0.04458352623456796,2.417981261853263,2.24269246871142,False
pa,inactive_risk,1237,0.3405777687954733,1.4639036533291665e-128,5.194397008892483,9.67663702506063,-4.482240016168148,53.85020857907438,100.38533129347151,-46.535122714397126,0.37804814066289416,0.18997574777687956,0.1880723928860146,3.3585441299983674,4.562273346564269,False
pa,rotation,4772,0.12808122380553233,1.0483666098889029e-68,9.630440234702432,10.44761106454317,-0.8171708298407374,45.860377425658,43.809283899022596,2.0510935266354053,0.05073462908633697,0.031223805532271585,0.019510823554065384,3.1580796712581587,3.3835418781831517,False
pa,starter,3369,0.12345896408429813,3.259293384404326e-45,22.87483107747106,24.010982487384982,-1.1361514099139214,110.26389173559802,100.84731185751461,9.416579878083411,0.006855327990501634,0.0011872959335114278,0.005668032056990207,3.5479964109401396,4.566656944296527,False
pr,bench,3286,0.08566497261107747,1.985693668277543e-21,7.478565322580646,8.009129640900792,-0.5305643183201454,40.053457033479155,44.0114808614647,-3.958023827985542,0.09066594643944006,0.10012172854534389,-0.009455782105903823,3.052671512388017,3.420602658091145,False
pr,core,5248,0.12346158536585358,3.53889624486047e-70,16.742466968368905,17.97313262195122,-1.2306656535823137,77.44468046495565,79.21021564399678,-1.7655351790411231,0.010119817073170733,0.005716463414634146,0.004403353658536587,3.4471351347153965,4.305019413843846,False
pr,fringe,1296,0.13217222222222225,3.339157222930494e-20,4.666383950617285,4.738425925925926,-0.07204197530864054,27.672510266257717,28.27185678155007,-0.5993465152923534,0.19376450617283958,0.2353395061728395,-0.04157499999999992,2.621788921887583,2.625060457175926,False
pr,inactive_risk,1237,0.32522643492320147,5.55791587789479e-117,5.832676798706549,10.835084882780922,-5.002408084074373,58.603235244025875,108.26059605180866,-49.65736080778279,0.32439579628132587,0.14470493128536782,0.17969086499595804,3.4739953497249654,5.026127053690382,False
pr,rotation,4772,0.11844748533109822,8.59810331622101e-59,11.382224549455156,12.346186085498744,-0.9639615360435876,53.68089477578216,53.85794228557336,-0.1770475097912012,0.02881646060352054,0.023679798826487845,0.005136661777032696,3.2776833026162167,3.778035296590004,False
pr,starter,3369,0.11750089047195017,5.535502110584072e-41,24.01378509943604,25.167408726625112,-1.1536236271890736,113.26108876581173,99.91676505734148,13.344323708470256,0.004407005046007718,0.00029682398337785694,0.004110181062629861,3.597206955142525,4.812765273867617,False
pra,bench,3286,0.09214586122945839,9.897396181716472e-25,8.627152130249545,9.189287888009739,-0.5621357577601938,50.8062466301263,53.06216157445464,-2.255914944328339,0.07298630553864882,0.08064516129032258,-0.007658855751673757,3.179141430135638,3.7790584842757156,False
pra,core,5248,0.1413335365853657,6.328429527342554e-92,19.5486658441311,20.99637957317073,-1.4477137290396307,101.9228344560999,94.21968963641201,7.703144819687893,0.006559546493902441,0.002858231707317073,0.003701314786585368,3.56173983670682,4.716301731234281,False
pra,fringe,1296,0.10734938271604942,1.8463254209482934e-13,5.381869598765434,5.460648148148148,-0.07877854938271422,34.5533329817554,34.961414394718794,-0.40808141296339073,0.16600929783950621,0.19444444444444445,-0.028435146604938233,2.7587213703487588,2.9441517768595684,False
pra,inactive_risk,1237,0.33532950687146335,1.5528522534408143e-124,6.810123848019403,12.704122877930477,-5.893999029911074,72.91682407545271,145.8413168741492,-72.92449279869648,0.2737607922392887,0.12368633791430882,0.15007445432497984,3.618275110420633,5.774813101988685,False
pra,rotation,4772,0.13032414082145877,3.977302761473803e-71,13.183413558256497,14.274727577535625,-1.0913140192791282,69.57877793193524,63.34133112863595,6.237446803299285,0.021243178960603525,0.012992455993294216,0.00825072296730931,3.386656727107257,4.1440349672516765,False
pra,starter,3369,0.13663955179578502,2.5192004306393766e-55,28.38915402196498,29.73137429504304,-1.342220273078059,151.63882554785687,124.90646890383317,26.732356644023696,0.002294419709112497,0.0,0.002294419709112497,3.696385686767653,5.235976669961413,False
ra,bench,3286,0.143700882531954,1.1245458083758756e-59,3.6729190505173475,3.8901399878271454,-0.21722093730979797,11.55467773524498,11.191521769813026,0.36315596543195383,0.174561685940353,0.13451004260499086,0.04005164333536215,2.3692862086370163,1.6643698088861838,False
ra,core,5248,0.18063353658536588,2.659591360292433e-150,7.372901591082317,7.9323551829268295,-0.5594535918445125,20.291824793310315,18.172062898235332,2.1197618950749835,0.036683993902439024,0.009908536585365854,0.02677545731707317,2.702514428210999,2.0040745912676257,False
ra,fringe,1296,0.22511728395061736,3.4425618275005734e-58,2.274670370370371,2.3526234567901234,-0.07795308641975263,7.754855253074847,7.340934475499162,0.4139207775756857,0.32141547067901244,0.27469135802469136,0.04672411265432108,2.017528474009172,1.2999441192631171,False
