stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,14,2.165890869809996,0.0656527089957321,0.535478466596164,1.8731170126473313,0.17481502815041436
blk,14,0.8997958103583408,0.07441228408714186,-0.2194162245287363,0.5682382700612866,0.5574823803647379
fg3m,14,1.8458644609544417,0.18087414409921806,-0.13718571364918375,1.088983685353829,0.19020984285954842
pa,14,3.576157213132948,0.05827692967691154,4.246974941997941,6.439159535349449,0.04216689162019984
pr,14,3.690755110842173,0.059097387895091155,5.22943593969364,6.500237405248378,0.04117083283126057
pra,14,3.969463348145617,0.06195989970949737,5.764914406289772,7.483997347478564,0.037371491746353666
pts,14,3.387398140937904,0.06764023279616553,3.7114964754017885,5.315960216562625,0.04413511291534376
ra,14,3.2535019935475558,0.06614760067758928,2.053417930888024,3.5264899914548744,0.07476778933078147
reb,14,2.419152935384504,0.05716656334691473,1.517939464291876,1.9750691841265062,0.13340545335767123
stl,14,1.3148456719528294,0.10733734574240568,-0.2418047382610154,0.7341814674478421,0.31251958014085535
stocks,14,1.6443181004092813,0.07870652212572533,-0.4630773555580329,1.1660742358212366,0.23560056070066318
tov,14,1.390708134170939,0.05957064186087067,0.3605442088390059,0.8046273465919781,0.29292935181416985
