date,book,player_key,player_name,player_id,team,opponent,stat,line,actual,result,model_p_over,model_p_under,model_p_push,model_result_prob,market_over_odds,market_under_odds,market_no_vig_over_prob,edge_over
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,13.5,7.0,under,0.247,0.7530999999999999,0.0,0.7530999999999999,194,-270,0.3179,-0.07090000000000002
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,12.5,7.0,under,0.2905,0.7095999999999999,0.0,0.7095999999999999,154,-210,0.3676,-0.0771
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,11.5,7.0,under,0.3403,0.6597999999999999,0.0,0.6597999999999999,124,-166,0.417,-0.07669999999999999
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,10.5,7.0,under,0.39680000000000004,0.6033,0.0,0.6033,-106,-125,0.4808,-0.08399999999999996
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,9.5,7.0,under,0.4636,0.5365,0.0,0.5365,-140,108,0.5482,-0.08460000000000001
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,8.5,7.0,under,0.5355000000000001,0.4646,0.0,0.4646,-192,142,0.6141,-0.07859999999999989
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,7.5,7.0,under,0.6080000000000001,0.3921,0.0,0.3921,-260,188,0.6753,-0.06729999999999992
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,6.5,7.0,over,0.6652,0.3349,0.0,0.6652,-340,235,0.7213,-0.05610000000000004
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,5.5,7.0,over,0.7339,0.2662,0.0,0.7339,-500,320,0.7778,-0.04390000000000005
2026-05-28,fanduel,89,Alex Caruso,89,OKC,SAS,pts,4.5,7.0,over,0.8066,0.1935,0.0,0.8066,-850,470,0.8361,-0.02949999999999997
2026-05-28,williamhill_us,89,Alex Caruso,89,OKC,SAS,pts,10.5,7.0,under,0.39680000000000004,0.6033,0.0,0.6033,-113,-118,0.495,-0.09819999999999995
