player_name,projected_minutes,stat,pmf_mean,market_line,p_over
Alex Caruso,22.5514,ast,2.3048,2.5,0.4532
Alex Caruso,22.5514,fg3m,1.1413,1.5,0.2717
Alex Caruso,22.5514,pa,13.307,13.5,0.455
Alex Caruso,22.5514,pr,14.9806,14.5,0.5011
Alex Caruso,22.5514,pra,17.2854,16.5,0.5218
Alex Caruso,22.5514,pts,11.0022,10.5,0.4981
Alex Caruso,22.5514,ra,6.2832,5.5,0.617
Alex Caruso,22.5514,reb,3.9784,3.5,0.5913
Alex Caruso,22.5514,stl,1.3184,1.5,0.3463
Cason Wallace,22.9981,ast,2.3967,2.5,0.4334
Cason Wallace,22.9981,blk,0.3507,0.5,0.2395
Cason Wallace,22.9981,fg3m,1.396,1.5,0.3553
Cason Wallace,22.9981,pa,11.2358,10.5,0.5152
Cason Wallace,22.9981,pr,12.5366,13.5,0.3966
Cason Wallace,22.9981,pra,14.9332,15.5,0.4272
Cason Wallace,22.9981,pts,8.8391,7.5,0.563
Cason Wallace,22.9981,ra,6.0941,6.5,0.4083
Cason Wallace,22.9981,reb,3.6974,3.5,0.5475
Cason Wallace,22.9981,stl,1.6685,1.5,0.438
Chet Holmgren,28.1656,ast,1.5482,1.5,0.4829
Chet Holmgren,28.1656,blk,0.7695,1.5,0.2216
Chet Holmgren,28.1656,fg3m,1.287,0.5,0.6805
Chet Holmgren,28.1656,pa,18.077,13.5,0.739
Chet Holmgren,28.1656,pr,24.2233,18.5,0.7818
Chet Holmgren,28.1656,pra,25.7715,23.5,0.612
Chet Holmgren,28.1656,pts,16.5288,13.5,0.6591
Chet Holmgren,28.1656,ra,9.2427,9.5,0.4458
Chet Holmgren,28.1656,reb,7.6945,6.5,0.6895
De'Aaron Fox,29.8816,ast,5.7382,5.5,0.5571
De'Aaron Fox,29.8816,blk,0.4283,0.5,0.2686
De'Aaron Fox,29.8816,fg3m,2.0116,1.5,0.537
De'Aaron Fox,29.8816,pa,24.9989,18.5,0.8321
De'Aaron Fox,29.8816,pr,23.3915,18.5,0.7681
De'Aaron Fox,29.8816,pra,29.1297,24.5,0.746
De'Aaron Fox,29.8816,pts,19.2607,15.5,0.7157
De'Aaron Fox,29.8816,ra,9.869,8.5,0.7073
De'Aaron Fox,29.8816,reb,4.1308,3.5,0.6563
Devin Vassell,31.5034,ast,2.5754,1.5,0.7951
Devin Vassell,31.5034,blk,0.5224,0.5,0.2821
Devin Vassell,31.5034,fg3m,2.1466,2.5,0.3533
Devin Vassell,31.5034,pa,17.1061,14.5,0.6757
Devin Vassell,31.5034,pr,19.5213,16.5,0.6979
Devin Vassell,31.5034,pra,22.0967,21.5,0.5328
Devin Vassell,31.5034,pts,14.5306,14.5,0.4981
Devin Vassell,31.5034,ra,7.5661,5.5,0.8419
Devin Vassell,31.5034,reb,4.9906,3.5,0.8203
Dylan Harper,24.1866,ast,2.8818,2.5,0.5842
Dylan Harper,24.1866,fg3m,1.0363,0.5,0.632
Dylan Harper,24.1866,pa,17.144,11.5,0.7765
Dylan Harper,24.1866,pr,19.4502,12.5,0.8286
Dylan Harper,24.1866,pra,22.332,15.5,0.8183
Dylan Harper,24.1866,pts,14.2622,9.5,0.7369
Dylan Harper,24.1866,ra,8.0698,5.5,0.8465
Dylan Harper,24.1866,reb,5.188,3.5,0.7966
Isaiah Hartenstein,20.9298,ast,2.5608,2.5,0.524
Isaiah Hartenstein,20.9298,blk,0.4775,0.5,0.2663
Isaiah Hartenstein,20.9298,pa,11.1429,9.5,0.5989
Isaiah Hartenstein,20.9298,pr,16.4486,14.5,0.6171
Isaiah Hartenstein,20.9298,pra,19.0094,17.5,0.5839
Isaiah Hartenstein,20.9298,pts,8.5821,7.5,0.5564
Isaiah Hartenstein,20.9298,ra,10.4273,9.5,0.6141
Isaiah Hartenstein,20.9298,reb,7.8665,7.5,0.555
Jared McCain,18.4928,ast,1.4612,1.5,0.4636
Jared McCain,18.4928,fg3m,0.9763,2.5,0.1385
Jared McCain,18.4928,pr,14.1447,16.5,0.3371
Jared McCain,18.4928,pra,15.606,18.5,0.3161
Jared McCain,18.4928,pts,11.3214,13.5,0.3381
Jared McCain,18.4928,reb,2.8234,2.5,0.5503
Julian Champagnie,28.8774,ast,1.8218,1.5,0.5941
Julian Champagnie,28.8774,blk,0.675,0.5,0.3924
Julian Champagnie,28.8774,fg3m,2.3776,1.5,0.5977
Julian Champagnie,28.8774,pa,13.7941,11.5,0.6454
Julian Champagnie,28.8774,pr,17.4716,15.5,0.6181
Julian Champagnie,28.8774,pra,19.2934,16.5,0.6702
Julian Champagnie,28.8774,pts,11.9724,9.5,0.6621
Julian Champagnie,28.8774,ra,7.321,6.5,0.6398
Julian Champagnie,28.8774,reb,5.4992,4.5,0.7012
Keldon Johnson,18.57,ast,1.1548,0.5,0.7438
Keldon Johnson,18.57,fg3m,0.7492,0.5,0.4931
Keldon Johnson,18.57,pr,13.792,10.5,0.6889
Keldon Johnson,18.57,pra,14.9468,12.5,0.6362
Keldon Johnson,18.57,pts,10.1946,7.5,0.6611
Keldon Johnson,18.57,reb,3.5974,3.5,0.4932
Luguentz Dort,20.7433,ast,1.6364,1.5,0.5392
Luguentz Dort,20.7433,blk,0.3122,0.5,0.1963
Luguentz Dort,20.7433,fg3m,0.9503,1.5,0.2372
Luguentz Dort,20.7433,pa,9.6311,7.5,0.6308
Luguentz Dort,20.7433,pr,10.9284,9.5,0.5783
Luguentz Dort,20.7433,pra,12.5648,10.5,0.6205
Luguentz Dort,20.7433,pts,7.9946,5.5,0.6608
Luguentz Dort,20.7433,ra,4.5702,4.5,0.4951
Luguentz Dort,20.7433,reb,2.9337,2.5,0.591
Shai Gilgeous-Alexander,32.9061,ast,8.4385,7.5,0.673
Shai Gilgeous-Alexander,32.9061,blk,0.4379,0.5,0.2725
Shai Gilgeous-Alexander,32.9061,fg3m,1.515,1.5,0.4333
Shai Gilgeous-Alexander,32.9061,pa,38.6677,37.5,0.563
Shai Gilgeous-Alexander,32.9061,pr,34.3195,30.5,0.6956
Shai Gilgeous-Alexander,32.9061,pra,42.758,43.5,0.4607
Shai Gilgeous-Alexander,32.9061,pts,30.2292,26.5,0.6964
Shai Gilgeous-Alexander,32.9061,ra,12.5288,12.5,0.5061
Shai Gilgeous-Alexander,32.9061,reb,4.0903,3.5,0.6667
Shai Gilgeous-Alexander,32.9061,stl,0.8379,1.5,0.2141
Stephon Castle,30.4682,ast,7.0222,6.5,0.6037
Stephon Castle,30.4682,blk,0.4988,0.5,0.2828
Stephon Castle,30.4682,fg3m,1.8923,1.5,0.4326
Stephon Castle,30.4682,pa,26.8846,23.5,0.687
Stephon Castle,30.4682,pr,25.5345,21.5,0.7218
Stephon Castle,30.4682,pra,32.5568,28.5,0.7128
Stephon Castle,30.4682,pts,19.8623,17.5,0.6343
Stephon Castle,30.4682,ra,12.6944,11.5,0.6671
Stephon Castle,30.4682,reb,5.6722,4.5,0.7568
Victor Wembanyama,31.1329,ast,2.8766,3.5,0.318
Victor Wembanyama,31.1329,blk,2.2672,3.5,0.1113
Victor Wembanyama,31.1329,fg3m,1.6876,1.5,0.4365
Victor Wembanyama,31.1329,pa,27.4223,29.5,0.3764
Victor Wembanyama,31.1329,pr,36.6523,39.5,0.3515
Victor Wembanyama,31.1329,pra,39.5289,42.5,0.3483
Victor Wembanyama,31.1329,pts,24.5457,25.5,0.4344
Victor Wembanyama,31.1329,ra,14.9831,16.5,0.3112
Victor Wembanyama,31.1329,reb,12.1065,13.5,0.3005
