stat,role_bucket,n,raw_model_logloss,repaired_model_logloss,market_logloss,raw_model_brier,repaired_model_brier,market_brier,raw_ece,repaired_ece,raw_calibration_pass,repaired_calibration_pass,raw_market_superiority_pass,repaired_market_superiority_pass,raw_model_better_calibrated,repaired_model_better_calibrated,selected_scope,selected_method,rollback_reason,repaired_calibration_pass,repaired_market_superiority_pass,repaired_model_better_calibrated,claim_status
pa,core,2287,0.7098296777380096,0.6788915824402432,0.6490490939184468,0.2557349066484477,0.24310258324278533,0.2291465272491156,0.1223346305203323,0.04999206383909045,,,,,,,segment,shrink_to_half,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pa,fringe,36,0.5528696657281604,0.5528696657281604,0.7583762117116389,0.15744487222222223,0.15744487222222223,0.27806708018416304,0.26336666666666664,0.26336666666666664,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pa,inactive_risk,68,1.0631136788674806,1.0631136788674806,0.6894900220822234,0.39379488948529406,0.39379488948529406,0.24836411409898146,0.42249117647058826,0.42249117647058826,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pa,rotation,760,0.7093815745442752,0.7093815745442752,0.6796941015185862,0.2570125989572369,0.2570125989572369,0.24327418216873434,0.1446378289473684,0.14463782894736843,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pa,starter,3113,0.6118356163470701,0.6118356163470701,0.6222379049674355,0.2106504202055895,0.2106504202055895,0.21694363166064354,0.062476164471570825,0.062476164471570825,,,,,,,,,,False,True,False,BLOCKED_CALIBRATION|BLOCKED_BOOTSTRAP|BLOCKED_CALIBRATION
pr,bench,604,0.6882936693234277,0.6882936693234277,0.6687214948280358,0.24398789281870856,0.24398789281870856,0.2384221945191025,0.08119329470198672,0.08119329470198672,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pr,core,3259,0.7143927235329872,0.6789463681230686,0.6409248994091177,0.2566018918610003,0.24310164663815587,0.22533080090791766,0.14466090825406566,0.07924604173059227,,,,,,,segment,shrink_to_half,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pr,fringe,56,0.365318835992552,0.365318835992552,0.6791881052838245,0.10971954383928571,0.10971954383928571,0.24269513303126944,0.07417499999999996,0.07417499999999996,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pr,inactive_risk,69,1.497015084810072,1.497015084810072,0.6942312899997547,0.5431018368840579,0.5431018368840579,0.24866751749226054,0.6061913043478261,0.6061913043478261,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pr,rotation,1288,0.7021534783282068,0.6989716857682783,0.6617781055575584,0.2526085181075311,0.25143830777926535,0.2349546667808027,0.10545493012422365,0.10130797148565356,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pr,starter,3372,0.6283765288413792,0.6283765288413792,0.624004813266453,0.21823219799006524,0.21823219799006524,0.21790820505654704,0.05820576809015423,0.05820576809015423,,,,,,,,,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pra,bench,448,0.7272692268918222,0.727269226891822,0.6876377311794465,0.2614652629743303,0.2614652629743303,0.247213017462905,0.10309743303571427,0.10309743303571425,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pra,core,3793,0.7354680281881854,0.6842887783563878,0.6533444572373978,0.26607782271223307,0.24550494910447793,0.23109323204500906,0.1556114553124176,0.06705655507565192,,,,,,,segment,logit_ab,,False,False,False,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
