stat,role_bucket,n_rows,n_dates,market_logloss,model_logloss,delta_logloss,bootstrap_upper_logloss_delta,market_brier,model_brier,delta_brier,bootstrap_upper_brier_delta,calibration_pass,model_better_calibrated,dominant_failure_mode,worst_20_rows_path,recommended_repair_family
stocks,starter,413,14,0.6897037899860966,10.229259760372072,9.539555970385976,10.61991066671773,0.2483037142570346,0.4282189623974923,0.1799152481404577,0.218182519468201,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/stocks__starter__worst20.csv,D_sparse_p0_tail_repair
stocks,core,391,13,0.6875168634222228,7.962094918036159,7.274578054613936,7.97910398344287,0.2471899986770556,0.4631895169688829,0.21599951829182729,0.252619627246185,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/stocks__core__worst20.csv,D_sparse_p0_tail_repair
blk,core,772,14,0.66825530621502,6.987722826244753,6.319467520029733,6.781587108342259,0.2374855391916781,0.4689423867571426,0.2314568475654645,0.2564059010095882,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/blk__core__worst20.csv,D_sparse_p0_tail_repair
blk,rotation,220,14,0.6133219944441208,2.7338445386405716,2.120522544196451,2.6031687526523375,0.2129637267534198,0.3070389230552413,0.09407519630182148,0.137510920856362,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/blk__rotation__worst20.csv,D_sparse_p0_tail_repair
ra,bench,103,9,0.6872773336351746,0.914125459703364,0.22684812606818938,0.3184857311877054,0.245653584895832,0.3402642081796118,0.09461062328377978,0.1319907395013331,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/ra__bench__worst20.csv,F_market_residual_stacker
stl,core,757,14,0.6660161073108269,0.8361850820052826,0.1701689746944557,0.2050083845726218,0.2365837383212071,0.312561904177484,0.07597816585627687,0.0915810810896826,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/stl__core__worst20.csv,D_sparse_p0_tail_repair
stl,rotation,294,14,0.6882365667190561,0.831552331804772,0.14331576508571586,0.1923075173740843,0.2474217830827302,0.3106712278022855,0.06324944471955532,0.0854493088521048,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/stl__rotation__worst20.csv,D_sparse_p0_tail_repair
pts,inactive_risk,143,4,0.7038506756070041,0.8457280208362327,0.14187734522922857,0.1916310464576665,0.2540236118203488,0.3226056678321678,0.06858205601181899,0.0909338749989172,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/pts__inactive_risk__worst20.csv,F_market_residual_stacker
ast,bench,177,11,0.6621068846722294,0.7409986193426087,0.07889173467037924,0.1405871563412379,0.234552155211226,0.2699662868801004,0.03541413166887439,0.0627572356974959,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/ast__bench__worst20.csv,F_market_residual_stacker
blk,starter,730,14,0.6390014952177081,0.7139981245272986,0.0749966293095905,0.1034946525820108,0.2244944754705247,0.2569225459525157,0.03242807048199098,0.0444997565743228,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/blk__starter__worst20.csv,D_sparse_p0_tail_repair
reb,bench,793,14,0.6707457812651904,0.7399642024241304,0.06921842115894006,0.0870419838678987,0.2390302101053809,0.2695758125262715,0.030545602420890605,0.0385585821737448,False,False,mean_delta_not_negative,artifacts/model_diagnostics/m8_9_remaining_failures_20260514T050057Z/worst_rows/reb__bench__worst20.csv,F_market_residual_stacker
