player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,pmf,fair_odds_over,fair_odds_under,pmf_median,edge_over,edge_under,line_vs_median,mkt_true_over,mkt_true_under,model_over_prob,model_under_prob
56677825,Amen Thompson,21681996,Los Angeles Lakers @ Houston Rockets,11,reb,UNDER,7.5,-112,102,-112,fanduel,0.5528,0.5528,0.5528,pmf_cal,0.5162,0.0366,0.0464,0.008,7.0,"{""0.1"": 3.0, ""0.2"": 4.0, ""0.25"": 5.0, ""0.33"": 6.0, ""0.4"": 6.0, ""0.5"": 7.0, ""0.6"": 8.0, ""0.67"": 9.0, ""0.75"": 10.0, ""0.8"": 10.0, ""0.9"": 13.0}",0,3,0.0334,pmf_cal,True,False,"{""0"": 0.0152, ""1"": 0.024, ""2"": 0.038, ""3"": 0.0608, ""4"": 0.0787, ""5"": 0.1003, ""6"": 0.1211, ""7"": 0.1148, ""8"": 0.1066, ""9"": 0.0823, ""10"": 0.0646, ""11"": 0.0501, ""12"": 0.0422, ""13"": 0.0348, ""14"": 0.0218, ""15"": 0.0163, ""16"": 0.0114, ""17"": 0.0069, ""18"": 0.0049, ""19"": 0.0018, ""20"": 0.0012}",124,-124,7,-0.0366,0.0366,0.5,0.4838,0.5162,,
56677825,Amen Thompson,21681996,Los Angeles Lakers @ Houston Rockets,11,ast,UNDER,5.5,100,-109,100,betparx,0.6029,0.6029,0.6029,pmf_cal,0.4895,0.1134,0.2058,0.031,5.0,"{""0.1"": 1.0, ""0.2"": 3.0, ""0.25"": 3.0, ""0.33"": 4.0, ""0.4"": 4.0, ""0.5"": 5.0, ""0.6"": 5.0, ""0.67"": 6.0, ""0.75"": 7.0, ""0.8"": 7.0, ""0.9"": 8.0}",0,3,0.0315,pmf_cal,True,False,"{""0"": 0.0408, ""1"": 0.0639, ""2"": 0.093, ""3"": 0.1247, ""4"": 0.1432, ""5"": 0.1373, ""6"": 0.1342, ""7"": 0.0968, ""8"": 0.0665, ""9"": 0.0434, ""10"": 0.0266, ""11"": 0.0142, ""12"": 0.0078, ""13"": 0.0033, ""14"": 0.0017, ""15"": 0.0011}",152,-152,5,-0.1134,0.1134,0.5,0.5105,0.4895,,
420,Marcus Smart,21681996,Los Angeles Lakers @ Houston Rockets,14,ast,OVER,2.5,-160,-160,135,betmgm,0.76,0.76,0.76,pmf_cal,0.5912,0.1688,0.235,0.056,4.0,"{""0.1"": 1.0, ""0.2"": 2.0, ""0.25"": 3.0, ""0.33"": 3.0, ""0.4"": 4.0, ""0.5"": 4.0, ""0.6"": 5.0, ""0.67"": 5.0, ""0.75"": 6.0, ""0.8"": 7.0, ""0.9"": 8.0}",0,3,0.0509,pmf_cal,True,False,"{""0"": 0.0505, ""1"": 0.079, ""2"": 0.1105, ""3"": 0.1448, ""4"": 0.1557, ""5"": 0.1397, ""6"": 0.1193, ""7"": 0.0717, ""8"": 0.0664, ""9"": 0.0262, ""10"": 0.0163, ""11"": 0.0089, ""12"": 0.0055, ""13"": 0.0019, ""14"": 0.0014}",-317,317,4,0.1688,-0.1688,-1.5,0.5912,0.4088,,
356,Josh Okogie,21681996,Los Angeles Lakers @ Houston Rockets,11,reb,UNDER,2.5,-120,110,-120,betparx,0.6286,0.6286,0.6286,pmf_cal,0.5339,0.0947,0.1524,0.027,2.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 1.0, ""0.33"": 1.0, ""0.4"": 1.0, ""0.5"": 2.0, ""0.6"": 2.0, ""0.67"": 3.0, ""0.75"": 3.0, ""0.8"": 4.0, ""0.9"": 5.0}",0,1,0.0316,pmf_cal,True,False,"{""0"": 0.217, ""1"": 0.226, ""2"": 0.1856, ""3"": 0.1473, ""4"": 0.0851, ""5"": 0.0568, ""6"": 0.0317, ""7"": 0.0245, ""8"": 0.0114, ""9"": 0.0078, ""10"": 0.0027, ""11"": 0.0016}",169,-169,2,-0.0947,0.0947,0.5,0.4661,0.5339,,
1028028519,Reed Sheppard,21681996,Los Angeles Lakers @ Houston Rockets,11,reb,UNDER,2.5,-110,104,-110,draftkings,0.6193,0.6193,0.6193,pmf_cal,0.5166,0.1027,0.1823,0.03,2.0,"{""0.1"": 0.0, ""0.2"": 1.0, ""0.25"": 1.0, ""0.33"": 1.0, ""0.4"": 2.0, ""0.5"": 2.0, ""0.6"": 2.0, ""0.67"": 3.0, ""0.75"": 3.0, ""0.8"": 4.0, ""0.9"": 5.0}",0,2,0.025,pmf_cal,True,False,"{""0"": 0.1493, ""1"": 0.238, ""2"": 0.232, ""3"": 0.1639, ""4"": 0.1136, ""5"": 0.056, ""6"": 0.0257, ""7"": 0.0137, ""8"": 0.004, ""9"": 0.002}",163,-163,2,-0.1027,0.1027,0.5,0.4834,0.5166,,
1028028519,Reed Sheppard,21681996,Los Angeles Lakers @ Houston Rockets,11,ast,UNDER,4.5,-125,108,-125,betparx,0.8026,0.8026,0.8026,pmf_cal,0.5361,0.2665,0.4447,0.083,3.0,"{""0.1"": 0.0, ""0.2"": 1.0, ""0.25"": 1.0, ""0.33"": 2.0, ""0.4"": 2.0, ""0.5"": 3.0, ""0.6"": 3.0, ""0.67"": 4.0, ""0.75"": 4.0, ""0.8"": 4.0, ""0.9"": 6.0}",0,2,0.0463,pmf_cal,True,False,"{""0"": 0.1251, ""1"": 0.1736, ""2"": 0.1898, ""3"": 0.1745, ""4"": 0.1395, ""5"": 0.087, ""6"": 0.051, ""7"": 0.027, ""8"": 0.0182, ""9"": 0.0069, ""10"": 0.0028, ""11"": 0.0022}",407,-407,3,-0.2665,0.2665,1.5,0.4639,0.5361,,
1028028519,Reed Sheppard,21681996,Los Angeles Lakers @ Houston Rockets,11,fg3m,UNDER,3.5,-145,135,-145,caesars,0.8034,0.8034,0.8034,pmf_cal,0.5817,0.2217,0.3575,0.078,2.0,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.25"": 1.0, ""0.33"": 1.0, ""0.4"": 2.0, ""0.5"": 2.0, ""0.6"": 2.0, ""0.67"": 3.0, ""0.75"": 3.0, ""0.8"": 3.0, ""0.9"": 4.0}",0,2,0.0274,pmf_cal,True,False,"{""0"": 0.0988, ""1"": 0.2589, ""2"": 0.2622, ""3"": 0.1835, ""4"": 0.1007, ""5"": 0.04, ""6"": 0.0326, ""15"": 0.0233}",409,-409,2,-0.2217,0.2217,1.5,0.4183,0.5817,,
17896062,Alperen Sengun,21681996,Los Angeles Lakers @ Houston Rockets,11,reb,UNDER,9.5,100,100,100,betparx,0.6117,0.6117,0.6117,pmf_cal,0.5,0.1117,0.2235,0.034,9.0,"{""0.1"": 4.0, ""0.2"": 5.0, ""0.25"": 6.0, ""0.33"": 7.0, ""0.4"": 8.0, ""0.5"": 9.0, ""0.6"": 9.0, ""0.67"": 10.0, ""0.75"": 11.0, ""0.8"": 12.0, ""0.9"": 14.0}",0,3,0.025,pmf_cal,True,False,"{""0"": 0.0101, ""1"": 0.0134, ""2"": 0.0164, ""3"": 0.0344, ""4"": 0.0533, ""5"": 0.0788, ""6"": 0.0891, ""7"": 0.098, ""8"": 0.1061, ""9"": 0.1122, ""10"": 0.0982, ""11"": 0.0745, ""12"": 0.0557, ""13"": 0.0467, ""14"": 0.0351, ""15"": 0.0223, ""16"": 0.0191, ""17"": 0.0133, ""18"": 0.0073, ""19"": 0.006, ""20"": 0.0048, ""21"": 0.0018, ""22"": 0.0011}",158,-158,9,-0.1117,0.1117,0.5,0.5,0.5,,
17896062,Alperen Sengun,21681996,Los Angeles Lakers @ Houston Rockets,11,ast,UNDER,5.5,120,-147,120,draftkings,0.6721,0.6721,0.6721,pmf_cal,0.433,0.239,0.4785,0.06,4.0,"{""0.1"": 1.0, ""0.2"": 2.0, ""0.25"": 3.0, ""0.33"": 3.0, ""0.4"": 4.0, ""0.5"": 4.0, ""0.6"": 5.0, ""0.67"": 5.0, ""0.75"": 6.0, ""0.8"": 7.0, ""0.9"": 8.0}",0,3,0.0597,pmf_cal,True,False,"{""0"": 0.0437, ""1"": 0.0669, ""2"": 0.1031, ""3"": 0.1375, ""4"": 0.1543, ""5"": 0.1665, ""6"": 0.1168, ""7"": 0.0907, ""8"": 0.0561, ""9"": 0.0286, ""10"": 0.0159, ""11"": 0.0106, ""12"": 0.0039, ""13"": 0.0024, ""14"": 0.0014}",205,-205,4,-0.2391,0.2391,1.5,0.567,0.433,,
17896062,Alperen Sengun,21681996,Los Angeles Lakers @ Houston Rockets,11,blk,UNDER,1.5,-210,178,-210,draftkings,0.8462,0.8462,0.8462,pmf,0.6532,0.193,0.2491,0.078,0.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 0.0, ""0.5"": 0.0, ""0.6"": 1.0, ""0.67"": 1.0, ""0.75"": 1.0, ""0.8"": 1.0, ""0.9"": 2.0}",0,3,0.0471,pmf_raw,False,True,"{""0"": 0.5418, ""1"": 0.3044, ""2"": 0.1112, ""3"": 0.005, ""4"": 0.0052, ""5"": 0.0056, ""6"": 0.0047, ""7"": 0.0049, ""8"": 0.006, ""9"": 0.0055, ""10"": 0.0057}",550,-550,0,-0.193,0.193,1.5,0.3468,0.6532,,
