stat,role_bucket,selected_scope,selected_method,delta,gamma,alpha,delta_stat,delta_stat_role,n_train,n_val,n_dates,raw_mean_bias,repaired_mean_bias,raw_nll,repaired_nll,raw_rps,repaired_rps,raw_event_logloss,repaired_event_logloss,raw_event_brier,repaired_event_brier,accepted,rollback_reason,segment_key
pts,core,stat_role,shrink_parent_additive,0.0,,0.65,0.25,0.0,4922,4922,16,-1.9524162968865812,-1.864916296886581,3.393038153664461,3.3878011362604106,4.151814255976106,4.137116054587687,0.7467173921907714,0.7451593327633669,0.2716533799050099,0.2709595445649134,True,,pts|core
pts,inactive_risk,stat,multiplicative_gamma,,1.2,,0.25,,143,143,4,-6.018083333333333,-5.084200000000002,3.8127000972501612,3.722754022752821,5.310228157407408,4.726542021652659,1.214140763609494,1.1280401160438804,0.42826209027777773,0.4047872318617365,True,,pts|inactive_risk
reb,starter,stat_role,multiplicative_gamma,,1.02,,,,2828,2828,16,-0.4700974734913604,-0.3706112990256476,2.4563603375022276,2.453112949251871,1.5550255403570086,1.5456729909154576,0.6681630934992615,0.6646896110330406,0.2381071394777519,0.2364524171065334,True,,reb|starter
ast,bench,stat,multiplicative_gamma,,1.02,,,,177,177,11,-0.5929425015530279,-0.5618305913501702,1.9486553161024738,1.9440234628010653,0.8743781007033253,0.8663500433088865,0.6796896340270692,0.6763769209238853,0.2470544248341652,0.24548749258763758,True,,ast|bench
pa,core,stat_role,multiplicative_gamma,,1.04,,0.75,,2287,2287,14,-2.816028500270063,-2.1976258553912094,3.5622435401497796,3.5458644411171947,4.822949130489019,4.723570305080787,0.7430343994658535,0.732718309194111,0.26937647545843113,0.26510939219341817,True,,pa|core
pr,starter,stat_role,multiplicative_gamma,,1.04,,,,3372,3372,14,-2.6648288597740444,-1.7401197012190117,3.603962796255813,3.588952708791107,4.728899062286325,4.6221582225954405,0.6499310351190993,0.6445234955897879,0.22683631477785648,0.22431020137608293,True,,pr|starter
ra,bench,stat,additive,2.0,,,0.25,2.0,103,103,9,-2.8762375,-0.8762374999999998,3.3503111905338248,3.1101582885204784,3.8140044423437507,3.31302319234375,0.9582676438092477,0.770704413408449,0.36179218171875,0.28959957734375,True,,ra|bench
ra,starter,stat_role,shrink_parent_additive,1.0,,0.35,0.25,1.0,2175,2175,14,-0.7847411470783751,-0.2722411470783749,2.8533345864449227,2.8285392328466514,2.2114416791345044,2.158598172586616,0.6655278767617423,0.6631438269397388,0.23587923040077444,0.23460514450310108,True,,ra|starter
pts,rotation,,,,,,,,2319,2319,16,,,,,,,,,,,False,all_candidates_failed_cv_rollback,pts|rotation
reb,bench,,,,,,,,793,793,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,reb|bench
reb,core,,,,,,,,3154,3154,16,,,,,,,,,,,False,all_candidates_failed_cv_rollback,reb|core
reb,rotation,,,,,,,,1483,1483,16,,,,,,,,,,,False,all_candidates_failed_cv_rollback,reb|rotation
ast,core,,,,,,,,2064,2064,16,,,,,,,,,,,False,all_candidates_failed_cv_rollback,ast|core
ast,rotation,,,,,,,,776,776,16,,,,,,,,,,,False,all_candidates_failed_cv_rollback,ast|rotation
ast,starter,,,,,,,,2616,2616,16,,,,,,,,,,,False,all_candidates_failed_cv_rollback,ast|starter
fg3m,bench,,,,,,,,495,495,15,,,,,,,,,,,False,all_candidates_failed_cv_rollback,fg3m|bench
fg3m,core,,,,,,,,2021,2021,16,,,,,,,,,,,False,all_candidates_failed_cv_rollback,fg3m|core
fg3m,starter,,,,,,,,2289,2289,16,,,,,,,,,,,False,all_candidates_failed_cv_rollback,fg3m|starter
stl,core,,,,,,,,757,757,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,stl|core
stl,rotation,,,,,,,,294,294,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,stl|rotation
stl,starter,,,,,,,,783,783,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,stl|starter
blk,core,,,,,,,,772,772,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,blk|core
blk,rotation,,,,,,,,220,220,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,blk|rotation
blk,starter,,,,,,,,730,730,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,blk|starter
stocks,core,,,,,,,,391,391,13,,,,,,,,,,,False,all_candidates_failed_cv_rollback,stocks|core
stocks,starter,,,,,,,,413,413,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,stocks|starter
pa,rotation,,,,,,,,760,760,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,pa|rotation
pr,bench,,,,,,,,604,604,13,,,,,,,,,,,False,all_candidates_failed_cv_rollback,pr|bench
pr,core,,,,,,,,3259,3259,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,pr|core
pr,rotation,,,,,,,,1288,1288,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,pr|rotation
ra,core,,,,,,,,1817,1817,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,ra|core
ra,rotation,,,,,,,,623,623,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,ra|rotation
pra,bench,,,,,,,,448,448,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,pra|bench
pra,core,,,,,,,,3793,3793,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,pra|core
pra,rotation,,,,,,,,1295,1295,14,,,,,,,,,,,False,all_candidates_failed_cv_rollback,pra|rotation
