stat,role_bucket,n,raw_mean_bias,repaired_mean_bias,raw_model_logloss,repaired_model_logloss,market_logloss,raw_model_brier,repaired_model_brier,market_brier,raw_market_superiority_pass,repaired_market_superiority_pass,raw_calibration_pass,repaired_calibration_pass,raw_model_better_calibrated,repaired_model_better_calibrated,selected_scope,selected_method,rollback_reason,claim_status
pa,core,2287,-2.8986544818539555,-2.8986544818539555,0.7098296777380109,0.6788915824402432,0.6490490939184468,0.25573490664844817,0.2431025832427853,0.2291465272491156,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pa,fringe,36,0.79176527777778,0.79176527777778,0.5528696657281603,0.5528696657281604,0.7583762117116389,0.15744487222222223,0.1574448722222222,0.27806708018416304,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pa,inactive_risk,68,-15.049588235294111,-15.049588235294111,1.0631136788674813,1.0631136788674806,0.6894900220822234,0.393794889485294,0.393794889485294,0.24836411409898146,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pa,rotation,760,-2.2439840789473675,-2.2439840789473675,0.7093815745442754,0.7093815745442752,0.6796941015185862,0.25701259895723694,0.2570125989572369,0.24327418216873434,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pa,starter,3113,-2.7513957275939562,-2.7513957275939562,0.6118356163470717,0.6118356163470701,0.6222379049674355,0.21065042020558844,0.2106504202055895,0.21694363166064354,True,True,False,False,False,False,,,,BLOCKED_CALIBRATION|BLOCKED_BOOTSTRAP|BLOCKED_CALIBRATION
pr,bench,604,-0.9142143211920516,-0.9142143211920516,0.6882936693234282,0.6882936693234277,0.6687214948280358,0.24398789281870828,0.2439878928187085,0.2384221945191025,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pr,core,3259,-3.102356259588829,-3.102356259588829,0.7143927235329894,0.6789463681230686,0.6409248994091177,0.2566018918610005,0.2431016466381558,0.22533080090791766,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pr,fringe,56,-1.7738946428571414,-1.7738946428571414,0.3653188359925518,0.365318835992552,0.6791881052838245,0.10971954383928574,0.1097195438392857,0.24269513303126944,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pr,inactive_risk,69,-18.837424637681163,-18.837424637681163,1.4970150848100716,1.497015084810072,0.6942312899997547,0.5431018368840577,0.5431018368840579,0.24866751749226054,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pr,rotation,1288,-1.647104192546582,-1.647104192546582,0.7021534783282068,0.6989716857682783,0.6617781055575584,0.2526085181075302,0.2514383077792653,0.2349546667808027,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pr,starter,3372,-2.969919350533805,-2.0344219371292986,0.6283765288413806,0.6234668785415867,0.624004813266453,0.2182321979900651,0.215786942273134,0.21790820505654704,False,True,False,False,False,False,stat_role,multiplicative_gamma,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pra,bench,448,-0.7135691964285708,-0.7135691964285708,0.7272692268918225,0.727269226891822,0.6876377311794465,0.2614652629743303,0.2614652629743303,0.247213017462905,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pra,core,3793,-3.6879423938834663,-3.6879423938834663,0.735468028188185,0.6842887783563878,0.6533444572373978,0.2660778227122331,0.2455049491044779,0.23109323204500906,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pra,fringe,55,-0.4796827272727255,-0.4796827272727255,0.225847960960854,0.22584796096085405,0.7375952516525198,0.05683043595454552,0.0568304359545454,0.2698324071153322,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pra,inactive_risk,91,-18.21485274725275,-18.21485274725275,1.118689113959267,1.118689113959267,0.6605895391473033,0.40981633118131816,0.4098163311813185,0.23569417366874784,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
pra,rotation,1295,-1.6355494208494186,-1.6355494208494186,0.7305716817422769,0.7260532009275452,0.6899323396550979,0.2658385543667962,0.2641152704848929,0.24780836364501652,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pra,starter,4551,-3.3850465282355473,-3.3850465282355473,0.6440008210653949,0.644000821065397,0.6451845023930908,0.22407550914249574,0.2240755091424962,0.22746409809596999,True,True,False,False,False,False,,,,BLOCKED_CALIBRATION|BLOCKED_BOOTSTRAP|BLOCKED_CALIBRATION
pts,bench,1472,-0.34547667572463775,-0.34547667572463775,0.673675225836919,0.6736752258369177,0.6674951680364185,0.23797533008756036,0.2379753300875604,0.23781209549806515,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,core,4922,-2.1450832317486106,-2.1450832317486106,0.7237672440617756,0.6842439100467348,0.6560838099622692,0.2617308571493062,0.2456277292744571,0.23229362969234055,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,fringe,110,-0.50210606060606,-0.50210606060606,0.37044414460253616,0.37044414460253633,0.6545119955869432,0.10946316565656569,0.1094631656565656,0.23085310582576293,True,True,False,False,False,False,,,,BLOCKED_CALIBRATION|BLOCKED_CALIBRATION
pts,inactive_risk,143,-12.750195804195807,-12.750195804195807,1.217676347507549,0.8457280208362327,0.7038506756070041,0.44572337062937123,0.3226056678321678,0.2540236118203488,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,rotation,2319,-0.9558079632025307,-0.9558079632025307,0.6743097701771136,0.6743097701771102,0.6698355216339096,0.2402008093047776,0.2402008093047769,0.23883668705442512,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
pts,starter,5214,-2.3981451221071466,-2.3981451221071466,0.6303613479739699,0.6303613479739698,0.6332883801257336,0.21946000008524155,0.2194600000852406,0.2219312278095209,True,True,False,False,False,False,,,,BLOCKED_CALIBRATION|BLOCKED_BOOTSTRAP|BLOCKED_CALIBRATION
ra,bench,103,-1.7202179611650483,-1.7202179611650483,0.9141254597033639,0.9141254597033639,0.6872773336351746,0.3402642081796119,0.3402642081796118,0.24565358489583206,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ra,core,1817,-1.7463206108970826,-1.7463206108970826,0.7121823642207377,0.6920482980132329,0.668394752698768,0.2578953748059988,0.2495574044371908,0.2382973938476063,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ra,fringe,29,-1.2932827586206892,-1.2932827586206892,0.8164487624152188,0.8164487624152189,0.664035208231793,0.29626892741379307,0.296268927413793,0.23674800904362633,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ra,inactive_risk,46,-3.2116402173913046,-3.2116402173913046,0.8199607814836788,0.8199607814836789,0.6560751397150848,0.2927876617934782,0.2927876617934783,0.2333915373532918,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION
ra,rotation,623,-1.119193579454253,-1.119193579454253,0.7185467046735252,0.7185467046735245,0.6699336748026795,0.2615906515248794,0.2615906515248796,0.23937939306344916,False,False,False,False,False,False,,,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
ra,starter,2175,-0.9897597931034474,-0.4772597931034486,0.66557927550415,0.66169904142426,0.6566145867203093,0.23594294492413825,0.2341918918365045,0.23271902250319784,False,False,False,False,False,False,stat_role,shrink_parent_additive,,BLOCKED_MARKET_SUPERIORITY|BLOCKED_CALIBRATION|BLOCKED_MEAN_DELTA|BLOCKED_BOOTSTRAP
