stat,role_bucket,n,before_n,before_mean_ae,before_variance_ae,before_p0_error,before_pit_ks,before_nll,before_rps,before_mean_pass,before_variance_pass,before_p0_pass,before_pit_pass,before_internal_pass,after_n,after_mean_ae,after_variance_ae,after_p0_error,after_pit_ks,after_nll,after_rps,after_mean_pass,after_variance_pass,after_p0_pass,after_pit_pass,after_internal_pass,mean_ae_abs_error_delta,variance_ae_abs_error_delta,p0_abs_error_delta,pit_ks_delta,nll_delta,rps_delta,mean_abs_after,var_abs_after,p0_abs_after,pit_after
fg3m,core,5248,5248.0,0.9850991336221284,1.97396595188486,0.0846805461784322,0.1088203216463413,2.52210225569612,0.0455455224889327,True,False,False,False,False,5248.0,0.904666028319332,0.9892771671345628,0.0652187055387,0.1191964195612409,2.545491990798081,0.0489342027906576,False,True,False,False,False,0.0804331053027962,-0.9632431190194224,-0.0194618406397321,0.0103760979148995,0.0233897351019618,0.0033886803017249,0.09533397168066804,0.010722832865437182,0.0652187055387,0.1191964195612409
ast,bench,3286,3286.0,1.0205559333616092,0.6584781560920067,-0.0937948117467364,0.1698005680665449,1.4555646433690974,0.0255969547968505,False,False,False,False,False,3286.0,1.0576656043253267,0.8771560729854853,-0.0525856722259573,0.1801284153395125,1.4397057430404965,0.0258080187211914,False,False,False,False,False,0.0371096709637175,-0.2186779168934786,-0.041209139520779,0.0103278472729676,-0.0158589003286009,0.0002110639243408,0.05766560432532675,0.12284392701451474,0.0525856722259573,0.1801284153395125
stocks,rotation,4772,4772.0,0.8836116005230246,0.4575458758245176,-0.0277969926921348,0.0824503956247855,2.7061350745209847,0.0312403411894438,False,False,True,False,False,4772.0,1.0935001995238838,0.8487995149926497,-0.0476622771714039,0.092476398850128,2.6873184073693954,0.0310468852805659,False,False,False,False,False,-0.0228881999530916,-0.391253639168132,0.0198652844792691,0.0100260032253424,-0.0188166671515892,-0.0001934559088779,0.09350019952388378,0.15120048500735028,0.0476622771714039,0.092476398850128
stl,starter,3369,3369.0,0.9014114027282036,0.478543597956332,-0.0205646313644883,0.0760386532462151,2.7963359229911977,0.0554585281055024,False,False,True,True,False,3369.0,1.0998287648923206,0.8914788222869997,-0.0400237115130502,0.0839426956975716,2.7799133721515945,0.0552393397132718,False,False,False,False,False,0.0012401676205241,-0.4129352243306677,0.0194590801485619,0.0079040424513565,-0.0164225508396032,-0.0002191883922306,0.09982876489232062,0.1085211777130003,0.0400237115130502,0.0839426956975716
tov,rotation,4772,4772.0,1.0086333041818272,0.5542884318657805,-0.1228386225083736,0.1890237496507404,1.3718187521856229,0.0425733357227672,True,False,False,False,False,4772.0,1.0046799612334336,0.819422298039486,-0.0390901003567121,0.1939019393423409,1.3277782059032357,0.0422773309706881,True,False,False,False,False,-0.0039533429483935,-0.2651338661737055,-0.0837485221516615,0.0048781896916005,-0.0440405462823869,-0.000296004752079,0.004679961233433616,0.18057770196051404,0.0390901003567121,0.1939019393423409
pts,bench,3286,3286.0,1.0627745463804843,0.9835872863428642,0.0426079023652716,0.0594243254209778,2.712569466182693,0.0318055274651527,False,True,False,True,False,3286.0,1.034426156087778,0.952289973496458,0.0482356675731932,0.0631851145118398,2.710836303605128,0.031730514663979,False,True,False,True,False,-0.0283483902927066,0.0312973128464062,0.0056277652079216,0.0037607890908619,-0.0017331625775653,-7.501280117366144e-05,0.034426156087778104,0.04771002650354195,0.0482356675731932,0.0631851145118398
blk,rotation,4772,4772.0,0.924525281346876,0.396858441992406,-0.0388889670216813,0.2084443739807603,1.4362827999083725,0.027954132308759,False,False,False,False,False,4772.0,1.058255585947541,0.6055621202297263,-0.0438381961314864,0.2119144559036191,1.4294436122068994,0.0279061608298265,False,False,False,False,False,-0.0172191327055829,-0.2087036782373204,0.0049492291098051,0.0034700819228587,-0.0068391877014728,-4.79714789324813e-05,0.0582555859475411,0.39443787977027367,0.0438381961314864,0.2119144559036191
blk,starter,3369,3369.0,0.8741495538970988,0.3960021533582543,-0.0243942839940647,0.164817758897793,1.9096463693025203,0.0342499441332744,False,False,True,False,False,3369.0,0.9953415611792416,0.5960283352437871,-0.029559619177508,0.1670875034587046,1.9004627702053507,0.0341082383475135,True,False,True,False,False,-0.1211920072821427,-0.2000261818855327,0.0051653351834433,0.0022697445609116,-0.0091835990971695,-0.0001417057857609,0.004658438820758448,0.40397166475621293,0.029559619177508,0.1670875034587046
stl,inactive_risk,1237,1237.0,0.7750253201696239,0.3529735379054022,0.003610314688982,0.1690902644953019,1.1639238105540228,0.0309507687123534,False,False,True,False,False,1237.0,1.0583221994405865,0.8112531066395821,-0.0283163991317167,0.1691786370825536,1.1501235475862357,0.0306613338984816,False,False,True,False,False,-0.1666524803897898,-0.4582795687341798,0.0247060844427347,8.837258725166719e-05,-0.0138002629677871,-0.0002894348138718,0.058322199440586475,0.18874689336041794,0.0283163991317167,0.1691786370825536
tov,inactive_risk,1237,1237.0,1.172905281804753,0.5870060875360412,-0.145936146654371,0.2240849072781167,1.421609498772899,0.0385702799908838,False,False,False,False,False,1237.0,1.172905281804753,0.5870060875360412,-0.145936146654371,0.2240849072781167,1.421609498772899,0.0385702799908838,False,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.17290528180475295,0.4129939124639588,0.145936146654371,0.2240849072781167
stl,fringe,1296,1296.0,0.6938529526999818,0.3418480182211468,0.0214428797024167,0.2739197530864198,1.1957554441512197,0.0224446059336566,False,False,True,False,False,1296.0,1.0134335792756417,0.8440769802296092,-0.0102148632811897,0.2739197530864198,1.1827312888296295,0.0220058632558965,True,False,True,False,False,-0.2927134680243765,-0.5022289620084623,-0.011228016421227,0.0,-0.0130241553215901,-0.00043874267776,0.013433579275641705,0.1559230197703908,0.0102148632811897,0.2739197530864198
stocks,starter,3369,3369.0,0.8919282385300791,0.4859307954849514,-0.0329969541598797,0.0537251409913921,3.425380111634882,0.0384671571253603,False,False,False,True,False,3369.0,0.9952315327956114,0.7144381015798743,-0.0330526114678892,0.0537251409913921,3.40282904983223,0.0380191542433825,True,False,False,True,False,-0.1033032942655323,-0.2285073060949228,5.5657308009549045e-05,0.0,-0.0225510618026518,-0.0004480028819778,0.004768467204388616,0.2855618984201257,0.0330526114678892,0.0537251409913921
ast,fringe,1296,1296.0,1.0051825124291005,0.753708746585331,-0.063156988289198,0.2357654320987654,1.160646922019415,0.0194861726251491,True,False,False,False,False,1296.0,1.0164685898242614,0.7812706616358525,-0.0634216070314416,0.235691648148783,1.1598023420940882,0.0194812998574964,True,False,False,False,False,0.011286077395161,-0.0275619150505214,0.0002646187422435,-7.378394998242e-05,-0.0008445799253271,-4.872767652649296e-06,0.01646858982426136,0.21872933836414754,0.0634216070314416,0.235691648148783
blk,inactive_risk,1237,1237.0,0.8762741120202412,0.3860862048589698,-0.017485996408461,0.2599029911075182,0.784123400580827,0.0223471132253435,False,False,True,False,False,1237.0,1.0042763551793383,0.5885699297436257,-0.021864355827936,0.2590945836701698,0.7787567190986678,0.0223079941211781,True,False,True,False,False,-0.1194495328004204,-0.2024837248846558,0.0043783594194749,-0.0008084074373484,-0.0053666814821591,-3.911910416536449e-05,0.004276355179338331,0.41143007025637435,0.021864355827936,0.2590945836701698
pts,fringe,1296,1296.0,0.9942903179443626,0.907825083938997,0.1029227062606674,0.1818148148148148,2.238065602259644,0.0238609700540819,True,True,False,False,False,1296.0,1.0236112589144386,0.9830495976158432,0.1002486449401573,0.180150828113672,2.237803429937747,0.0238730392035606,False,True,False,False,False,0.0179015768588012,-0.0752245136768461,-0.0026740613205101,-0.0016639867011427,-0.0002621723218965,1.2069149478679405e-05,0.023611258914438604,0.016950402384156793,0.1002486449401573,0.180150828113672
fg3m,starter,3369,3369.0,1.0154329206610309,1.89806180085273,0.0725792548661333,0.0809117180421791,2.4602285500217325,0.0509446184188198,True,False,False,False,False,3369.0,1.0023022251530125,1.086582002063228,0.0384815649663509,0.0792403340418845,2.258888988772776,0.0529634623525709,True,True,False,True,False,-0.0131306955080183,-0.8114797987895019,-0.0340976898997823,-0.0016713840002945,-0.2013395612489565,0.0020188439337511,0.0023022251530124827,0.08658200206322797,0.0384815649663509,0.0792403340418845
blk,bench,3286,3286.0,0.9010425651598316,0.4232716437395866,-0.0255269800274522,0.2702373706634206,1.3491754784181536,0.0224824361099998,False,False,True,False,False,3286.0,1.1302795550563869,0.7825660569869688,-0.0374696660286903,0.2684114424832623,1.3436719905029917,0.0224445036321776,False,False,False,False,False,0.0313221202162181,-0.3592944132473821,0.0119426860012381,-0.0018259281801582,-0.005503487915162,-3.7932477822241045e-05,0.1302795550563869,0.2174339430130312,0.0374696660286903,0.2684114424832623
blk,fringe,1296,1296.0,0.768022151370688,0.340552941902691,0.0035026614645151,0.3564814814814815,0.8618525306855631,0.0141378176964336,False,False,True,False,False,1296.0,1.1144095069161832,0.8736635387086148,-0.0153128334247963,0.3541666666666666,0.8561282430785367,0.014100000964234,False,False,True,False,False,-0.1175683417131288,-0.5331105968059238,0.0118101719602812,-0.0023148148148148,-0.0057242876070263,-3.781673219960431e-05,0.11440950691618323,0.1263364612913852,0.0153128334247963,0.3541666666666666
fg3m,inactive_risk,1237,1237.0,1.0127434044615071,2.126465526909004,0.0088441238367084,0.2210994341147938,3.66590191513966,0.0307776000978856,True,False,True,False,False,1237.0,0.7870399378595818,0.3127401206861899,0.0038950809257024,0.2184238540433436,1.5705100523463398,0.0300348832655213,False,False,True,False,False,0.200216657678911,-0.439205647595194,-0.0049490429110059,-0.0026755800714501,-2.095391862793321,-0.0007427168323643,0.21296006214041818,0.68725987931381,0.0038950809257024,0.2184238540433436
reb,fringe,1296,1296.0,1.0390811391419663,0.7743473398414189,-0.0670499807265322,0.1342407407407407,1.7063187159707296,0.0304499475669697,False,False,False,False,False,1296.0,1.0544880559972418,0.8654997543107033,-0.0607044600777841,0.1305647438685434,1.700923137301738,0.0303920238400633,False,False,False,False,False,0.0154069168552752,-0.0911524144692843,-0.0063455206487481,-0.0036759968721973,-0.0053955786689916,-5.79237269064184e-05,0.054488055997241824,0.13450024568929675,0.0607044600777841,0.1305647438685434
reb,bench,3286,3286.0,1.0669392895069552,0.8052059529713554,-0.0740574575351041,0.0858302634248432,2.058392161008844,0.0400108930310641,False,False,False,False,False,3286.0,1.0508371326434258,0.9282422400777028,-0.0291206407152101,0.0795113361351323,2.0508363420798603,0.0399854078690404,False,True,True,True,False,-0.0161021568635293,-0.1230362871063472,-0.0449368168198939,-0.0063189272897109,-0.0075558189289837,-2.548516202373341e-05,0.05083713264342582,0.07175775992229716,0.0291206407152101,0.0795113361351323
fg3m,fringe,1296,1296.0,0.9388651444266164,2.524198489677516,0.0386150997476293,0.2812448409691357,3.6131924670337288,0.0219743415147554,False,False,False,False,False,1296.0,0.9967324531140728,2.534170199802173,0.0265897019162857,0.2685185185185185,3.598063572000781,0.0214519975073286,True,False,True,False,False,-0.0578673086874566,0.0099717101246574,-0.0120253978313435,-0.0127263224506172,-0.0151288950329475,-0.0005223440074267,0.0032675468859272305,1.534170199802173,0.0265897019162857,0.2685185185185185
tov,core,5248,5248.0,1.0248763454489458,0.5421840379413402,-0.1417312582136402,0.1362510162601626,1.622555843174023,0.0535490404488558,False,False,False,False,False,5248.0,1.0088252919591811,0.8404632331889657,-0.0267888913496121,0.1119739852969177,1.5617789479615096,0.0528710167581544,True,False,True,False,False,-0.0160510534897646,-0.2982791952476255,-0.1149423668640281,-0.0242770309632448,-0.0607768952125133,-0.0006780236907014,0.008825291959181136,0.15953676681103435,0.0267888913496121,0.1119739852969177
ast,inactive_risk,1237,1237.0,1.171354606226965,0.7624947960014461,-0.1093579409440933,0.1934007006197791,1.7919631594508914,0.0306663721823584,False,False,False,False,False,1237.0,1.072220939850524,0.8281108525311983,-0.0814501879408795,0.1662979583379348,1.7658417677514218,0.0297462620600037,False,False,False,False,False,-0.099133666376441,-0.0656160565297522,-0.0279077530032137,-0.0271027422818442,-0.0261213916994695,-0.0009201101223547,0.07222093985052402,0.17188914746880168,0.0814501879408795,0.1662979583379348
ast,rotation,4772,4772.0,1.0669088482025064,0.6754128058658733,-0.1317966090453285,0.1285948588991338,1.7923306266339298,0.0331722450863762,False,False,False,False,False,4772.0,1.045525322090543,0.8865080269293997,-0.0509041132681293,0.1008957973459675,1.7465582557587287,0.0326052476522682,False,False,False,False,False,-0.0213835261119634,-0.2110952210635264,-0.0808924957771991,-0.0276990615531662,-0.0457723708752011,-0.000566997434108,0.04552532209054294,0.11349197307060033,0.0509041132681293,0.1008957973459675
fg3m,bench,3286,3286.0,0.9085902581404836,2.1023541989923977,0.0736034240952523,0.1972865270846013,3.475960967577836,0.0307062853879102,False,False,False,False,False,3286.0,0.7901817887197152,0.3730165439619737,0.0372194687449798,0.1676812465788689,1.9015260758240613,0.0289600495422931,False,False,False,False,False,0.1184084694207684,-0.4753707429543714,-0.0363839553502725,-0.0296052805057324,-1.574434891753774,-0.0017462358456171,0.20981821128028477,0.6269834560380263,0.0372194687449798,0.1676812465788689
pts,inactive_risk,1237,1237.0,1.1427966639636835,0.8235687051053948,-0.0020842296900293,0.1085698537517454,3.012133244148793,0.0331668823477095,False,False,True,False,False,1237.0,1.030954813841448,0.910699101316172,0.0181501985822077,0.0782972828988738,2.989708688819443,0.0325602725089696,False,True,True,True,False,-0.1118418501222355,-0.0871303962107771,0.0160659688921784,-0.0302725708528715,-0.02242455532935,-0.0006066098387399,0.030954813841447937,0.08930089868382796,0.0181501985822077,0.0782972828988738
pts,rotation,4772,4772.0,1.0833114927202212,0.920358959237066,0.0116623796576448,0.0732854149203688,3.02948850925511,0.0374064504971157,False,True,True,True,False,4772.0,1.0308263269096396,0.8949364984166199,0.0196996600196433,0.0416619801959547,3.0200287106536523,0.0370224537812865,False,False,True,True,False,-0.0524851658105816,0.0254224608204459,0.0080372803619985,-0.031623434724414,-0.0094597986014575,-0.0003839967158292,0.0308263269096396,0.10506350158338007,0.0196996600196433,0.0416619801959547
fg3m,rotation,4772,4772.0,0.9038090812483164,1.9231371178550796,0.0984408863770778,0.1646227427460185,2.591395071277104,0.0375078557524336,False,False,False,False,False,4772.0,0.8878034054450178,0.6079581866762661,0.0534319950448177,0.1317147820049697,1.9661025525307791,0.0368926034957893,False,False,False,False,False,0.0160056758032987,-0.5310953045313455,-0.04500889133226,-0.0329079607410487,-0.6252925187463245,-0.0006152522566443,0.11219659455498221,0.3920418133237339,0.0534319950448177,0.1317147820049697
reb,inactive_risk,1237,1237.0,1.1873567840668804,0.7404805829637893,-0.1343367308720867,0.1647193846304599,2.228773758103775,0.0381096827882546,False,False,False,False,False,1237.0,1.1800056731618638,0.8529276442901658,-0.0579844808765274,0.1266423578448327,2.150526491903634,0.0376388167778051,False,False,False,False,False,-0.0073511109050166,-0.1124470613263765,-0.0763522499955593,-0.0380770267856272,-0.0782472662001412,-0.0004708660104494,0.18000567316186378,0.14707235570983423,0.0579844808765274,0.1266423578448327
pts,core,5248,5248.0,1.0684094185700683,0.8602180179298088,-0.0031498500522826,0.0783536585365853,3.2760336394968133,0.0446615868011307,False,False,True,True,False,5248.0,1.028631538169761,0.9465608282509582,0.0033085894362699,0.0345020791254987,3.2597858475550487,0.0441255783700636,False,True,True,True,False,-0.0397778804003075,-0.0863428103211494,0.0001587393839872,-0.0438515794110865,-0.0162477919417645,-0.000536008431067,0.02863153816976105,0.05343917174904178,0.0033085894362699,0.0345020791254987
reb,starter,3369,3369.0,1.0333247983392473,0.5848240557881892,-0.0452011697936583,0.1088308103294746,2.4313418279301544,0.0489313490146813,False,False,False,False,False,3369.0,1.0258594214764396,0.8808288025920683,-0.007300404640536,0.0450900253755351,2.3618744176790503,0.0476080942524294,False,False,True,True,False,-0.0074653768628076,-0.2960047468038791,-0.0379007651531223,-0.0637407849539394,-0.0694674102511041,-0.0013232547622518,0.025859421476439604,0.1191711974079317,0.007300404640536,0.0450900253755351
reb,rotation,4772,4772.0,1.0728941711419582,0.6858747309446668,-0.0779133243513097,0.1156436155350656,2.2385022798813274,0.0431884337794012,False,False,False,False,False,4772.0,1.0535853560057202,0.9216376726195684,-0.0182346890728512,0.0517302239124156,2.194151940294057,0.0423774624013614,False,True,True,True,False,-0.0193088151362379,-0.2357629416749015,-0.0596786352784584,-0.06391339162265,-0.0443503395872704,-0.0008109713780397,0.05358535600572023,0.07836232738043158,0.0182346890728512,0.0517302239124156
ast,starter,3369,3369.0,1.0390203222150305,0.5673400489021615,-0.0721787011746603,0.1191403977441377,2.248372733516348,0.0493893864431442,False,False,False,False,False,3369.0,1.0256212807041718,0.8380440512776905,-0.0154015599345072,0.0496581455121233,2.1684928684679248,0.0479103618577936,False,False,True,True,False,-0.0133990415108586,-0.270704002375529,-0.056777141240153,-0.0694822522320143,-0.0798798650484231,-0.0014790245853505,0.0256212807041718,0.16195594872230945,0.0154015599345072,0.0496581455121233
reb,core,5248,5248.0,1.0703519223471594,0.6357074933804155,-0.0642988928423337,0.1289684959349593,2.345528960881439,0.0464169586969454,False,False,False,False,False,5248.0,1.0471612537762134,0.915568133524804,-0.0111440952211162,0.0536556994112319,2.2796351360878075,0.0450464519707644,False,True,True,True,False,-0.0231906685709459,-0.2798606401443885,-0.0531547976212174,-0.0753127965237274,-0.0658938247936316,-0.001370506726181,0.047161253776213385,0.08443186647519596,0.0111440952211162,0.0536556994112319
ast,core,5248,5248.0,1.0722595422077252,0.6390796934354446,-0.1079708645238138,0.1322865853658536,2.027243257714946,0.0410009112523748,False,False,False,False,False,5248.0,1.0451935514406856,0.8891157767096991,-0.0255900392112195,0.0564481687481509,1.9680517772404875,0.0399600785311426,False,False,True,True,False,-0.0270659907670396,-0.2500360832742545,-0.0823808253125942,-0.0758384166177027,-0.0591914804744588,-0.0010408327212322,0.0451935514406856,0.1108842232903009,0.0255900392112195,0.0564481687481509
tov,starter,3369,3369.0,1.0347902705760563,0.5494409215837803,-0.1276068466572895,0.141231374295043,1.8504754097837952,0.0658333775130586,False,False,False,False,False,3369.0,1.021203370965226,0.8825420389651188,-0.0109413058234398,0.062094047996917,1.7756970473352185,0.0644732006669029,False,False,True,True,False,-0.0135868996108303,-0.3331011173813385,-0.1166655408338497,-0.0791373262981259,-0.0747783624485767,-0.0013601768461556,0.021203370965225954,0.11745796103488115,0.0109413058234398,0.062094047996917
