stat,role_bucket,n,before_n,before_mean_ae,before_variance_ae,before_p0_error,before_pit_ks,before_nll,before_rps,before_mean_pass,before_variance_pass,before_p0_pass,before_pit_pass,before_internal_pass,after_n,after_mean_ae,after_variance_ae,after_p0_error,after_pit_ks,after_nll,after_rps,after_mean_pass,after_variance_pass,after_p0_pass,after_pit_pass,after_internal_pass,mean_ae_abs_error_delta,variance_ae_abs_error_delta,p0_abs_error_delta,pit_ks_delta,nll_delta,rps_delta,mean_abs_after,var_abs_after,p0_abs_after,pit_after
tov,fringe,1296,1296.0,1.1199074554695438,0.6934675929745451,-0.0898770593907453,0.3119074074074074,0.9336375299009086,0.0265826089178608,False,False,False,False,False,1296.0,0.9521317987439688,0.7848655062950051,-0.0154062334608527,0.3424513636652397,0.9110997974155348,0.0263133049358724,False,False,True,False,False,-0.0720392542135125,-0.0913979133204599,-0.0744708259298925,0.0305439562578322,-0.0225377324853739,-0.0002693039819884,0.047868201256031195,0.21513449370499493,0.0154062334608527,0.3424513636652397
tov,bench,3286,3286.0,1.001415210201127,0.5752220475217574,-0.0929908564832815,0.2425598498681274,1.136958754928339,0.0338594403651551,True,False,False,False,False,3286.0,1.0166262970302686,0.8113397720250166,-0.0423524455429451,0.2722307527291832,1.1073554410453907,0.0337538856489439,True,False,False,False,False,0.0152110868291419,-0.2361177245032591,-0.0506384109403363,0.0296709028610557,-0.0296033138829483,-0.0001055547162111,0.016626297030268633,0.18866022797498339,0.0423524455429451,0.2722307527291832
stl,bench,3286,3286.0,0.8094311332151759,0.4003926375369828,-0.0026665874820747,0.1819046439379884,1.82072012731047,0.0330755903759084,False,False,True,False,False,3286.0,1.1126836197392285,0.9197246673266256,-0.0351475638221091,0.2046837676769398,1.8086158952791624,0.0328057124573146,False,True,False,False,False,-0.0778852470455956,-0.5193320297896427,0.0324809763400344,0.0227791237389513,-0.0121042320313078,-0.0002698779185937,0.11268361973922847,0.08027533267337439,0.0351475638221091,0.2046837676769398
stocks,bench,3286,3286.0,0.8430157347616686,0.4526776014515331,-0.0108532159685685,0.1119567007875513,2.544746301225241,0.025569632145831,False,False,True,False,False,3286.0,1.1135429228768587,0.939773236308488,-0.0403527192651574,0.129611572417326,2.5284985340874444,0.0253402022075574,False,True,False,False,False,-0.0434413423614726,-0.4870956348569549,0.0294995032965889,0.0176548716297745,-0.0162477671377967,-0.0002294299382735,0.11354292287685874,0.06022676369151203,0.0403527192651574,0.129611572417326
stocks,inactive_risk,1237,1237.0,0.8124581607017474,0.3965215940226178,-0.0020492685745995,0.1165222032576315,1.5105977819469465,0.023565032226047,False,False,True,False,False,1237.0,1.0661120637146366,0.8362540554990932,-0.0295633454496163,0.131336032414178,1.493935485549769,0.0233958323797719,False,False,True,False,False,-0.121429775583616,-0.4397324614764754,0.0275140768750167,0.0148138291565465,-0.0166622963971774,-0.0001691998462751,0.06611206371463663,0.16374594450090685,0.0295633454496163,0.131336032414178
stocks,fringe,1296,1296.0,0.7212725043289789,0.4144113369496053,0.0409678793071887,0.1934742947227904,1.6919432638648102,0.0177591754334414,False,False,False,False,False,1296.0,1.0224307239585704,0.966271487643902,0.0053530471574051,0.2081275790027391,1.675423926155731,0.0174074967442539,False,True,True,False,False,-0.2562967717124507,-0.5518601506942966,-0.0356148321497835,0.0146532842799487,-0.0165193377090788,-0.0003516786891874,0.022430723958570375,0.03372851235609797,0.0053530471574051,0.2081275790027391
stocks,core,5248,5248.0,0.8840022779760235,0.4940098691166631,-0.0261064366533259,0.0541140121918939,3.054274115192627,0.0355985860086571,False,False,True,True,False,5248.0,1.101502579000336,0.9465719937400472,-0.0463133229506533,0.0685211465260342,3.0310370952481844,0.0352914752949526,False,True,False,True,False,-0.0144951430236406,-0.4525621246233839,0.0202068862973274,0.0144071343341402,-0.0232370199444424,-0.0003071107137045,0.1015025790003361,0.05342800625995281,0.0463133229506533,0.0685211465260342
stl,rotation,4772,4772.0,0.8603168534407454,0.4208996245011352,-0.0212553636365174,0.1356860793022462,2.142617441948284,0.0428547768921382,False,False,True,False,False,4772.0,1.0929722634694938,0.8274555216034856,-0.0467028889795175,0.1494399215099422,2.128804550096849,0.0426413400052465,False,False,False,False,False,-0.0467108830897607,-0.4065558971023503,0.0254475253430001,0.013753842207696,-0.0138128918514341,-0.0002134368868916,0.09297226346949383,0.17254447839651443,0.0467028889795175,0.1494399215099422
stl,core,5248,5248.0,0.8676742075101721,0.4394445768218179,-0.0141670478652082,0.0977610489588859,2.4614836119989287,0.0488852203029555,False,False,True,False,False,5248.0,1.0974919547926034,0.8742570848235326,-0.0405143767952699,0.1106725192330664,2.444627380447425,0.048601752739068,False,False,False,False,False,-0.0348338376972244,-0.4348125080017146,0.0263473289300616,0.0129114702741804,-0.0168562315515039,-0.0002834675638875,0.09749195479260342,0.1257429151764674,0.0405143767952699,0.1106725192330664
blk,core,5248,5248.0,0.9125144411564872,0.4414963207004244,-0.0281542094910876,0.170748054135536,1.8234851586842689,0.0326042294141999,False,False,True,False,False,5248.0,1.1311321314977962,0.8326402580516358,-0.0437134324158624,0.1827614764733559,1.8160314833056403,0.0326441476282377,False,False,False,False,False,0.0436465726542834,-0.3911439373512114,0.0155592229247748,0.0120134223378198,-0.0074536753786285,3.991821403781515e-05,0.13113213149779623,0.16735974194836423,0.0437134324158624,0.1827614764733559
