stat,role_bucket,n,mean_delta_brier,bootstrap_upper95_mean_delta_brier,mean_delta_logloss,bootstrap_upper95_mean_delta_logloss
pts,core,431,0.02354172244073476,0.03560725647596968,0.0500052769255567,0.07607243173067563
pts,rotation,183,-0.021946053243993572,-0.007542452898594814,-0.04676995578171317,-0.019984678298698107
pts,starter,348,0.05411028086356383,0.06775747897545682,0.11724065754353168,0.14603983564637957
reb,core,274,0.007284610865933804,0.024086588557265826,0.022141799045465798,0.058479271259786296
reb,rotation,112,0.05913402231075553,0.07884808183783328,0.12534462958381007,0.1652453470843898
reb,starter,211,-0.012733172292398029,0.001532999709353715,-0.021779170148513726,0.009784178350450203
ast,core,194,0.006771309085103988,0.02311037319947277,0.015859927003604217,0.049739318338432384
ast,starter,193,0.0018265674006798414,0.021501885868564274,0.00316366702876744,0.04395098125309724
fg3m,core,174,0.008755242412420695,0.024514853165016767,0.019632315371738335,0.05390838682839691
fg3m,starter,181,0.01138728693010015,0.027064226253097505,0.03592496837917551,0.07310071137921492
pa,core,140,-0.01543117448501663,0.006690265026913437,-0.039408267816282844,0.011556733477314588
pa,starter,150,0.04017841709222858,0.06412001424744072,0.08167087444374291,0.1323954554043428
pr,core,219,-0.0038318848277268222,0.011813313037692744,-0.012287347425382834,0.021478569930524202
pr,starter,173,0.03949394119275409,0.06126298777360612,0.08476028040940557,0.13102687632063761
ra,core,106,0.01103463656537447,0.037294617712126304,0.014887076341998194,0.07827291947081773
pra,core,217,-0.007583467246698289,0.01054949808432247,-0.01588468763341626,0.024579352973076788
pra,starter,226,0.03002080145941057,0.05085981010688496,0.06582143339499202,0.11278712847628292
