stat,role_bucket,inequality_reason,mean_delta_brier,bootstrap_upper95_mean_delta_brier,mean_delta_logloss,bootstrap_upper95_mean_delta_logloss,interpretation
fg3m,bench,bootstrap_ci_not_better,-0.0001398574211874,0.0123718834368157,0.0921708185741203,0.2459418188890274,bootstrap_upper95_not_better_than_market
fg3m,core,mean_delta_not_negative,0.0099666337416817,0.0144882921431778,0.0653173931544045,0.1038569920224534,mean_delta_logloss_or_brier_not_negative_vs_market
fg3m,core,bootstrap_ci_not_better,0.0099666337416817,0.0144882921431778,0.0653173931544045,0.1038569920224534,bootstrap_upper95_not_better_than_market
fg3m,rotation,mean_delta_not_negative,0.0021442906061221,0.009261192930786,0.0122594441253679,0.0301764052093303,mean_delta_logloss_or_brier_not_negative_vs_market
fg3m,rotation,bootstrap_ci_not_better,0.0021442906061221,0.009261192930786,0.0122594441253679,0.0301764052093303,bootstrap_upper95_not_better_than_market
fg3m,starter,mean_delta_not_negative,0.0164100148148546,0.0210950812227228,0.0406211536481296,0.0517475562143946,mean_delta_logloss_or_brier_not_negative_vs_market
fg3m,starter,bootstrap_ci_not_better,0.0164100148148546,0.0210950812227228,0.0406211536481296,0.0517475562143946,bootstrap_upper95_not_better_than_market
stl,core,mean_delta_not_negative,0.2486085775912241,0.2785017286715189,11.842566989335063,12.682961562134588,mean_delta_logloss_or_brier_not_negative_vs_market
stl,core,bootstrap_ci_not_better,0.2486085775912241,0.2785017286715189,11.842566989335063,12.682961562134588,bootstrap_upper95_not_better_than_market
stl,rotation,mean_delta_not_negative,0.2295119218097516,0.2732848441034093,11.369025337812534,12.662756384395394,mean_delta_logloss_or_brier_not_negative_vs_market
stl,rotation,bootstrap_ci_not_better,0.2295119218097516,0.2732848441034093,11.369025337812534,12.662756384395394,bootstrap_upper95_not_better_than_market
stl,starter,mean_delta_not_negative,0.1297582944541131,0.155065472701594,8.447177060638236,9.224535327677232,mean_delta_logloss_or_brier_not_negative_vs_market
stl,starter,bootstrap_ci_not_better,0.1297582944541131,0.155065472701594,8.447177060638236,9.224535327677232,bootstrap_upper95_not_better_than_market
blk,core,mean_delta_not_negative,0.2321870742473651,0.257456626140127,11.780519045665995,12.62253518225726,mean_delta_logloss_or_brier_not_negative_vs_market
blk,core,bootstrap_ci_not_better,0.2321870742473651,0.257456626140127,11.780519045665995,12.62253518225726,bootstrap_upper95_not_better_than_market
blk,rotation,mean_delta_not_negative,0.1128518638034438,0.1558171043613817,6.834393898015102,8.195098138089683,mean_delta_logloss_or_brier_not_negative_vs_market
blk,rotation,bootstrap_ci_not_better,0.1128518638034438,0.1558171043613817,6.834393898015102,8.195098138089683,bootstrap_upper95_not_better_than_market
blk,starter,mean_delta_not_negative,0.145645991379415,0.1709794925068303,8.526126699960844,9.285768144021604,mean_delta_logloss_or_brier_not_negative_vs_market
blk,starter,bootstrap_ci_not_better,0.145645991379415,0.1709794925068303,8.526126699960844,9.285768144021604,bootstrap_upper95_not_better_than_market
stocks,core,mean_delta_not_negative,0.2167155422636271,0.2539094944586433,11.34727123385044,12.414030430318146,mean_delta_logloss_or_brier_not_negative_vs_market
stocks,core,bootstrap_ci_not_better,0.2167155422636271,0.2539094944586433,11.34727123385044,12.414030430318146,bootstrap_upper95_not_better_than_market
stocks,starter,mean_delta_not_negative,0.1798631746715415,0.2180557522772649,10.071266397790597,11.208552686271556,mean_delta_logloss_or_brier_not_negative_vs_market
stocks,starter,bootstrap_ci_not_better,0.1798631746715415,0.2180557522772649,10.071266397790597,11.208552686271556,bootstrap_upper95_not_better_than_market
pa,bench,bootstrap_ci_not_better,-0.0065948606891046,0.018079404736473,-0.0136941937064569,0.0451456781504581,bootstrap_upper95_not_better_than_market
pa,core,mean_delta_not_negative,0.026588379399332,0.0326418998025418,0.0607805838195629,0.0745098842612899,mean_delta_logloss_or_brier_not_negative_vs_market
pa,core,bootstrap_ci_not_better,0.026588379399332,0.0326418998025418,0.0607805838195629,0.0745098842612899,bootstrap_upper95_not_better_than_market
pa,rotation,mean_delta_not_negative,0.0137384167885025,0.0226083468376248,0.029687473025689,0.0484072254347746,mean_delta_logloss_or_brier_not_negative_vs_market
pa,rotation,bootstrap_ci_not_better,0.0137384167885025,0.0226083468376248,0.029687473025689,0.0484072254347746,bootstrap_upper95_not_better_than_market
pa,starter,bootstrap_ci_not_better,-0.006293211455054,-0.0016419046905774,-0.0104022886203654,0.000683325607804,bootstrap_upper95_not_better_than_market
pr,bench,mean_delta_not_negative,0.0055656982996061,0.017204251389916,0.0195721744953919,0.0461487431409372,mean_delta_logloss_or_brier_not_negative_vs_market
pr,bench,bootstrap_ci_not_better,0.0055656982996061,0.017204251389916,0.0195721744953919,0.0461487431409372,bootstrap_upper95_not_better_than_market
pr,core,mean_delta_not_negative,0.0312710909530826,0.035983826391226,0.0734678241238696,0.0848964812095708,mean_delta_logloss_or_brier_not_negative_vs_market
pr,core,bootstrap_ci_not_better,0.0312710909530826,0.035983826391226,0.0734678241238696,0.0848964812095708,bootstrap_upper95_not_better_than_market
pr,rotation,mean_delta_not_negative,0.0176538513267283,0.0241354526530895,0.0403753727706483,0.0542838646755496,mean_delta_logloss_or_brier_not_negative_vs_market
pr,rotation,bootstrap_ci_not_better,0.0176538513267283,0.0241354526530895,0.0403753727706483,0.0542838646755496,bootstrap_upper95_not_better_than_market
pr,starter,mean_delta_not_negative,0.0003239929335182,0.0045459114477493,0.0043717155749262,0.0141501504849046,mean_delta_logloss_or_brier_not_negative_vs_market
pr,starter,bootstrap_ci_not_better,0.0003239929335182,0.0045459114477493,0.0043717155749262,0.0141501504849046,bootstrap_upper95_not_better_than_market
ra,bench,mean_delta_not_negative,0.0946106232837795,0.1319907395013331,0.2268481260681892,0.3184857311877054,mean_delta_logloss_or_brier_not_negative_vs_market
ra,bench,bootstrap_ci_not_better,0.0946106232837795,0.1319907395013331,0.2268481260681892,0.3184857311877054,bootstrap_upper95_not_better_than_market
ra,core,mean_delta_not_negative,0.0195979809583926,0.0261287682533086,0.0437876115219713,0.0573885479714031,mean_delta_logloss_or_brier_not_negative_vs_market
ra,core,bootstrap_ci_not_better,0.0195979809583926,0.0261287682533086,0.0437876115219713,0.0573885479714031,bootstrap_upper95_not_better_than_market
ra,rotation,mean_delta_not_negative,0.0222112584614304,0.0323769525255711,0.048613029870845,0.0703218385194105,mean_delta_logloss_or_brier_not_negative_vs_market
ra,rotation,bootstrap_ci_not_better,0.0222112584614304,0.0323769525255711,0.048613029870845,0.0703218385194105,bootstrap_upper95_not_better_than_market
ra,starter,mean_delta_not_negative,0.00322392242094,0.009155643813551,0.0089646887838414,0.0227788509282805,mean_delta_logloss_or_brier_not_negative_vs_market
ra,starter,bootstrap_ci_not_better,0.00322392242094,0.009155643813551,0.0089646887838414,0.0227788509282805,bootstrap_upper95_not_better_than_market
pra,bench,mean_delta_not_negative,0.0142522455114253,0.0280963564664713,0.0396314957123755,0.0732615749896733,mean_delta_logloss_or_brier_not_negative_vs_market
pra,bench,bootstrap_ci_not_better,0.0142522455114253,0.0280963564664713,0.0396314957123755,0.0732615749896733,bootstrap_upper95_not_better_than_market
pra,core,mean_delta_not_negative,0.0349845906672239,0.0392921106419658,0.0821235709507877,0.0934510676620218,mean_delta_logloss_or_brier_not_negative_vs_market
pra,core,bootstrap_ci_not_better,0.0349845906672239,0.0392921106419658,0.0821235709507877,0.0934510676620218,bootstrap_upper95_not_better_than_market
pra,rotation,mean_delta_not_negative,0.0180301907217788,0.0252894921997461,0.0406393420871764,0.0563446314689489,mean_delta_logloss_or_brier_not_negative_vs_market
pra,rotation,bootstrap_ci_not_better,0.0180301907217788,0.0252894921997461,0.0406393420871764,0.0563446314689489,bootstrap_upper95_not_better_than_market
pra,starter,bootstrap_ci_not_better,-0.0033885889534738,0.0009636970483559,-0.0011836813276937,0.0085735241531992,bootstrap_upper95_not_better_than_market
