player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,pmf,fair_odds_over,fair_odds_under,pmf_median,edge_over,edge_under,line_vs_median,mkt_true_over,mkt_true_under
3547299,Sam Merrill,21681995,Cleveland Cavaliers @ Toronto Raptors,6,stl,UNDER,0.5,-115,-104,-115,betparx,0.701,0.701,0.701,pmf,0.512,0.189,0.3105,0.054,0.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 0.0, ""0.5"": 0.0, ""0.6"": 0.0, ""0.67"": 0.0, ""0.75"": 1.0, ""0.8"": 1.0, ""0.9"": 2.0}",0,2,0.0547,pmf_raw,False,True,"{""0"": 0.701, ""1"": 0.1921, ""2"": 0.0791, ""3"": 0.0038, ""4"": 0.0033, ""5"": 0.0033, ""6"": 0.0032, ""7"": 0.0031, ""8"": 0.0039, ""9"": 0.0035, ""10"": 0.0037}",234,-234,0,-0.189,0.189,0.5,0.488,0.512
9,Jarrett Allen,21681995,Cleveland Cavaliers @ Toronto Raptors,6,blk,UNDER,1.5,-170,160,-170,draftkings,0.7349,0.7349,0.7349,pmf,0.6208,0.1141,0.1672,0.043,1.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.6"": 1.0, ""0.67"": 1.0, ""0.75"": 2.0, ""0.8"": 2.0, ""0.9"": 2.0}",0,2,0.025,pmf_raw,False,True,"{""0"": 0.2927, ""1"": 0.4423, ""2"": 0.1828, ""3"": 0.0218, ""4"": 0.0092, ""5"": 0.0092, ""6"": 0.0071, ""7"": 0.0076, ""8"": 0.0097, ""9"": 0.0085, ""10"": 0.0092}",277,-277,1,-0.1141,0.1141,0.5,0.3792,0.6208
1028029111,Ja'Kobe Walter,21681995,Cleveland Cavaliers @ Toronto Raptors,28,pts,UNDER,9.5,-110,102,-110,betparx,0.698,0.698,0.698,pmf_cal,0.5141,0.1839,0.3326,0.055,7.0,"{""0.1"": 1.0, ""0.2"": 2.0, ""0.25"": 3.0, ""0.33"": 4.0, ""0.4"": 5.0, ""0.5"": 7.0, ""0.6"": 8.0, ""0.67"": 9.0, ""0.75"": 10.0, ""0.8"": 12.0, ""0.9"": 14.0}",0,2,0.0289,pmf_cal,True,False,"{""0"": 0.0698, ""1"": 0.0677, ""2"": 0.0719, ""3"": 0.0733, ""4"": 0.0784, ""5"": 0.0662, ""6"": 0.0622, ""7"": 0.0775, ""8"": 0.067, ""9"": 0.0638, ""10"": 0.0539, ""11"": 0.0436, ""12"": 0.0491, ""13"": 0.0378, ""14"": 0.0319, ""15"": 0.021, ""16"": 0.0181, ""17"": 0.0117, ""18"": 0.0084, ""19"": 0.0087, ""20"": 0.0041, ""21"": 0.0041, ""22"": 0.0022, ""23"": 0.0025, ""25"": 0.0014, ""31"": 0.0014, ""80"": 0.0014}",231,-231,7,-0.1839,0.1839,2.5,0.4859,0.5141
1028029111,Ja'Kobe Walter,21681995,Cleveland Cavaliers @ Toronto Raptors,28,reb,UNDER,3.5,-120,125,-120,betparx,0.6553,0.6553,0.6553,pmf_cal,0.551,0.1043,0.2014,0.036,3.0,"{""0.1"": 0.0, ""0.2"": 1.0, ""0.25"": 1.0, ""0.33"": 2.0, ""0.4"": 2.0, ""0.5"": 3.0, ""0.6"": 3.0, ""0.67"": 4.0, ""0.75"": 4.0, ""0.8"": 5.0, ""0.9"": 6.0}",0,2,0.025,pmf_cal,True,False,"{""0"": 0.107, ""1"": 0.1807, ""2"": 0.1967, ""3"": 0.1708, ""4"": 0.1257, ""5"": 0.0935, ""6"": 0.0594, ""7"": 0.0335, ""8"": 0.0171, ""9"": 0.0091, ""10"": 0.0035, ""11"": 0.0014}",190,-190,3,-0.1043,0.1043,0.5,0.449,0.551
1028029111,Ja'Kobe Walter,21681995,Cleveland Cavaliers @ Toronto Raptors,28,stl,UNDER,1.5,-155,137,-155,draftkings,0.7312,0.7312,0.7312,pmf,0.5903,0.1409,0.2029,0.047,1.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.6"": 1.0, ""0.67"": 1.0, ""0.75"": 2.0, ""0.8"": 2.0, ""0.9"": 3.0}",0,2,0.0398,pmf_raw,False,True,"{""0"": 0.3755, ""1"": 0.3556, ""2"": 0.1605, ""3"": 0.0537, ""4"": 0.0073, ""5"": 0.0086, ""6"": 0.0067, ""7"": 0.0067, ""8"": 0.0091, ""9"": 0.0078, ""10"": 0.0084}",272,-272,1,-0.1409,0.1409,0.5,0.4097,0.5903
17896076,Evan Mobley,21681995,Cleveland Cavaliers @ Toronto Raptors,6,pts,UNDER,16.5,-113,105,-113,betmgm,0.6188,0.6188,0.6188,pmf_cal,0.521,0.0978,0.1663,0.028,14.0,"{""0.1"": 5.0, ""0.2"": 8.0, ""0.25"": 9.0, ""0.33"": 11.0, ""0.4"": 12.0, ""0.5"": 14.0, ""0.6"": 16.0, ""0.67"": 17.0, ""0.75"": 19.0, ""0.8"": 20.0, ""0.9"": 23.0}",0,2,0.0283,pmf_cal,True,False,"{""0"": 0.0167, ""1"": 0.015, ""2"": 0.0164, ""3"": 0.0198, ""4"": 0.0309, ""5"": 0.0275, ""6"": 0.0314, ""7"": 0.0346, ""8"": 0.0369, ""9"": 0.0423, ""10"": 0.0433, ""11"": 0.0486, ""12"": 0.0521, ""13"": 0.0537, ""14"": 0.0486, ""15"": 0.0485, ""16"": 0.0524, ""17"": 0.0517, ""18"": 0.0485, ""19"": 0.0441, ""20"": 0.037, ""21"": 0.0376, ""22"": 0.0363, ""23"": 0.0272, ""24"": 0.0173, ""25"": 0.0201, ""26"": 0.0147, ""27"": 0.0101, ""28"": 0.0091, ""29"": 0.0083, ""30"": 0.0043, ""31"": 0.004, ""32"": 0.0021, ""33"": 0.0023, ""34"": 0.0016, ""37"": 0.0015, ""44"": 0.0014, ""80"": 0.0014}",162,-162,14,-0.0978,0.0978,2.5,0.479,0.521
17896076,Evan Mobley,21681995,Cleveland Cavaliers @ Toronto Raptors,6,reb,UNDER,9.5,-120,116,-120,fanduel,0.6724,0.6724,0.6724,pmf_cal,0.5409,0.1315,0.2327,0.042,8.0,"{""0.1"": 4.0, ""0.2"": 5.0, ""0.25"": 6.0, ""0.33"": 6.0, ""0.4"": 7.0, ""0.5"": 8.0, ""0.6"": 9.0, ""0.67"": 9.0, ""0.75"": 10.0, ""0.8"": 11.0, ""0.9"": 13.0}",0,2,0.025,pmf_cal,True,False,"{""0"": 0.0122, ""1"": 0.0157, ""2"": 0.0239, ""3"": 0.0455, ""4"": 0.0644, ""5"": 0.0797, ""6"": 0.0993, ""7"": 0.112, ""8"": 0.1136, ""9"": 0.106, ""10"": 0.0796, ""11"": 0.077, ""12"": 0.0606, ""13"": 0.0392, ""14"": 0.0255, ""15"": 0.0147, ""16"": 0.0122, ""17"": 0.008, ""18"": 0.0047, ""19"": 0.0023, ""20"": 0.0013}",205,-205,8,-0.1315,0.1315,1.5,0.4591,0.5409
17896076,Evan Mobley,21681995,Cleveland Cavaliers @ Toronto Raptors,6,blk,UNDER,1.5,140,-122,140,draftkings,0.7844,0.7844,0.7844,pmf,0.4312,0.3531,0.8825,0.095,1.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 0.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.6"": 1.0, ""0.67"": 1.0, ""0.75"": 1.0, ""0.8"": 2.0, ""0.9"": 2.0}",0,2,0.025,pmf_raw,False,True,"{""0"": 0.3777, ""1"": 0.4067, ""2"": 0.1573, ""3"": 0.0067, ""4"": 0.0072, ""5"": 0.0079, ""6"": 0.0064, ""7"": 0.0067, ""8"": 0.0082, ""9"": 0.0073, ""10"": 0.0079}",364,-364,1,-0.3532,0.3532,0.5,0.5688,0.4312
666423,RJ Barrett,21681995,Cleveland Cavaliers @ Toronto Raptors,28,pts,UNDER,22.5,-110,105,-110,betrivers,0.6318,0.6318,0.6318,pmf_cal,0.5178,0.1141,0.2063,0.034,20.0,"{""0.1"": 8.0, ""0.2"": 12.0, ""0.25"": 14.0, ""0.33"": 16.0, ""0.4"": 18.0, ""0.5"": 20.0, ""0.6"": 22.0, ""0.67"": 23.0, ""0.75"": 25.0, ""0.8"": 27.0, ""0.9"": 31.0}",0,3,0.025,pmf_cal,True,False,"{""0"": 0.0108, ""1"": 0.0092, ""2"": 0.0067, ""3"": 0.0095, ""4"": 0.0103, ""5"": 0.0109, ""6"": 0.013, ""7"": 0.0114, ""8"": 0.0212, ""9"": 0.0184, ""10"": 0.0259, ""11"": 0.0267, ""12"": 0.0271, ""13"": 0.0306, ""14"": 0.0355, ""15"": 0.0399, ""16"": 0.0477, ""17"": 0.0411, ""18"": 0.0464, ""19"": 0.0423, ""20"": 0.0465, ""21"": 0.0537, ""22"": 0.0469, ""23"": 0.0436, ""24"": 0.0381, ""25"": 0.0411, ""26"": 0.0355, ""27"": 0.0336, ""28"": 0.0313, ""29"": 0.0192, ""30"": 0.0196, ""31"": 0.025, ""32"": 0.0147, ""33"": 0.0139, ""34"": 0.0098, ""35"": 0.0095, ""36"": 0.0056, ""37"": 0.006, ""38"": 0.0048, ""39"": 0.0047, ""40"": 0.0027, ""41"": 0.0021, ""42"": 0.0021, ""45"": 0.0013, ""56"": 0.0014, ""80"": 0.0014}",172,-172,20,-0.114,0.114,2.5,0.4822,0.5178
666423,RJ Barrett,21681995,Cleveland Cavaliers @ Toronto Raptors,28,reb,UNDER,5.5,112,-139,112,caesars,0.5846,0.5846,0.5846,pmf_cal,0.4478,0.1367,0.2393,0.032,5.0,"{""0.1"": 2.0, ""0.2"": 3.0, ""0.25"": 3.0, ""0.33"": 4.0, ""0.4"": 4.0, ""0.5"": 5.0, ""0.6"": 6.0, ""0.67"": 6.0, ""0.75"": 7.0, ""0.8"": 7.0, ""0.9"": 9.0}",0,3,0.0633,pmf_cal,True,False,"{""0"": 0.0284, ""1"": 0.0548, ""2"": 0.0869, ""3"": 0.117, ""4"": 0.142, ""5"": 0.1554, ""6"": 0.1239, ""7"": 0.0978, ""8"": 0.0731, ""9"": 0.0529, ""10"": 0.0297, ""11"": 0.0197, ""12"": 0.008, ""13"": 0.005, ""14"": 0.0025, ""15"": 0.0014}",141,-141,5,-0.1368,0.1368,0.5,0.5522,0.4478
666423,RJ Barrett,21681995,Cleveland Cavaliers @ Toronto Raptors,28,ast,UNDER,3.5,122,-110,122,betway,0.6367,0.6367,0.6367,pmf_cal,0.4624,0.1743,0.4134,0.051,3.0,"{""0.1"": 1.0, ""0.2"": 1.0, ""0.25"": 1.0, ""0.33"": 2.0, ""0.4"": 2.0, ""0.5"": 3.0, ""0.6"": 3.0, ""0.67"": 4.0, ""0.75"": 4.0, ""0.8"": 5.0, ""0.9"": 6.0}",0,3,0.025,pmf_cal,True,False,"{""0"": 0.0976, ""1"": 0.1607, ""2"": 0.2035, ""3"": 0.175, ""4"": 0.1622, ""5"": 0.0893, ""6"": 0.0594, ""7"": 0.0297, ""8"": 0.0123, ""9"": 0.0054, ""10"": 0.003, ""11"": 0.001}",175,-175,3,-0.1743,0.1743,0.5,0.5376,0.4624
1057268940,Collin Murray-Boyles,21681995,Cleveland Cavaliers @ Toronto Raptors,28,pts,UNDER,11.5,-102,-105,-102,betmgm,0.5813,0.5813,0.5813,pmf_cal,0.4964,0.0849,0.1512,0.023,10.0,"{""0.1"": 3.0, ""0.2"": 5.0, ""0.25"": 6.0, ""0.33"": 7.0, ""0.4"": 8.0, ""0.5"": 10.0, ""0.6"": 12.0, ""0.67"": 13.0, ""0.75"": 15.0, ""0.8"": 16.0, ""0.9"": 19.0}",0,2,0.0271,pmf_cal,True,False,"{""0"": 0.0224, ""1"": 0.0258, ""2"": 0.0313, ""3"": 0.0429, ""4"": 0.0448, ""5"": 0.0485, ""6"": 0.0562, ""7"": 0.061, ""8"": 0.0672, ""9"": 0.0588, ""10"": 0.0656, ""11"": 0.0568, ""12"": 0.0615, ""13"": 0.0528, ""14"": 0.0512, ""15"": 0.0454, ""16"": 0.0365, ""17"": 0.0324, ""18"": 0.0259, ""19"": 0.0255, ""20"": 0.0199, ""21"": 0.0148, ""22"": 0.0124, ""23"": 0.0072, ""24"": 0.0087, ""25"": 0.006, ""26"": 0.0033, ""27"": 0.0037, ""28"": 0.002, ""29"": 0.0027, ""30"": 0.002, ""33"": 0.0012, ""43"": 0.0014, ""80"": 0.0014}",139,-139,10,-0.0849,0.0849,1.5,0.5036,0.4964
1057268940,Collin Murray-Boyles,21681995,Cleveland Cavaliers @ Toronto Raptors,28,blk,OVER,0.5,-215,-215,163,betparx,0.7423,0.7423,0.7423,pmf,0.6422,0.1001,0.0876,0.028,1.0,"{""0.1"": 0.0, ""0.2"": 0.0, ""0.25"": 0.0, ""0.33"": 1.0, ""0.4"": 1.0, ""0.5"": 1.0, ""0.6"": 1.0, ""0.67"": 1.0, ""0.75"": 2.0, ""0.8"": 2.0, ""0.9"": 3.0}",0,2,0.0728,pmf_raw,False,True,"{""0"": 0.2577, ""1"": 0.4558, ""2"": 0.1795, ""3"": 0.0431, ""4"": 0.0087, ""5"": 0.0102, ""6"": 0.0078, ""7"": 0.0076, ""8"": 0.0108, ""9"": 0.0093, ""10"": 0.0097}",-288,288,1,0.1001,-0.1001,-0.5,0.6422,0.3578
373,Jakob Poeltl,21681995,Cleveland Cavaliers @ Toronto Raptors,28,reb,UNDER,5.5,-125,112,-125,betparx,0.6177,0.6177,0.6177,pmf_cal,0.5408,0.0768,0.1118,0.021,5.0,"{""0.1"": 1.0, ""0.2"": 2.0, ""0.25"": 3.0, ""0.33"": 3.0, ""0.4"": 4.0, ""0.5"": 5.0, ""0.6"": 5.0, ""0.67"": 6.0, ""0.75"": 7.0, ""0.8"": 7.0, ""0.9"": 9.0}",0,1,0.0373,pmf_cal,True,False,"{""0"": 0.036, ""1"": 0.0656, ""2"": 0.1021, ""3"": 0.1327, ""4"": 0.1342, ""5"": 0.1472, ""6"": 0.1096, ""7"": 0.0932, ""8"": 0.0564, ""9"": 0.0412, ""10"": 0.0303, ""11"": 0.0163, ""12"": 0.0143, ""13"": 0.006, ""14"": 0.007, ""15"": 0.0029, ""16"": 0.0018, ""17"": 0.0011}",162,-162,5,-0.0769,0.0769,0.5,0.4592,0.5408
