date,book,player_key,player_name,player_id,team,opponent,stat,line,actual,result,model_p_over,model_p_under,model_p_push,model_result_prob,market_over_odds,market_under_odds,market_no_vig_over_prob,edge_over
2026-05-30,fanduel,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-108,-118,0.4896,-0.1875
2026-05-30,fanduel,89,Alex Caruso,89,OKC,SAS,reb,5.5,5.0,under,0.047200000000000006,0.9526,0.0,0.9526,420,-670,0.181,-0.13379999999999997
2026-05-30,betmgm,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-120,-110,0.5101,-0.20800000000000002
2026-05-30,betrivers,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-104,-132,0.4726,-0.17050000000000004
2026-05-30,draftkings,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-104,-126,0.4776,-0.17550000000000004
2026-05-30,bovada,89,Alex Caruso,89,OKC,SAS,reb,4.5,5.0,over,0.15390000000000004,0.8459,0.0,0.15390000000000004,200,-275,0.3125,-0.15859999999999996
2026-05-30,bovada,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-105,-125,0.4797,-0.17760000000000004
2026-05-30,bovada,89,Alex Caruso,89,OKC,SAS,reb,2.5,5.0,over,0.6333,0.3665,0.0,0.6333,-245,180,0.6654,-0.03210000000000002
2026-05-30,hardrockbet_az,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-110,-120,0.4899,-0.18780000000000002
2026-05-30,hardrockbet,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-110,-120,0.4899,-0.18780000000000002
2026-05-30,hardrockbet_fl,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-110,-120,0.4899,-0.18780000000000002
2026-05-30,rebet,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-106,-120,0.4854,-0.18330000000000002
2026-05-30,espnbet,89,Alex Caruso,89,OKC,SAS,reb,2.5,5.0,over,0.6333,0.3665,0.0,0.6333,-250,180,0.6667,-0.033399999999999985
2026-05-30,espnbet,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,-105,-125,0.4797,-0.17760000000000004
2026-05-30,espnbet,89,Alex Caruso,89,OKC,SAS,reb,4.5,5.0,over,0.15390000000000004,0.8459,0.0,0.15390000000000004,190,-260,0.3232,-0.16929999999999995
2026-05-30,betparx,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,100,-132,0.4677,-0.16560000000000002
2026-05-30,fliff,89,Alex Caruso,89,OKC,SAS,reb,3.5,5.0,over,0.3021,0.6977,0.0,0.3021,100,-140,0.4615,-0.15940000000000004
2026-05-30,betmgm,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-135,100,0.5347,-0.17149999999999987
2026-05-30,bovada,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-105,-125,0.4797,-0.11649999999999994
2026-05-30,betrivers,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-115,-118,0.497,-0.13379999999999992
2026-05-30,draftkings,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-105,-125,0.4797,-0.11649999999999994
2026-05-30,fanduel,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-113,-113,0.5,-0.13679999999999992
2026-05-30,hardrockbet_az,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-115,-115,0.5,-0.13679999999999992
2026-05-30,rebet,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-112,-114,0.4979,-0.13469999999999993
2026-05-30,hardrockbet_fl,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-115,-115,0.5,-0.13679999999999992
2026-05-30,betparx,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-114,-117,0.497,-0.13379999999999992
2026-05-30,espnbet,89,Alex Caruso,89,OKC,SAS,ast,1.5,4.0,over,0.6862,0.31379999999999997,0.0,0.6862,-375,250,0.7343,-0.04809999999999992
2026-05-30,espnbet,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-115,-115,0.5,-0.13679999999999992
2026-05-30,espnbet,89,Alex Caruso,89,OKC,SAS,ast,3.5,4.0,over,0.11929999999999999,0.8807,0.0,0.11929999999999999,200,-275,0.3125,-0.1932
2026-05-30,hardrockbet,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-115,-115,0.5,-0.13679999999999992
2026-05-30,fliff,89,Alex Caruso,89,OKC,SAS,ast,2.5,4.0,over,0.3632000000000001,0.6368,0.0,0.3632000000000001,-120,-125,0.4954,-0.13219999999999993
2026-05-30,williamhill_us,89,Alex Caruso,89,OKC,SAS,fg3m,1.5,1.0,under,0.19669999999999999,0.8033,0.0,0.8033,-185,130,0.5989,-0.4022
2026-05-30,fanduel,89,Alex Caruso,89,OKC,SAS,fg3m,2.5,1.0,under,0.0968,0.9032,0.0,0.9032,158,-205,0.3658,-0.269
2026-05-30,fanduel,89,Alex Caruso,89,OKC,SAS,fg3m,3.5,1.0,under,0.0,1.0,0.0,1.0,400,-650,0.1875,-0.1875
2026-05-30,fanduel,89,Alex Caruso,89,OKC,SAS,fg3m,2.5,1.0,under,0.0968,0.9032,0.0,0.9032,158,-215,0.3622,-0.2654
2026-05-30,fanduel,89,Alex Caruso,89,OKC,SAS,fg3m,1.5,1.0,under,0.19669999999999999,0.8033,0.0,0.8033,-198,146,0.6204,-0.42369999999999997
2026-05-30,betrivers,89,Alex Caruso,89,OKC,SAS,fg3m,1.5,1.0,under,0.19669999999999999,0.8033,0.0,0.8033,-195,140,0.6134,-0.41669999999999996
2026-05-30,betmgm,89,Alex Caruso,89,OKC,SAS,fg3m,2.5,1.0,under,0.0968,0.9032,0.0,0.9032,145,-200,0.3797,-0.2829
