role_bucket,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
bench,12,1.4495664526641152,0.026449950767536007,2.654343138689788,2.654343138689788,0.3812274835882552
core,24,2.855462044954313,0.10966526314899616,1.2980020309506655,4.645565212956207,0.14642708860264034
rotation,96,2.5505385428008194,0.07103447123013314,-0.8086390094882768,2.586040120876111,0.20653719504599755
starter,60,2.4022777488349525,0.0733069622361146,0.5599034523181238,2.6286434143894164,0.1606840647194171
