stat,n,nll_mean,rps_mean,mean_error,abs_mean_error,outcome_prob_assigned_mean
ast,15,2.037866939981644,0.06100520161595583,-0.47311739030231453,1.4593882961198679,0.1752304087567055
blk,15,0.8599942658847216,0.06365003399498996,0.00039046731349597167,0.48631759149817827,0.5487777772667498
fg3m,15,1.8020060012208818,0.17088947060427587,-0.18915851857355784,1.0883366869270825,0.21515892418463467
pa,15,3.476547941232036,0.0619796176211548,-1.6736274819634611,6.054049941185443,0.040986109791444444
pr,15,3.5504144637546,0.06134977959479857,-1.3120311909014137,6.900381597517451,0.03604730646159148
pra,15,3.6096034084611075,0.05826720171076855,-1.7851485812037642,7.073198711985734,0.036151945297567774
pts,15,3.337879120231499,0.07841927502990614,-1.2005100916611384,5.914935046763308,0.04336690919238662
ra,15,2.5077922521631,0.04347539129641855,-0.5846384895425965,2.390320112659853,0.11605785955676652
reb,15,2.2072190621753887,0.051863644559233965,-0.1115210992402688,1.882293309947651,0.14994130553365592
stl,15,1.7142449439432736,0.1480107303387535,-0.8095174964195372,1.1995142312425187,0.32325651687796614
stocks,15,1.746944198645007,0.08002707854621562,-0.8154365975495846,1.314106588215644,0.25033642112620375
tov,15,1.884709943719809,0.09203727136813497,-0.5408674884727175,1.1963203936302844,0.23163707076567167
