PLAYER_ID,PLAYER_NAME,GAME_DATE,HOME_GAME,REST_DAYS,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT,OPP_DEF_RATING,OPP_OFF_RATING,OPP_PACE,USAGE_RATE,GAMES_LAST_7,PTS_L3,PTS_L5,PTS_L7,PTS_L10,REB_L3,REB_L5,REB_L7,REB_L10,AST_L3,AST_L5,AST_L7,AST_L10,MIN_L3,MIN_L5,MIN_L7,MIN_L10,FG_PCT_L3,FG_PCT_L5,FG_PCT_L7,FG_PCT_L10,FG3_PCT_L3,FG3_PCT_L5,FG3_PCT_L7,FG3_PCT_L10,FT_PCT_L3,FT_PCT_L5,FT_PCT_L7,FT_PCT_L10
1015,Julius Randle,2024-01-19,1,1,35.1,20.6,9.7,5.9,2.9,0.5,4.0,0.486,0.319,0.842,110.4,116.8,101.9,26.6,4,21.400000000000002,23.0,24.08571428571429,23.23,5.866666666666666,6.44,5.942857142857143,6.33,5.933333333333334,6.08,5.785714285714286,5.140000000000001,33.36666666666667,33.540000000000006,32.65714285714286,32.61,0.48266666666666663,0.4948,0.49557142857142855,0.4829,0.35766666666666663,0.3588,0.35871428571428565,0.3537,0.7776666666666666,0.7856,0.7797142857142857,0.7542
1032,Player 1032,2023-11-14,0,2,33.2,24.0,7.0,0.0,1.7,0.8,3.2,0.485,0.369,0.768,112.3,108.2,97.4,27.5,3,21.766666666666666,21.42,19.714285714285715,20.05,6.366666666666667,5.119999999999999,4.457142857142857,5.1375,0.9,2.34,3.471428571428571,3.8,30.566666666666666,31.0,31.342857142857138,31.5875,0.463,0.4598,0.4625714285714286,0.47025,0.365,0.36679999999999996,0.39357142857142857,0.382375,0.789,0.7929999999999999,0.8051428571428572,0.79325
1016,Chris Paul,2024-01-28,0,1,24.4,9.2,1.0,4.7,2.3,0.7,2.9,0.487,0.361,0.676,108.4,108.2,99.6,14.5,3,9.866666666666669,12.54,11.757142857142858,12.400000000000002,1.5666666666666664,1.5,2.157142857142857,2.38,3.7999999999999994,5.0200000000000005,4.742857142857143,5.26,23.266666666666666,25.38,25.371428571428574,25.330000000000002,0.4746666666666666,0.4408,0.4574285714285714,0.43970000000000004,0.36833333333333335,0.36479999999999996,0.3805714285714285,0.3689,0.7206666666666667,0.7394000000000001,0.7345714285714287,0.7437
1013,Donovan Mitchell,2024-01-25,0,1,27.2,20.6,4.2,3.1,0.6,0.7,1.0,0.45,0.3,0.751,116.8,115.1,102.2,23.4,3,21.600000000000005,21.4,21.942857142857143,21.49,5.066666666666666,5.46,4.828571428571428,4.94,4.699999999999999,4.5600000000000005,4.485714285714286,4.64,29.866666666666674,31.020000000000003,31.58571428571429,32.510000000000005,0.426,0.46240000000000003,0.46485714285714286,0.47050000000000003,0.3196666666666667,0.313,0.30342857142857144,0.3081,0.82,0.795,0.7992857142857143,0.7958000000000001
1013,Donovan Mitchell,2023-12-14,0,1,32.6,15.1,6.4,6.4,1.1,0.6,4.3,0.401,0.184,0.93,116.6,117.5,99.5,20.4,4,17.533333333333335,20.68,21.214285714285715,20.31,4.133333333333334,5.06,5.6000000000000005,5.73,4.3,5.5,5.528571428571428,5.99,28.233333333333338,30.46,31.285714285714285,30.96,0.46433333333333326,0.45760000000000006,0.4635714285714286,0.46230000000000004,0.30633333333333335,0.30920000000000003,0.3265714285714286,0.3305,0.8243333333333333,0.8051999999999999,0.8184285714285714,0.8214
1029,Robert Williams,2024-02-12,1,1,26.8,15.8,13.7,0.2,0.9,1.3,2.5,0.556,0.265,0.876,113.9,116.4,100.3,19.4,3,12.733333333333334,12.2,9.471428571428572,10.459999999999999,12.033333333333333,12.280000000000001,12.528571428571428,11.419999999999998,1.7000000000000002,1.7799999999999998,1.8142857142857143,2.01,25.833333333333332,27.1,24.771428571428572,25.29,0.503,0.5268,0.5145714285714286,0.4908,0.25233333333333335,0.2346,0.25257142857142856,0.2484,0.7616666666666667,0.7116,0.7344285714285714,0.7344
1002,Stephen Curry,2024-02-27,0,1,33.4,30.1,9.8,9.3,0.5,0.2,2.2,0.552,0.318,0.856,116.5,115.1,102.4,19.9,3,24.099999999999998,23.9,25.571428571428573,25.809999999999995,10.233333333333333,9.98,9.685714285714285,9.82,8.0,9.459999999999999,10.299999999999999,9.47,34.599999999999994,33.98,33.771428571428565,33.97,0.46900000000000003,0.47759999999999997,0.4784285714285715,0.4718,0.321,0.315,0.3307142857142857,0.3468,0.8130000000000001,0.8214,0.8097142857142856,0.8065
1033,Player 1033,2024-02-09,0,1,34.3,21.5,3.0,7.1,1.6,1.2,3.0,0.351,0.368,0.772,113.2,113.2,98.2,19.8,3,17.833333333333336,16.7,16.542857142857144,16.85,3.4,2.5599999999999996,2.442857142857143,2.9,6.8,7.159999999999999,7.271428571428572,6.65,31.433333333333334,30.060000000000002,29.82857142857143,30.119999999999997,0.4663333333333333,0.46820000000000006,0.46414285714285713,0.4625,0.41733333333333333,0.3942,0.38471428571428573,0.3874,0.7716666666666668,0.7630000000000001,0.7785714285714286,0.8029999999999999
1030,Domantas Sabonis,2023-11-26,0,3,23.4,11.7,6.3,1.0,0.9,0.7,2.3,0.575,0.24,0.74,108.5,113.9,102.3,17.3,4,13.866666666666665,14.14,15.585714285714287,15.589999999999998,8.833333333333334,8.6,9.214285714285714,9.29,1.0666666666666667,1.1800000000000002,1.542857142857143,1.36,22.96666666666667,25.139999999999997,26.842857142857145,27.240000000000002,0.5766666666666667,0.5718,0.5457142857142857,0.5253,0.3276666666666666,0.32059999999999994,0.28485714285714286,0.2899,0.7079999999999999,0.6738,0.6874285714285714,0.6762
1031,Bam Adebayo,2024-01-31,1,1,21.8,4.7,7.9,1.4,1.3,0.4,2.5,0.58,0.23,0.771,113.8,114.8,101.0,13.2,3,12.700000000000003,13.66,12.814285714285715,13.16,9.633333333333335,8.760000000000002,9.542857142857143,8.760000000000002,1.933333333333333,1.98,2.1285714285714286,1.85,25.933333333333334,27.8,26.47142857142857,25.21,0.5763333333333334,0.5327999999999999,0.5358571428571428,0.5262,0.25333333333333335,0.27280000000000004,0.27042857142857146,0.2794,0.8260000000000001,0.8093999999999999,0.7675714285714286,0.7863
