team_id,def_rating,off_rating,pace
8,108.26431026924762,116.62782917656827,101.98352941176474
14,113.24918692891437,112.32964224872232,103.31199999999998
10,107.29042898437638,115.35937860220965,102.52545454545456
24,110.97593391539043,111.74269531968837,102.96210526315791
1,114.01679380934087,112.7362201123246,104.12
4,116.63781692292028,113.78678342327663,103.37894736842105
12,113.62996603299118,110.67427327490759,106.57399999999998
30,117.45820445558124,106.34861595082418,107.54105263157894
2,107.40102625566503,117.27967339600735,101.71047619047617
20,108.4618142703478,112.0473287916816,99.81684210526316
11,108.0277178531738,113.47540912161422,101.98000000000003
22,107.29355590924234,107.94129622089797,102.92190476190474
3,117.90886739290391,112.7940991726638,101.31090909090909
6,108.7421753785244,112.6210475629982,101.95090909090912
9,110.34470895830464,109.05463052153567,101.10608695652176
16,109.8582807489397,111.25478431778215,101.7578947368421
18,110.47472311539835,113.26589853519113,99.52000000000001
28,112.87350870152137,110.45641942427669,104.41523809523811
5,112.8156344089994,110.82993147015905,103.11809523809524
21,103.17619861292593,112.67464066740376,104.72631578947369
15,111.31725417439702,108.33554200901139,104.98782608695653
19,115.81504771118247,107.40512730310894,101.0711111111111
26,112.54559905439278,111.11903645886404,103.30315789473684
29,115.82603176841843,107.40792976394053,103.1327272727273
7,109.35150651227272,110.23022397531777,102.42200000000003
27,110.68937217890851,109.86869101354124,102.61052631578947
13,109.63935886019591,111.37083209656676,101.07
25,108.86813297177864,104.39891533594454,104.81052631578949
17,115.42206211663913,113.96163956771497,102.70999999999997
23,110.29913169977725,114.73155430285951,103.51529411764704
