game_id,player_id,player_name,team_id,team,min,pts,reb,ast,stl,blk,turnover,fgm,fga,fg_pct,fg3m,fg3a,fg3_pct,ftm,fta,ft_pct,oreb,dreb,pf
1037593,375,Michael Porter Jr.,8,Denver Nuggets,30,12,12,2,2,0,0,5,13,0.3846154,2,9,0.2222222,0,0,0.0,2,10,1
1037593,177,Aaron Gordon,8,Denver Nuggets,35,15,7,5,2,1,0,7,11,0.6363636,1,2,0.5,0,0,0.0,2,5,0
1037593,246,Nikola Jokic,8,Denver Nuggets,36,29,13,11,1,1,2,12,22,0.5454546,3,5,0.6,2,4,0.5,3,10,2
1037593,81,Kentavious Caldwell-Pope,8,Denver Nuggets,36,20,2,1,3,1,3,8,12,0.6666667,2,3,0.6666667,2,2,1.0,1,1,5
1037593,335,Jamal Murray,8,Denver Nuggets,34,21,2,6,0,1,1,8,13,0.6153846,3,5,0.6,2,2,1.0,0,2,3
1037593,38017709,Christian Braun,8,Denver Nuggets,19,5,3,2,0,1,1,2,5,0.4,0,1,0.0,1,2,0.5,1,2,1
1037593,38017727,Collin Gillespie,8,Denver Nuggets,01,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1037593,215,Justin Holiday,8,Denver Nuggets,00,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1037593,236,Reggie Jackson,8,Denver Nuggets,24,8,3,1,1,0,2,3,8,0.375,2,5,0.4,0,0,0.0,0,3,0
1037593,250,DeAndre Jordan,8,Denver Nuggets,00,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1037593,17896007,Braxton Key,8,Denver Nuggets,01,0,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0.0,0,0,0
1037593,3547268,Zeke Nnaji,8,Denver Nuggets,12,4,0,1,0,0,1,1,3,0.3333333,0,1,0.0,2,2,1.0,0,0,2
