player_id,player_name,game_id,game,team_id,stat,side,line,odds,over_odds,under_odds,bet_vendor,model_prob,model_prob_raw,model_prob_cal,cal_source,market_prob,raw_edge,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,min_ev_applied,cal_type,cal_applied,is_sparse,actual,result,profit,clv,clv_proxy,clv_is_true,grade_date
17895983,Ayo Dosunmu,18447933,Minnesota Timberwolves @ Detroit Pistons,18,reb,OVER,4.5,-122,-122,135,caesars,0.6314,0.7638,0.6314,global_side,0.5636,0.0679,0.149,0.045,5.89,"{'0.1': 2.58, '0.2': 3.97, '0.25': 4.7, '0.33': 4.74, '0.4': 5.7, '0.5': 5.89, '0.6': 6.48, '0.67': 6.89, '0.75': 7.2, '0.8': 8.64, '0.9': 8.65}",0,3,0.025,global,True,False,5.0,HIT,0.819672131147541,0.0729,0.0678,True,2026-04-02
3547299,Sam Merrill,18447935,Cleveland Cavaliers @ Golden State Warriors,6,reb,OVER,2.5,-125,-125,-110,betway,0.5897,0.7209,0.5897,global_side,0.5147,0.075,0.0614,0.019,3.73,"{'0.1': 1.6, '0.2': 2.42, '0.25': 2.46, '0.33': 2.58, '0.4': 3.13, '0.5': 3.73, '0.6': 4.64, '0.67': 5.1, '0.75': 5.35, '0.8': 6.0, '0.9': 6.48}",0,2,0.025,global,True,False,2.0,MISS,-1.0,0.075,0.075,False,2026-04-02
409,Dennis Schroder,18447935,Cleveland Cavaliers @ Golden State Warriors,6,ast,OVER,2.5,-145,-145,126,betway,0.6231,0.7555,0.6231,global_side,0.5722,0.0509,0.0529,0.019,3.42,"{'0.1': 1.46, '0.2': 2.2, '0.25': 2.54, '0.33': 2.75, '0.4': 3.18, '0.5': 3.42, '0.6': 3.96, '0.67': 4.2, '0.75': 4.82, '0.8': 5.53, '0.9': 6.41}",0,1,0.025,global,True,False,6.0,HIT,0.6896551724137931,0.0509,0.0509,False,2026-04-02
1028037477,Ajay Mitchell,18447934,Los Angeles Lakers @ Oklahoma City Thunder,21,ast,OVER,2.5,-120,-120,114,betmgm,0.561,0.6897,0.561,global_side,0.5386,0.0224,0.0284,0.009,3.25,"{'0.1': 1.26, '0.2': 1.85, '0.25': 1.96, '0.33': 2.68, '0.4': 3.1, '0.5': 3.25, '0.6': 3.79, '0.67': 3.95, '0.75': 4.8, '0.8': 5.28, '0.9': 5.85}",0,2,0.025,global,True,False,1.0,MISS,-1.0,0.0224,0.0224,False,2026-04-02
