player_id,player_name,game_id,game,team_id,stat,side,line,odds,bet_vendor,model_prob,market_prob,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,actual,result,profit,clv_proxy,clv,clv_is_true,grade_date
3547293,Naji Marshall,18447795,Dallas Mavericks @ Cleveland Cavaliers,7,blk,OVER,0.5,575,betmgm,0.3751,0.1383,1.532,0.067,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.1, '0.67': 0.54, '0.75': 0.99, '0.8': 1.1, '0.9': 1.32}",0,2,0.0,MISS,-1.0,0.2368,0.2368,False,2026-03-15
315,Khris Middleton,18447795,Dallas Mavericks @ Cleveland Cavaliers,7,blk,OVER,0.5,600,betway,0.3496,0.1327,1.4475,0.06,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.01, '0.67': 0.04, '0.75': 0.56, '0.8': 0.78, '0.9': 0.78}",0,2,0.0,MISS,-1.0,0.2169,0.2169,False,2026-03-15
38017507,Andrew Nembhard,18447797,Indiana Pacers @ Milwaukee Bucks,12,blk,OVER,0.5,550,betmgm,0.3483,0.1429,1.2637,0.057,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.01, '0.67': 0.07, '0.75': 0.53, '0.8': 0.65, '0.9': 0.84}",0,2,,NO_ACTION,0.0,,,False,2026-03-15
17896031,Nah'Shon Hyland,18447794,Minnesota Timberwolves @ Oklahoma City Thunder,18,blk,OVER,0.5,450,betway,0.3757,0.1681,1.0665,0.059,0.01,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.01, '0.6': 0.12, '0.67': 0.55, '0.75': 0.99, '0.8': 0.99, '0.9': 1.17}",0,0,2.0,HIT,4.5,0.2076,0.2076,False,2026-03-15
3547269,Immanuel Quickley,18447796,Detroit Pistons @ Toronto Raptors,28,blk,OVER,0.5,425,betway,0.3723,0.1788,0.9547,0.056,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.1, '0.67': 0.49, '0.75': 1.04, '0.8': 1.04, '0.9': 1.29}",0,3,0.0,MISS,-1.0,0.1935,0.1935,False,2026-03-15
409,Dennis Schroder,18447795,Dallas Mavericks @ Cleveland Cavaliers,6,blk,OVER,0.5,350,betway,0.3887,0.2059,0.7489,0.053,0.06,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.06, '0.6': 0.42, '0.67': 0.66, '0.75': 0.88, '0.8': 1.22, '0.9': 1.46}",0,2,0.0,MISS,-1.0,0.1828,0.1828,False,2026-03-15
73,Jalen Brunson,18447799,Golden State Warriors @ New York Knicks,20,blk,OVER,0.5,350,betway,0.376,0.2059,0.692,0.049,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.09, '0.67': 0.56, '0.75': 0.99, '0.8': 1.0, '0.9': 1.09}",0,3,1.0,HIT,3.5,0.1701,0.1701,False,2026-03-15
17895983,Ayo Dosunmu,18447794,Minnesota Timberwolves @ Oklahoma City Thunder,18,blk,OVER,0.5,350,betway,0.3633,0.2059,0.6348,0.045,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.06, '0.67': 0.4, '0.75': 0.68, '0.8': 0.94, '0.9': 0.94}",0,2,0.0,MISS,-1.0,0.1574,0.1574,False,2026-03-15
1028047928,Quinten Post,18447799,Golden State Warriors @ New York Knicks,10,fg3m,UNDER,1.5,130,betway,0.6866,0.4235,0.5793,0.111,0.18,"{'0.1': -0.0, '0.2': -0.0, '0.25': -0.0, '0.33': -0.0, '0.4': 0.11, '0.5': 0.18, '0.6': 0.32, '0.67': 0.48, '0.75': 0.79, '0.8': 1.05, '0.9': 1.34}",0,1,4.0,MISS,-1.0,-0.2631,-0.2631,False,2026-03-15
38017697,Max Christie,18447795,Dallas Mavericks @ Cleveland Cavaliers,7,blk,OVER,0.5,350,betway,0.3496,0.208,0.5734,0.041,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.01, '0.67': 0.13, '0.75': 0.55, '0.8': 0.8, '0.9': 0.84}",0,2,1.0,HIT,3.5,0.1416,0.1416,False,2026-03-15
3547242,Deni Avdija,18447798,Portland Trail Blazers @ Philadelphia 76ers,25,fg3m,UNDER,1.5,142,betmgm,0.6379,0.4047,0.5437,0.096,0.97,"{'0.1': 0.0, '0.2': 0.05, '0.25': 0.23, '0.33': 0.65, '0.4': 0.85, '0.5': 0.97, '0.6': 0.97, '0.67': 0.97, '0.75': 1.15, '0.8': 1.15, '0.9': 1.8}",0,2,2.0,MISS,-1.0,-0.2332,-0.2332,False,2026-03-15
1028029111,Ja'Kobe Walter,18447796,Detroit Pistons @ Toronto Raptors,28,blk,OVER,0.5,350,betway,0.3374,0.2059,0.5181,0.037,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.0, '0.67': 0.03, '0.75': 0.25, '0.8': 0.7, '0.9': 0.82}",0,1,0.0,MISS,-1.0,0.1315,0.1315,False,2026-03-15
373,Jakob Poeltl,18447796,Detroit Pistons @ Toronto Raptors,28,blk,UNDER,0.5,155,betmgm,0.5882,0.3632,0.5,0.081,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.0, '0.67': 0.2, '0.75': 0.46, '0.8': 0.78, '0.9': 1.89}",0,2,1.0,MISS,-1.0,-0.225,-0.225,False,2026-03-15
56677833,Cason Wallace,18447794,Minnesota Timberwolves @ Oklahoma City Thunder,21,blk,OVER,0.5,280,betmgm,0.3947,0.2434,0.4997,0.045,0.03,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.03, '0.6': 0.48, '0.67': 0.72, '0.75': 1.1, '0.8': 1.1, '0.9': 1.63}",0,3,2.0,HIT,2.8,0.1513,0.1513,False,2026-03-15
1028214238,Justin Edwards,18447798,Portland Trail Blazers @ Philadelphia 76ers,23,ast,UNDER,2.5,120,betway,0.67,0.422,0.474,0.099,0.83,"{'0.1': 0.08, '0.2': 0.34, '0.25': 0.34, '0.33': 0.71, '0.4': 0.71, '0.5': 0.83, '0.6': 1.08, '0.67': 1.15, '0.75': 1.39, '0.8': 1.69, '0.9': 2.37}",0,1,2.0,HIT,1.2000000000000002,-0.248,-0.248,False,2026-03-15
89,Alex Caruso,18447794,Minnesota Timberwolves @ Oklahoma City Thunder,21,reb,UNDER,2.5,132,betway,0.6273,0.4369,0.4554,0.086,0.9,"{'0.1': 0.12, '0.2': 0.26, '0.25': 0.26, '0.33': 0.32, '0.4': 0.66, '0.5': 0.9, '0.6': 0.9, '0.67': 1.14, '0.75': 1.48, '0.8': 1.78, '0.9': 3.97}",0,1,2.0,HIT,1.3200000000000003,-0.1904,-0.1904,False,2026-03-15
24,Marvin Bagley III,18447795,Dallas Mavericks @ Cleveland Cavaliers,7,blk,UNDER,0.5,130,betway,0.6181,0.4085,0.4215,0.081,0.1,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.03, '0.5': 0.1, '0.6': 0.16, '0.67': 0.18, '0.75': 0.41, '0.8': 0.41, '0.9': 1.0}",0,2,1.0,MISS,-1.0,-0.2096,-0.2096,False,2026-03-15
3547242,Deni Avdija,18447798,Portland Trail Blazers @ Philadelphia 76ers,25,reb,UNDER,6.5,102,fanduel,0.7028,0.4777,0.4196,0.103,3.8,"{'0.1': 2.39, '0.2': 2.7, '0.25': 3.13, '0.33': 3.33, '0.4': 3.8, '0.5': 3.8, '0.6': 4.51, '0.67': 4.58, '0.75': 5.48, '0.8': 5.6, '0.9': 6.06}",0,2,6.0,HIT,1.02,0.2251,0.2775,True,2026-03-15
56677842,Brice Sensabaugh,18447800,Utah Jazz @ Sacramento Kings,29,blk,OVER,0.5,275,betway,0.3772,0.25,0.4144,0.038,0.01,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.01, '0.6': 0.15, '0.67': 0.58, '0.75': 1.11, '0.8': 1.17, '0.9': 1.2}",0,2,0.0,MISS,-1.0,0.1272,0.1272,False,2026-03-15
38017714,Keon Ellis,18447795,Dallas Mavericks @ Cleveland Cavaliers,6,fg3m,UNDER,1.5,148,draftkings,0.5703,0.3884,0.4143,0.07,0.86,"{'0.1': -0.01, '0.2': 0.02, '0.25': 0.02, '0.33': 0.48, '0.4': 0.86, '0.5': 0.86, '0.6': 1.17, '0.67': 1.4, '0.75': 1.55, '0.8': 1.55, '0.9': 1.57}",0,2,1.0,HIT,1.48,-0.1819,-0.1819,False,2026-03-15
192,James Harden,18447795,Dallas Mavericks @ Cleveland Cavaliers,6,ast,UNDER,7.5,108,draftkings,0.6793,0.4564,0.4129,0.096,4.13,"{'0.1': 1.45, '0.2': 2.31, '0.25': 2.66, '0.33': 3.08, '0.4': 3.19, '0.5': 4.13, '0.6': 4.54, '0.67': 5.24, '0.75': 5.67, '0.8': 5.82, '0.9': 7.03}",0,3,7.0,HIT,1.08,-0.2229,-0.2229,False,2026-03-15
17896078,Aaron Wiggins,18447794,Minnesota Timberwolves @ Oklahoma City Thunder,21,fg3m,OVER,1.0,200,fanduel,0.4695,0.4444,0.4086,0.051,1.14,"{'0.1': 0.0, '0.2': 0.04, '0.25': 0.33, '0.33': 0.73, '0.4': 1.03, '0.5': 1.14, '0.6': 1.14, '0.67': 1.14, '0.75': 1.44, '0.8': 1.44, '0.9': 2.44}",0,2,0.0,MISS,-1.0,0.0251,0.0251,False,2026-03-15
