player_id,player_name,game_id,game,team_id,stat,side,line,odds,bet_vendor,model_prob,market_prob,ev,kelly_units,q50,q_preds,usage_bucket,mp_bucket,actual,result,profit,clv_proxy,grade_date
666679,Cameron Johnson,18447751,Denver Nuggets @ Oklahoma City Thunder,8,pts,OVER,9.5,-123,draftkings,0.6135,0.5245,0.1123,0.035,10.8,"{'0.1': 3.54, '0.2': 6.22, '0.25': 7.15, '0.33': 7.98, '0.4': 9.86, '0.5': 10.8, '0.6': 12.46, '0.67': 13.6, '0.75': 14.56, '0.8': 16.38, '0.9': 18.24}",0,3,6.0,MISS,-1.0,0.089,2026-03-09
1057260888,Airious Bailey,18447752,Golden State Warriors @ Utah Jazz,29,stl,UNDER,0.5,165,betway,0.4173,0.3484,0.1058,0.016,0.95,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.05, '0.4': 0.41, '0.5': 0.95, '0.6': 1.0, '0.67': 1.09, '0.75': 1.71, '0.8': 2.0, '0.9': 2.04}",0,3,,NO_ACTION,0.0,,2026-03-09
73,Jalen Brunson,18447753,New York Knicks @ LA Clippers,20,blk,UNDER,0.5,-650,betmgm,0.9574,0.8046,0.1047,0.17,0.0,"{'0.1': 0.0, '0.2': 0.0, '0.25': 0.0, '0.33': 0.0, '0.4': 0.0, '0.5': 0.0, '0.6': 0.03, '0.67': 0.03, '0.75': 0.21, '0.8': 0.25, '0.9': 0.41}",0,3,0.0,HIT,0.15384615384615374,-0.1528,2026-03-09
175,Shai Gilgeous-Alexander,18447751,Denver Nuggets @ Oklahoma City Thunder,21,ast,UNDER,6.5,114,betway,0.5157,0.4526,0.1035,0.023,6.24,"{'0.1': 3.35, '0.2': 4.25, '0.25': 4.38, '0.33': 4.92, '0.4': 5.39, '0.5': 6.24, '0.6': 7.92, '0.67': 8.38, '0.75': 9.04, '0.8': 9.34, '0.9': 10.37}",0,3,15.0,MISS,-1.0,-0.0631,2026-03-09
246,Nikola Jokic,18447751,Denver Nuggets @ Oklahoma City Thunder,8,ast,UNDER,9.5,-115,betmgm,0.5902,0.5169,0.1033,0.03,8.9,"{'0.1': 4.42, '0.2': 5.49, '0.25': 6.04, '0.33': 6.82, '0.4': 7.8, '0.5': 8.9, '0.6': 9.57, '0.67': 10.71, '0.75': 11.8, '0.8': 12.41, '0.9': 13.56}",0,3,13.0,MISS,-1.0,-0.0733,2026-03-09
1028039105,Jaylen Wells,18447750,Memphis Grizzlies @ Brooklyn Nets,15,ast,UNDER,1.5,125,betmgm,0.4883,0.4165,0.0987,0.02,1.56,"{'0.1': 0.02, '0.2': 0.4, '0.25': 0.95, '0.33': 0.99, '0.4': 1.05, '0.5': 1.56, '0.6': 2.0, '0.67': 2.37, '0.75': 2.7, '0.8': 2.87, '0.9': 3.44}",0,2,2.0,MISS,-1.0,-0.0718,2026-03-09
56677858,Brandin Podziemski,18447752,Golden State Warriors @ Utah Jazz,10,reb,OVER,6.5,-115,fanatics,0.5869,0.5169,0.0973,0.028,6.9,"{'0.1': 3.87, '0.2': 4.95, '0.25': 5.56, '0.33': 6.07, '0.4': 6.44, '0.5': 6.9, '0.6': 7.9, '0.67': 8.65, '0.75': 9.21, '0.8': 9.48, '0.9': 10.1}",0,3,8.0,HIT,0.8695652173913042,0.07,2026-03-09
61,Mikal Bridges,18447753,New York Knicks @ LA Clippers,20,pts,UNDER,14.5,-127,betmgm,0.6124,0.5281,0.0947,0.03,12.01,"{'0.1': 4.54, '0.2': 7.55, '0.25': 8.83, '0.33': 9.32, '0.4': 10.81, '0.5': 12.01, '0.6': 14.39, '0.67': 14.99, '0.75': 16.53, '0.8': 17.53, '0.9': 18.77}",0,3,7.0,HIT,0.7874015748031495,-0.0843,2026-03-09
1028029291,Cody Williams,18447752,Golden State Warriors @ Utah Jazz,29,ast,OVER,1.5,-130,betmgm,0.6173,0.5306,0.0922,0.03,2.3,"{'0.1': 0.07, '0.2': 1.11, '0.25': 1.19, '0.33': 1.41, '0.4': 1.53, '0.5': 2.3, '0.6': 2.34, '0.67': 2.68, '0.75': 3.21, '0.8': 3.58, '0.9': 4.02}",0,2,7.0,HIT,0.7692307692307692,0.0867,2026-03-09
38017706,Jaylin Williams,18447751,Denver Nuggets @ Oklahoma City Thunder,21,pts,UNDER,10.5,-127,fanduel,0.6081,0.5281,0.0868,0.028,9.57,"{'0.1': 3.51, '0.2': 5.32, '0.25': 6.51, '0.33': 7.9, '0.4': 9.29, '0.5': 9.57, '0.6': 10.32, '0.67': 11.88, '0.75': 13.35, '0.8': 13.61, '0.9': 15.82}",0,2,29.0,MISS,-1.0,-0.08,2026-03-09
18,OG Anunoby,18447753,New York Knicks @ LA Clippers,20,stl,UNDER,1.5,-128,betway,0.6098,0.5351,0.0862,0.028,1.01,"{'0.1': 0.0, '0.2': 0.19, '0.25': 0.46, '0.33': 1.0, '0.4': 1.01, '0.5': 1.01, '0.6': 1.47, '0.67': 1.7, '0.75': 1.7, '0.8': 1.86, '0.9': 2.87}",0,3,2.0,MISS,-1.0,-0.0747,2026-03-09
69,Bruce Brown,18447751,Denver Nuggets @ Oklahoma City Thunder,8,pts,OVER,7.5,-103,draftkings,0.5505,0.4878,0.0849,0.022,8.59,"{'0.1': 2.15, '0.2': 4.1, '0.25': 4.45, '0.33': 5.78, '0.4': 6.44, '0.5': 8.59, '0.6': 8.89, '0.67': 10.41, '0.75': 10.41, '0.8': 11.16, '0.9': 13.43}",0,2,4.0,MISS,-1.0,0.0627,2026-03-09
313,De'Anthony Melton,18447752,Golden State Warriors @ Utah Jazz,10,stl,UNDER,1.5,-135,draftkings,0.6232,0.5408,0.0848,0.029,1.05,"{'0.1': 0.03, '0.2': 0.03, '0.25': 0.11, '0.33': 0.68, '0.4': 0.92, '0.5': 1.05, '0.6': 1.28, '0.67': 1.95, '0.75': 2.08, '0.8': 2.19, '0.9': 3.14}",0,2,2.0,MISS,-1.0,-0.0824,2026-03-09
185,Draymond Green,18447752,Golden State Warriors @ Utah Jazz,10,pts,OVER,9.5,-103,draftkings,0.5503,0.4899,0.0845,0.022,9.82,"{'0.1': 3.97, '0.2': 6.63, '0.25': 7.3, '0.33': 7.72, '0.4': 9.18, '0.5': 9.82, '0.6': 11.08, '0.67': 12.28, '0.75': 13.17, '0.8': 14.92, '0.9': 16.79}",0,2,6.0,MISS,-1.0,0.0604,2026-03-09
