player_id,player_name,game_id,stat,side,line,actual,p_realized,model_prob_side,market_prob_side,model_brier,market_brier,model_logloss,market_logloss
17896059,Sandro Mamukelashvili,21682000,reb,OVER,3.5,0,0.0423,0.6268,0.4348,0.39287824000000005,0.18905104,0.9856408100089483,0.5705756281717648
1028240128,Daniss Jenkins,21684819,ast,UNDER,2.5,5,0.0316,0.7327,0.5848,0.53684929,0.34199103999999997,1.3193836558372638,0.8789949471304581
1028240128,Daniss Jenkins,21684819,fg3m,OVER,0.5,4,0.0,0.6116,0.4951,0.15085455999999997,0.25492401000000003,0.49167680492722976,0.7029955166147597
1028240128,Daniss Jenkins,21684819,stl,UNDER,0.5,0,0.6475,0.6475,0.5438,0.12425625000000003,0.20811844000000004,0.4346364854084443,0.6091737467837668
56677826,Ausar Thompson,21684819,blk,OVER,1.5,2,0.1777,0.6247,0.4424,0.14085008999999998,0.31091776,0.47048374448261276,0.815540828774012
56677827,Anthony Black,21684819,pts,UNDER,11.5,11,0.0554,0.6896,0.5169,0.09634816,0.23338560999999997,0.3716435596326537,0.6599058467801434
56677827,Anthony Black,21684819,blk,UNDER,0.5,0,0.6348,0.6348,0.512,0.13337103999999997,0.238144,0.454445290329883,0.6694306539426292
3547267,Isaiah Stewart,21684819,reb,OVER,3.5,1,0.0825,0.6166,0.4228,0.38019556000000004,0.17875984,0.9586764483705931,0.5495664520824214
38017734,Jamal Cain,21684819,reb,UNDER,3.5,4,0.1017,0.7541,0.5573,0.56866681,0.31058329,1.4028303297599902,0.8148629392440417
200,Tobias Harris,21684819,pts,UNDER,17.5,30,0.0057,0.6731,0.4831,0.45306361000000006,0.23338560999999997,1.1181009652519722,0.6599058467801434
200,Tobias Harris,21684819,fg3m,UNDER,1.5,5,0.0,0.7066,0.6108,0.49928356,0.37307664,1.2262184132732556,0.9436619286702871
200,Tobias Harris,21684819,stl,UNDER,1.5,3,0.0336,0.7862,0.6409,0.61811044,0.41075281,1.5427142803911922,1.0241543777500999
200,Tobias Harris,21684819,blk,OVER,0.5,1,0.3341,0.6474,0.4675,0.12432676000000002,0.28355624999999995,0.4347909374899931,0.7603559302533953
17896073,Jalen Suggs,21684819,ast,UNDER,4.5,4,0.172,0.5753,0.4409,0.18037008999999998,0.31259280999999994,0.5528636351128893,0.8189371866182451
17896073,Jalen Suggs,21684819,fg3m,UNDER,2.5,0,0.1334,0.667,0.5961,0.11088899999999997,0.16313521000000003,0.4049652330665133,0.5173468407562563
17896073,Jalen Suggs,21684819,blk,UNDER,0.5,2,0.0964,0.6208,0.4264,0.38539264,0.18181696,0.9696915086012704,0.5558229896967265
17896075,Cade Cunningham,21684819,pts,UNDER,28.5,32,0.0326,0.6747,0.4898,0.45522008999999997,0.23990404,1.1230074455028312,0.6729524732744261
17896075,Cade Cunningham,21684819,reb,OVER,5.5,1,0.0301,0.6657,0.5361,0.44315648999999996,0.28740321,1.095716485556084,0.7680862672244391
17896075,Cade Cunningham,21684819,ast,UNDER,8.5,12,0.0527,0.6209,0.4989,0.38551681,0.24890121,0.9699552564598479,0.6909495970164581
