stat,role_bucket,reason,held_date,raw_ll,new_ll,raw_br,new_br,method
ast,bench,insufficient_rows_or_no_dates,,,,,,
ast,core,rollback_fold_worse,2026-05-06,0.660808754925888,0.6849557910743194,0.23443218888888892,0.24592471225772577,platt
ast,core,rollback_fold_worse,2026-05-06,0.660808754925888,0.6795821017650023,0.23443218888888892,0.24377680378391517,line_aware
ast,core,rollback_fold_worse,2026-05-06,0.660808754925888,0.6712043052253138,0.23443218888888892,0.24352131898779203,isotonic
ast,fringe,insufficient_rows_or_no_dates,,,,,,
ast,inactive_risk,insufficient_rows_or_no_dates,,,,,,
ast,rotation,rollback_fold_worse,2026-05-12,0.7677910724823243,1.3185243347586355,0.2862398074074074,0.5335059643325232,platt
ast,rotation,rollback_fold_worse,2026-05-12,0.7677910724823243,1.7800349918767693,0.2862398074074074,0.6786176784998692,line_aware
ast,rotation,rollback_fold_worse,2026-05-07,0.8898078562457753,1.729047640268905,0.33529260185185183,0.288197512224744,isotonic
ast,starter,rollback_fold_worse,2026-05-06,0.6592512814464178,0.7440375673724229,0.23498468287037033,0.26682908270496436,platt
ast,starter,rollback_fold_worse,2026-05-06,0.6592512814464178,0.8384267969922697,0.23498468287037033,0.2952798005574925,line_aware
ast,starter,rollback_fold_worse,2026-05-06,0.6592512814464178,1.595196972552915,0.23498468287037033,0.28622192286894543,isotonic
blk,core,small_fold,2026-05-06,,,,,
blk,core,small_fold,2026-05-06,,,,,
blk,core,small_fold,2026-05-06,,,,,
blk,fringe,insufficient_rows_or_no_dates,,,,,,
blk,rotation,insufficient_rows_or_no_dates,,,,,,
blk,starter,insufficient_rows_or_no_dates,,,,,,
fg3m,bench,insufficient_rows_or_no_dates,,,,,,
fg3m,core,rollback_fold_worse,2026-05-06,0.6601476313057035,0.6785014299430098,0.2294463603200393,0.2362225009313751,platt
fg3m,core,rollback_fold_worse,2026-05-06,0.6601476313057035,0.7028741953533216,0.2294463603200393,0.24673273819597868,line_aware
fg3m,core,rollback_fold_worse,2026-05-06,0.6601476313057035,0.9678233812866093,0.2294463603200393,0.2533264930051387,isotonic
