date,game_id,event_id,snapshot_type,snapshot_time_utc,home_team,away_team,bookmaker_key,player_id,player_name,stat,line,side,role_bucket,pmf_kind,pmf_col_used,is_alternate,model_pmf_raw,model_pmf,model_mean,model_variance,pmf_mean_raw,pmf_mean_repaired,pmf_mean_shift_delta_or_gamma,pmf_mean_shift_repair_applied,pmf_mean_shift_repair_scope,pmf_mean_shift_repair_method,pmf_mean_shift_repair_version,pmf_mean_shift_row_rollback_reason,model_prob_over_raw,model_prob_over_after_pmf_mean_shift,model_prob_over_calibrated,model_prob_over_active,probability_scale_repair_scope,probability_scale_repair_method,probability_scale_repair_version,model_prob_over,model_prob_under,model_probability_for_side,market_prob_over_no_vig,market_prob_under_no_vig,market_probability_for_side,over_odds_american,under_odds_american,actual,hit_result,closing_line_result,settled,model_event_logloss,market_event_logloss,event_logloss_delta,model_brier,market_brier,brier_delta,model_nll,model_rps,walk_forward_only,same_sample_predictions_used,join_status,join_blockers,scoring_blocker,model_prob_over_pre_event_calibration,event_calibration_applied,event_calibration_version,event_calibration_stage,event_calibration_source,event_calibration_segment,market_pmf_used,market_prob_used_as_training_label,m8_6q_schema_version,m8_6q_delta_sign_convention,injury_status_current,official_lineup_status,expected_lineup_status,projected_minutes,minutes_q10,minutes_q50,minutes_q90,p_inactive,p_starter,usage_projection,opponent_def_rating_recent,expected_steal_opportunities,cov_pts_reb_player,cov_pts_ast_player,cov_reb_ast_player,combo_covariance_sample_size,odds_snapshot_family,odds_snapshot_path,odds_snapshot_type,odds_snapshot_substr_used,odds_snapshot_rank,odds_snapshot_is_historical,odds_snapshot_lock_offset_minutes
2026-05-03,21682000.0,a463f640631f8b0580966b909965de14,historical_lock_minus_5m,2026-05-03T23:35:00Z,Cleveland Cavaliers,Toronto Raptors,hardrockbet_az,9.0,Jarrett Allen,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.606245756958588,0.3937542430414121,0.606245756958588,-190.0,135.0,5.0,1.0,,True,18.210163737696067,0.5004698355861311,17.709693902109937,0.9999999753136791,0.15504240391311538,0.8449575714005637,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,12.48556386106694,27.177156564671158,33.420101013422794,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-03/odds_pairs_hist_lockday_2026-05-03.parquet,hist_lockday,auto,1,True,5.0
2026-04-27,21684800.0,846b0e9b691b5a291619fa22f96c7dfa,historical_lock_minus_5m,2026-04-28T00:05:00Z,Orlando Magic,Detroit Pistons,hardrockbet,38017694.0,Jalen Duren,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.606245756958588,0.3937542430414121,0.606245756958588,-190.0,135.0,2.0,1.0,,True,18.210163737696067,0.5004698355861311,17.709693902109937,0.9999999753136791,0.15504240391311538,0.8449575714005637,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,15.628531173495151,29.175391994960655,34.819891098501486,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-27/odds_pairs_hist_lockday_2026-04-27.parquet,hist_lockday,auto,1,True,5.0
2026-05-03,21682000.0,a463f640631f8b0580966b909965de14,historical_lock_minus_5m,2026-05-03T23:35:00Z,Cleveland Cavaliers,Toronto Raptors,hardrockbet,9.0,Jarrett Allen,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.606245756958588,0.3937542430414121,0.606245756958588,-190.0,135.0,5.0,1.0,,True,18.210163737696067,0.5004698355861311,17.709693902109937,0.9999999753136791,0.15504240391311538,0.8449575714005637,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,12.48556386106694,27.177156564671158,33.420101013422794,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-03/odds_pairs_hist_lockday_2026-05-03.parquet,hist_lockday,auto,1,True,5.0
2026-05-03,21684819.0,be60e6f50fc77fc3a3cf6925472bad91,historical_lock_minus_5m,2026-05-03T19:35:00Z,Detroit Pistons,Orlando Magic,betparx,56677827.0,Anthony Black,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.5996568487274806,0.40034315127251924,0.5996568487274806,-180.0,133.0,5.0,1.0,,True,18.210163737696067,0.5113977061614561,17.69876603153461,0.9999999753136791,0.16027463877081136,0.8397253365428677,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,10.57780646461611,25.857188827507066,34.262029838727074,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-03/odds_pairs_hist_lockday_2026-05-03.parquet,hist_lockday,auto,1,True,5.0
2026-04-27,21684800.0,846b0e9b691b5a291619fa22f96c7dfa,historical_lock_minus_5m,2026-04-28T00:05:00Z,Orlando Magic,Detroit Pistons,draftkings,56677826.0,Ausar Thompson,stocks,2.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.5971729393287185,0.40282706067128143,0.5971729393287185,-177.0,132.0,3.0,1.0,,True,18.210163737696067,0.5155485269212451,17.694615210774824,0.9999999753136791,0.1622696408090643,0.8377303345046148,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,14.950015775243234,27.463749207239495,33.54808017435238,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-27/odds_pairs_hist_lockday_2026-04-27.parquet,hist_lockday,auto,1,True,5.0
2026-04-30,21681994.0,b981ac0f551b6f109cd18fa31de439b4,historical_lock_minus_5m,2026-05-01T01:35:00Z,Minnesota Timberwolves,Denver Nuggets,betparx,3547259.0,Jaden McDaniels,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.5919881305637983,0.40801186943620177,0.5919881305637983,-175.0,128.0,3.0,1.0,,True,18.210163737696067,0.5242686940224435,17.685895043673625,0.9999999753136791,0.16647368560082412,0.833526289712855,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,14.555952699090678,31.867008874782705,37.881618762875135,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-30/odds_pairs_hist_lockday_2026-04-30.parquet,hist_lockday,auto,1,True,5.0
2026-05-03,21682000.0,a463f640631f8b0580966b909965de14,historical_lock_minus_5m,2026-05-03T23:35:00Z,Cleveland Cavaliers,Toronto Raptors,draftkings,9.0,Jarrett Allen,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.5845974329054843,0.41540256709451573,0.5845974329054843,-167.0,125.0,5.0,1.0,,True,18.210163737696067,0.536831817512915,17.673331920183152,0.9999999753136791,0.17255929274871365,0.8274406825649655,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,12.48556386106694,27.177156564671158,33.420101013422794,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-03/odds_pairs_hist_lockday_2026-05-03.parquet,hist_lockday,auto,1,True,5.0
2026-05-05,21708299.0,689b4554b0b10e67f46872eb2e74b98d,historical_lock_minus_5m,2026-05-06T00:35:00Z,Oklahoma City Thunder,Los Angeles Lakers,betparx,38017685.0,Chet Holmgren,stocks,2.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.5813255391421123,0.4186744608578877,0.5813255391421123,-165.0,123.0,4.0,1.0,,True,18.210163737696067,0.5424443707102293,17.66771936698584,0.9999999753136791,0.17528830417464297,0.8247116711390361,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,13.02802849289376,28.76092082419906,34.980831641897126,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-05/odds_pairs_hist_lockday_2026-05-05.parquet,hist_lockday,auto,1,True,5.0
2026-04-30,21681992.0,24992ea72a9115eaa601ff602cc60468,historical_lock_minus_5m,2026-04-30T23:05:00Z,Atlanta Hawks,New York Knicks,draftkings,3547244.0,Onyeka Okongwu,stocks,1.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.580766054754494,0.41923394524550595,0.580766054754494,-164.0,123.0,2.0,1.0,,True,18.210163737696067,0.5434072628502025,17.666756474845865,0.9999999753136791,0.17575710084611187,0.8242428744675673,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,13.847343622419686,30.87261480384761,36.96634449156301,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-04-30/odds_pairs_hist_lockday_2026-04-30.parquet,hist_lockday,auto,1,True,5.0
2026-05-04,21707972.0,219920e3a715ceb3dc69f3638f7571d5,historical_lock_minus_5m,2026-05-05T01:35:00Z,San Antonio Spurs,Minnesota Timberwolves,betparx,56677822.0,Victor Wembanyama,stocks,4.5,OVER,core,oof_single,pmf,False,"{""0"": 1.0}","{""0"": 1.0}",0.0,0.0,0.0,0.0,,False,,,,,0.0,0.0,1.2343160441386953e-08,1.2343160441386953e-08,stocks|core,logit_ab,1.0,1.2343160441386953e-08,0.9999999876568395,1.2343160441386953e-08,0.5763260025873221,0.42367399741267786,0.5763260025873221,-162.0,120.0,12.0,1.0,,True,18.210163737696067,0.551081801676558,17.65908193601951,0.9999999753136791,0.17949965608363777,0.8205003192300413,,1.0,True,False,matched,,,0.0,False,guarded_line_iso_platt_v1,oof_date_holdout_one_fold_per_date,guarded_oof_actuals_only,,False,False,v2,model_minus_market_negative_better,,,,,11.456037703253195,27.10590421873306,34.44726787322115,0.050000000000000044,,,,,,,,,hist_lockday,data/odds_api/processed/2026-05-04/odds_pairs_hist_lockday_2026-05-04.parquet,hist_lockday,auto,1,True,5.0
