book,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
betmgm,223,68,68,1,14,1,0.22353703805839287,0.2501913661635815,0.6373680371344779,0.6935764320420542,2.745657867091743,,covered,unknown,,True,-0.02665432810518864,-0.05620839490757634,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
betonlineag,79,36,36,1,14,1,0.24587710877584945,0.2612368184322056,0.6835293490824329,0.715771433711018,2.797536198119221,,covered,unknown,,True,-0.015359709656356135,-0.03224208462858513,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
betrivers,192,65,65,1,14,1,0.2436345182067878,0.25339263494190306,0.6791726957387599,0.6999687733858531,3.6515766267637013,,covered,unknown,,True,-0.009758116735115258,-0.020796077647093125,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
bovada,875,290,290,1,14,1,0.226412621262312,0.25889503979266515,0.6427141972555187,0.7117753351178245,3.1163519609414836,,covered,unknown,,True,-0.032482418530353135,-0.06906113786230583,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
draftkings,321,91,91,1,14,1,0.2256445122446285,0.25291253351842546,0.6420812239726047,0.6989944381744094,2.4337311061226874,,covered,unknown,,True,-0.02726802127379696,-0.05691321420180473,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
fanatics,10,4,4,1,5,1,0.251110562627109,0.24763814933066847,0.6953768114515764,0.6881662749135882,1.8045875484291303,,covered,unknown,insufficient_scored_rows,False,0.0034724132964405463,0.007210536537988199,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fanduel,1667,615,615,1,14,1,0.193104639712097,0.22903340560213514,0.5702059839714658,0.6500165633041309,3.3287238791775917,,covered,unknown,,True,-0.035928765890038156,-0.07981057933266511,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
williamhill_us,95,17,17,1,14,1,0.24752452955364318,0.2650535891791321,0.6872130953681247,0.7233828511882192,2.764646739223314,,covered,unknown,,True,-0.017529059625488896,-0.03616975582009452,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
