stat,n_rows,n_scored,n_market_joined,n_books,n_players,n_games,model_brier_avg,market_brier_avg,model_logloss_avg,market_logloss_avg,model_rps_avg,market_rps_avg,market_coverage_status,availability_freshness_status,failure_reason,market_superiority_pass,brier_delta_model_minus_market,logloss_delta_model_minus_market,rps_delta_model_minus_market,rps_status,model_beats_market_brier,model_beats_market_logloss,model_beats_market_rps,calibration_pass,model_ece,market_ece,model_calibration_slope,model_calibration_intercept,market_calibration_slope,market_calibration_intercept,pit_ks,mean_error,variance_error,p0_error,model_better_calibrated
ast,228,16,16,8,14,1,0.31942275933468733,0.26909978441580895,0.8403519723075379,0.7303979242770369,1.017425416167253,,covered,unknown,model_logloss_not_better,False,0.05032297491887838,0.10995404803050102,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
blk,70,11,11,4,11,1,0.2575888865125441,0.2444556411917502,0.7282097507645529,0.6828810622957688,0.5925266917785742,,covered,unknown,model_logloss_not_better,False,0.01313324532079388,0.04532868846878402,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
fg3m,245,26,26,8,13,1,0.28640753490850435,0.2536585336443346,0.7624082486487974,0.6969139020111002,0.4274805501971998,,covered,unknown,model_logloss_not_better,False,0.03274900126416974,0.06549434663769726,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
pa,373,154,154,4,14,1,0.2329757312987013,0.27080989929697197,0.6597008493518771,0.7412290365034802,4.098336799675327,,covered,unknown,,True,-0.03783416799827066,-0.08152818715160304,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
pr,502,246,246,4,14,1,0.19105142381097556,0.21743156136636452,0.5652426917365,0.6237467562986514,3.306456131859756,,covered,unknown,,True,-0.026380137555388955,-0.0585040645621514,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
pra,575,264,264,7,14,1,0.19170946952651519,0.24219814110259308,0.5677993190708482,0.6774136664346242,3.5151450501136363,,covered,unknown,,True,-0.05048867157607789,-0.10961434736377595,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
pts,766,250,250,8,14,1,0.24452656128718422,0.2505447434060288,0.6800799849280398,0.6954370400704918,4.0883654644913525,,covered,unknown,,True,-0.006018182118844556,-0.015357055142452003,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
ra,267,115,115,4,14,1,0.18063389715217387,0.23955782062152936,0.5467380469271998,0.6716006047506639,1.5667326305434786,,covered,unknown,,True,-0.05892392346935549,-0.124862557823464,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
reb,362,94,94,8,14,1,0.18313262463429836,0.23666677251008325,0.5460457967531976,0.661110269152011,1.4713343155094905,,covered,unknown,,True,-0.05353414787578489,-0.11506447239881334,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
stl,55,0,0,3,11,0,,,,,,,none,unknown,insufficient_scored_rows,False,,,,unavailable_market_distribution,False,False,True,False,,,,,,,,,,,False
stocks,19,10,10,1,10,1,0.20553057925,0.21797296262475596,0.6007243904544834,0.6278943922513838,0.4350140935,,covered,unknown,,True,-0.01244238337475595,-0.027170001796900323,,unavailable_market_distribution,True,True,True,False,,,,,,,,,,,False
