pmf_json,player_name,player_id,team,opponent,is_home,game_id,game_start_time,stat,line,book,market_over_odds,market_under_odds,market_no_vig_over_prob,pmf_source,calibration_source,role_bucket,role_source,minutes_mean,minutes_q50,p_inactive_used,cal_source,mean,median,mode,p0,p_ge_1,p_ge_2,p_ge_3,p_ge_4,p_ge_5,p_ge_6,p_ge_7,p_ge_8,p_ge_9,p_ge_10,p_ge_11,p_ge_12,p_ge_13,p_ge_14,p_ge_15,p_ge_16,p_ge_17,p_ge_18,p_ge_19,p_ge_20,model_p_over,fair_over_odds_american,fair_under_odds_american,edge,snapshot_type,snapshot_time_utc,model_version,pipeline_run_id,pmf_valid,pmf_sum_error,calibration_confidence,market_coverage_status,tov_status,injury_freshness_status,expected_lineup_status,official_lineup_status,lineup_freshness_status,role_freshness_status
"{""0"": 0.25168835053923233, ""1"": 0.1284984245320885, ""2"": 0.09719274069882554, ""3"": 0.09360634275775487, ""4"": 0.0821600234000736, ""5"": 0.06662538254034223, ""6"": 0.04414487329642407, ""7"": 0.048071492963050064, ""8"": 0.041140357002467404, ""9"": 0.04059031193087544, ""10"": 0.025046703005981167, ""11"": 0.013977847864584694, ""12"": 0.012907695517082261, ""13"": 0.010403872871996461, ""14"": 0.009341299723546862, ""15"": 0.007422556373493764, ""16"": 0.0034401595701793477, ""17"": 0.005672045735050855, ""18"": 0.0038399936893450063, ""19"": 0.003798709580578253, ""20"": 0.0030754195597956445, ""21"": 0.001996276417062479, ""22"": 0.0005409381195339137, ""23"": 0.00035954608994000177, ""24"": 0.0006363670726624937, ""25"": 0.0002864824478408421, ""26"": 0.00010412764971175491, ""27"": 0.00014818818303667406, ""28"": 0.0007450250002734366, ""29"": 0.0001187090335217899, ""30"": 0.0008001500241885802, ""31"": 0.00018193590807292023, ""32"": 0.0005205334098342555, ""33"": 4.448685133601484e-05, ""34"": 0.00010913760084489763, ""35"": 6.017016309106875e-05, ""36"": 5.163422662543343e-05, ""37"": 1.728549334312931e-05, ""38"": 1.735903166338306e-05, ""39"": 1.1936418092875647e-300, ""40"": 5.230011178918056e-05, ""41"": 1.2035198243031562e-300, ""42"": 1.2083991177347741e-300, ""43"": 1.2132377346332901e-300, ""44"": 1.7696784568877908e-05, ""45"": 1.222790358239119e-300, ""46"": 1.2275030838399116e-300, ""47"": 1.7887952799599845e-05, ""48"": 1.2367981889354724e-300, ""49"": 1.241379311170018e-300, ""50"": 1.2459153154746535e-300, ""51"": 1.2504055841083406e-300, ""52"": 1.2548495039376212e-300, ""53"": 1.2592464665757925e-300, ""54"": 1.263595868520825e-300, ""55"": 1.8386605579128364e-05, ""56"": 1.2721496015736249e-300, ""57"": 1.276352751337021e-300, ""58"": 1.280505977989861e-300, ""59"": 1.2846087045028254e-300, ""60"": 1.2886603595453298e-300, ""61"": 1.2926603776168195e-300, ""62"": 1.2966081991786313e-300, ""63"": 1.3005032707840514e-300, ""64"": 1.3043450452073999e-300, ""65"": 1.308132981571951e-300, ""66"": 1.3118665454768038e-300, ""67"": 1.3155452091217589e-300, ""68"": 1.3191684514327024e-300, ""69"": 1.322735758182824e-300, ""70"": 1.3262466221156068e-300, ""71"": 1.3297005430641697e-300, ""72"": 1.333097028070056e-300, ""73"": 1.3364355915005411e-300, ""74"": 1.3397157551638066e-300, ""75"": 1.3429370484233073e-300, ""76"": 1.3460990083106948e-300, ""77"": 1.349201179635726e-300, ""78"": 1.3522431150963283e-300, ""79"": 1.3552243753846524e-300, ""80"": 0.0005107726699116918}",Kyle Anderson,12,MIN,SAS,True,21707977,,pts,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,4.0698963082415,3,0,0.25168835053923233,0.7483116494607676,0.6198132249286791,0.5226204842298535,0.42901414147209865,0.346854118072025,0.28022873553168276,0.23608386223525876,0.18801236927220868,0.14687201226974128,0.10628170033886584,0.08123499733288468,0.06725714946829998,0.05434945395121774,0.04394558107922128,0.034604281355674414,0.02718172498218065,0.023741565412001307,0.01806951967695045,0.014229525987605445,0.010430816407027192,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
"{""0"": 0.21471828960384515, ""1"": 0.26983155103873285, ""2"": 0.22529464413212766, ""3"": 0.14720626392929645, ""4"": 0.07833916628858584, ""5"": 0.03685394641232176, ""6"": 0.013179618984993499, ""7"": 0.009667394866245708, ""8"": 0.0018753253759533147, ""9"": 0.001938149419841135, ""10"": 0.0009220989786945661, ""11"": 9.297605042023931e-05, ""12"": 4.7848083234107574e-05, ""13"": 1.497227242054899e-05, ""14"": 1.2516911926526944e-05, ""15"": 3.078757163515534e-06, ""16"": 1.4117374924895584e-06, ""17"": 5.411734589633134e-07, ""18"": 1.7905460659600352e-07, ""19"": 8.826905469411e-303, ""20"": 2.6928639030833925e-08, ""21"": 2.4669681048929866e-303, ""22"": 1.2332218517676714e-303, ""23"": 5.939077420395967e-304, ""24"": 2.7554774429052714e-304, ""25"": 1.2316146093555545e-304, ""26"": 5.303381897075381e-305, ""27"": 2.2000424978602414e-305, ""28"": 8.79243844676552e-306, ""29"": 3.3852262623345526e-306, ""30"": 1.255642955610127e-306}",Kyle Anderson,12,MIN,SAS,True,21707977,,reb,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,1.8501309643773576,2,1,0.21471828960384515,0.7852817103961548,0.5154501593574219,0.29015551522529426,0.14294925129599784,0.064610085007412,0.02775613859509024,0.014576519610096744,0.0049091247438510345,0.0030337993678977195,0.0010956499480565842,0.00017355096936201808,8.057491894177876e-05,3.272683570767118e-05,1.7754563287122187e-05,5.237651360595243e-06,2.1588941970797094e-06,7.471567045901508e-07,2.0598324562683746e-07,2.6928639030833925e-08,2.6928639030833925e-08,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
"{""0"": 0.43363779660201024, ""1"": 0.26045490534729177, ""2"": 0.21833685071400127, ""3"": 0.06617605294652262, ""4"": 0.016973065370786813, ""5"": 0.003736290651898819, ""6"": 0.0005346820516413876, ""7"": 0.00011676467450981588, ""8"": 2.5006671739566214e-05, ""9"": 8.054221175290982e-06, ""10"": 4.5232515560354997e-07, ""11"": 6.493069377650663e-08, ""12"": 1.2459796484288665e-08, ""13"": 8.910565099583308e-10, ""14"": 1.1954596644038936e-10, ""15"": 2.1706330041898113e-11, ""16"": 4.1856307835998406e-13, ""17"": 4.928206249688312e-14, ""18"": 2.83068179331474e-309, ""19"": 2.5242990945773e-310, ""20"": 1.958514720683e-311, ""21"": 1.32205382648e-312, ""22"": 7.764396471e-314, ""23"": 3.967368475e-315, ""24"": 1.76373624e-316, ""25"": 6.82183e-318}",Kyle Anderson,12,MIN,SAS,True,21707977,,ast,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,0.986533867350668,1,0,0.43363779660201024,0.5663622033979899,0.3059072980506981,0.08757044733669685,0.021394394390174206,0.004421329019387396,0.0006850383674885767,0.000150356315847189,3.3591641337373126e-05,8.58496959780691e-06,5.307484225159268e-07,7.842326691237676e-08,1.3492573135870141e-08,1.032776651581475e-09,1.4172014162314434e-10,2.217417518275498e-11,4.678451408568671e-13,4.928206249688312e-14,3.10410069833442e-309,2.7341890501968e-310,2.098899556195e-311,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
"{""0"": 0.8953131002689205, ""1"": 0.006979126648738632, ""2"": 0.006979126648738632, ""3"": 0.006979126648738632, ""4"": 0.006979126648738632, ""5"": 0.006979126648738632, ""6"": 0.006979126648738632, ""7"": 0.006979126648738632, ""8"": 0.006979126648738632, ""9"": 0.006979126648738632, ""10"": 0.006979126648738632, ""11"": 0.006979126648738632, ""12"": 0.006979126648738632, ""13"": 0.006979126648738632, ""14"": 0.006979126648738632, ""15"": 0.006979126648738632}",Kyle Anderson,12,MIN,SAS,True,21707977,,fg3m,,,,,,stat_grid:fg3m_hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,0.8374951978486358,0,0,0.8953131002689205,0.10468689973107947,0.09770777308234085,0.0907286464336022,0.08374951978486359,0.07677039313612495,0.06979126648738632,0.06281213983864768,0.055833013189909055,0.04885388654117043,0.04187475989243179,0.03489563324369316,0.027916506594954527,0.020937379946215896,0.013958253297477264,0.006979126648738632,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,6.661338147750939e-16,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
"{""0"": 0.590110377407456, ""1"": 0.37231146061001436, ""2"": 0.036709820032503664, ""3"": 0.0008581172371466177, ""4"": 1.0206590669861708e-05, ""5"": 1.8033044685779117e-08, ""6"": 8.900130606273306e-11, ""7"": 1.634192779443843e-13, ""8"": 1.665437136296422e-16, ""9"": 7.765250545345152e-20, ""10"": 7.396043955669919e-24, ""11"": 2.6840995624479667e-28, ""12"": 2.771491910880535e-32}",Kyle Anderson,12,MIN,SAS,True,21707977,,tov,,,,,,stat_grid:pmf_sim_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,0.4483463694495175,0,0,0.590110377407456,0.4098896225925441,0.03757816198252972,0.0008683419500260572,1.0224712879439449e-05,1.8122209577741168e-08,8.916489196205098e-11,1.6358589931791572e-13,1.6662137353140803e-16,7.765990176584486e-20,7.396312393341083e-24,2.6843767116390546e-28,2.771491910880535e-32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,0.0,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
"{""0"": 0.7296486337269564, ""1"": 0.15649819566868156, ""2"": 0.09069849325839474, ""3"": 0.0024238267303023082, ""4"": 0.0019168176559592502, ""5"": 0.004243230439109273, ""6"": 0.0021832689523306145, ""7"": 0.0012872014637863793, ""8"": 0.00028382403026347257, ""9"": 0.007142518518694903, ""10"": 0.0036739895555210167}",Kyle Anderson,12,MIN,SAS,True,21707977,,stl,,,,,,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,0.49945326362182174,0,0,0.7296486337269564,0.2703513662730435,0.11385317060436197,0.02315467734596722,0.02073085061566491,0.018814032959705657,0.014570802520596386,0.01238753356826577,0.011100332104479391,0.010816508074215919,0.0036739895555210167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
"{""0"": 0.797758751117241, ""1"": 0.1461328950522396, ""2"": 0.031997473198572955, ""3"": 0.0018805667795350253, ""4"": 0.002063774300451569, ""5"": 0.004027318075224312, ""6"": 0.002496277960944807, ""7"": 0.0013331450099045453, ""8"": 0.001761365136449209, ""9"": 0.007379528925881095, ""10"": 0.003168904443555855}",Kyle Anderson,12,MIN,SAS,True,21707977,,blk,,,,,,stat_grid:hurdle_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,0.38066663806100115,0,0,0.797758751117241,0.20224124888275893,0.05610835383051937,0.024110880631946417,0.022230313852411393,0.020166539551959822,0.01613922147673551,0.013642943515790703,0.01230979850588616,0.01054843336943695,0.003168904443555855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,0.0,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
"{""0"": 0.5750201833584362, ""1"": 0.2386097207860106, ""2"": 0.13747603176216133, ""3"": 0.02229284694474564, ""4"": 0.003422209375207586, ""5"": 0.0010842019072066032, ""6"": 0.001193329198261045, ""7"": 0.00028770782314662617, ""8"": 0.0007149800726442685, ""9"": 0.00044026524671074777, ""10"": 0.0005308311935467363, ""11"": 0.0001757300271767459, ""12"": 0.00831295422971892, ""13"": 0.0016467933769739845, ""14"": 0.001126661271381621, ""15"": 0.00068147165481775, ""16"": 0.0012289524048827158, ""17"": 0.0057551293669709696, ""18"": 4.671410385100381e-301, ""19"": 4.251148402785152e-301, ""20"": 3.847841807031181e-301}",Kyle Anderson,12,MIN,SAS,True,21707977,,stocks,,,,,,stat_grid:joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1+sparse_hurdle_guarded,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,0.8903072071645164,0,0,0.5750201833584362,0.42497981664156387,0.1863700958555533,0.04889406409339196,0.02660121714864632,0.023179007773438735,0.02209480586623213,0.020901476667971087,0.020613768844824458,0.019898788772180192,0.019458523525469444,0.018927692331922708,0.01875196230474596,0.01043900807502704,0.008792214698053056,0.0076655534266714355,0.006984081771853686,0.0057551293669709696,1.2770400594916713e-300,8.098990209816332e-301,3.847841807031181e-301,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,2.220446049250313e-16,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
"{""0"": 0.06572053233191931, ""1"": 0.14084321306497255, ""2"": 0.21332968623270104, ""3"": 0.15961305103598777, ""4"": 0.04738209865718079, ""5"": 0.06236550396320539, ""6"": 0.05324496318849392, ""7"": 0.051758065671765996, ""8"": 0.037151997092808586, ""9"": 0.03568546274222262, ""10"": 0.027217788773839402, ""11"": 0.02154088916022545, ""12"": 0.013449018780584132, ""13"": 0.014476795915776552, ""14"": 0.00972976241406287, ""15"": 0.006972650935643809, ""16"": 0.004230414307871522, ""17"": 0.0035999544654458093, ""18"": 0.0036804270940182793, ""19"": 0.0018735177946324066, ""20"": 0.0012842897425883182, ""21"": 0.00106948733076484, ""22"": 0.0007837577412161956, ""23"": 0.0005215707962517024, ""24"": 6.374068993486581e-05, ""25"": 0.0002777781434970539, ""26"": 0.0002470853710183629, ""27"": 0.00021794035075550777, ""28"": 3.433152982634802e-05, ""29"": 0.00012447398527237752, ""30"": 0.00018330836605096046, ""31"": 4.7446665377370856e-05, ""32"": 7.778108064437905e-05, ""33"": 2.443221975545473e-05, ""34"": 2.284368515081958e-05, ""35"": 2.3821042046234808e-05, ""36"": 7.029885826093096e-05, ""37"": 4.47810344741395e-05, ""38"": 5.489933182611928e-05, ""39"": 1.6835592617225892e-05, ""40"": 1.768337405660958e-05, ""41"": 5.0296646074032836e-05, ""42"": 1.0408226443825441e-05, ""43"": 1.0268797130730256e-05, ""44"": 2.0131285950908406e-05, ""46"": 2.9803772722547528e-05, ""47"": 4.799296586910362e-05, ""50"": 0.0207567177510648}",Kyle Anderson,12,MIN,SAS,True,21707977,,pa,,,,,,stat_grid:joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,5.34565049307807,3,2,0.06572053233191931,0.9342794676680807,0.7934362546031082,0.5801065683704071,0.4204935173344193,0.3731114186772385,0.3107459147140331,0.2575009515255392,0.2057428858537732,0.16859088876096462,0.132905426018742,0.1056876372449026,0.08414674808467715,0.07069772930409302,0.05622093338831646,0.04649117097425359,0.03951852003860978,0.03528810573073826,0.03168815126529245,0.028007724171274173,0.026134206376641766,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,0.0,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
"{""0"": 0.04199390790250271, ""1"": 0.1192498911190408, ""2"": 0.21294466869145712, ""3"": 0.12138075710194346, ""4"": 0.10700838045545619, ""5"": 0.04554686210078651, ""6"": 0.06035451378137868, ""7"": 0.048615754371794884, ""8"": 0.04633532421327902, ""9"": 0.03375415860971198, ""10"": 0.02957673245468595, ""11"": 0.02290930522809309, ""12"": 0.020380410318880715, ""13"": 0.014993892801887343, ""14"": 0.014915966081647802, ""15"": 0.010237848584189524, ""16"": 0.00768539541422697, ""17"": 0.0055377153853584105, ""18"": 0.0036332644156106264, ""19"": 0.003159903873705572, ""20"": 0.002446758763422485, ""21"": 0.001675874099443142, ""22"": 0.0007537526455355659, ""23"": 0.00044946174596061095, ""24"": 0.0008548883627068626, ""25"": 0.0008048994537218634, ""26"": 0.00036371437495341663, ""27"": 0.0001385531570372578, ""28"": 0.0003006704009903549, ""29"": 0.00015727778912921764, ""30"": 0.00015910815481245955, ""31"": 3.9275493096901926e-05, ""32"": 7.530375700426362e-05, ""33"": 0.00014186539653571195, ""34"": 0.00012969568247345187, ""35"": 3.7896545624471756e-05, ""36"": 8.830759134026422e-05, ""37"": 7.2645733109055755e-06, ""38"": 1.2532461583947274e-05, ""39"": 1.8213540731948363e-05, ""40"": 7.969629984039273e-05, ""41"": 0.00010312891258368317, ""42"": 4.5304113686084335e-05, ""43"": 1.0744567922049697e-05, ""45"": 1.062463250656176e-05, ""46"": 2.7441130434624483e-05, ""47"": 1.7677426283002617e-05, ""48"": 8.788955583316493e-06, ""49"": 1.9313444139190672e-05, ""50"": 1.3204469354710646e-05, ""51"": 1.366910873723537e-05, ""53"": 1.303315366740776e-05, ""54"": 1.3936404718362105e-05, ""57"": 1.516811069668389e-05, ""110"": 0.020738302374794237}",Kyle Anderson,12,MIN,SAS,True,21707977,,pr,,,,,,stat_grid:joint_sampler_v1+joint_combo_pmf_v1+role_aware_pmf_cal_v1:bench+monotone_pit_cdf_v1,phase8_role_aware_pmf_cal_v1+monotone_inactive_global_v1,bench,derived_from_projected_minutes,12.08301500431092,10.320641174561196,0.0,role_aware_pmf_cal_v1,7.134064885910086,4,2,0.04199390790250271,0.9580060920974973,0.8387562009784565,0.6258115322869994,0.5044307751850559,0.3974223947295997,0.3518755326288132,0.29152101884743453,0.24290526447563965,0.19656994026236063,0.16281578165264865,0.1332390491979627,0.11032974396986961,0.0899493336509889,0.07495544084910155,0.06003947476745375,0.049801626183264225,0.042116230769037255,0.036578515383678845,0.03294525096806822,0.029785347094362646,,,,,morning,2026-05-15T08:20:34Z,50902412#phase10c,3029565c-cdac-4397-847f-8e6f11ed51c7,ok,0.0,medium,full,current_phase8,fresh,projected,not_available_yet,projected,derived_from_projected_minutes
