game_date,player_name,team,opponent,stat,line,outcome_k,probability,cdf,survival_prob_ge_k,p_over_line_model,market_fair_over_prob,model_edge_vs_market,pmf_source
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,35,0.0076,0.9783,0.0293,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,36,0.0051,0.9834,0.0217,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,37,0.005,0.9884,0.0166,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,38,0.0025,0.9909,0.0116,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,39,0.0019,0.9927,0.0091,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,40,0.002,0.9947,0.0073,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,41,0.0019,0.9966,0.0053,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,42,0.0,0.9966,0.0034,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,43,0.0019,0.9985,0.0034,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,44,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,45,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,46,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,47,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,48,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,49,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,50,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,51,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,52,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,53,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,54,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,55,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,56,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,57,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,58,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,59,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,60,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,61,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,62,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,63,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,64,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,65,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,66,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,67,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,68,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,69,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,70,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,71,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,72,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,73,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,74,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,75,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,76,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,77,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,78,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,79,0.0,0.9985,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,pts,21.5,80,0.0015,1.0,0.0015,0.3164,0.5224,-0.206,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,0,0.0068,0.0068,1.0,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,1,0.0381,0.0449,0.9932,0.27,0.526,-0.256,cal_role_aware_v1
2026-04-27,Julius Randle,Minnesota Timberwolves,Denver Nuggets,reb,6.5,2,0.085,0.1299,0.9551,0.27,0.526,-0.256,cal_role_aware_v1
